====================================================================================================
Training started at: 2026-03-14 11:24:56
Result directory: results/fl_svhn/fedavg/pm-dir_a-0.3_nm-uni_nr-0.3
Result txt file : results/fl_svhn/fedavg/pm-dir_a-0.3_nm-uni_nr-0.3/fedavg_fl_svhn_20260314-112456.txt
Result log file : results/fl_svhn/fedavg/pm-dir_a-0.3_nm-uni_nr-0.3/fedavg_fl_svhn_20260314-112456.log
----------------------------------------------------------------------------------------------------
Model: fedavg
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=19.720 | RoundTime=46.90s | TotalTime=46.90s | Method=fedavg
[Round 002/100] Acc=24.670 | RoundTime=46.66s | TotalTime=93.56s | Method=fedavg
[Round 003/100] Acc=62.400 | RoundTime=46.68s | TotalTime=140.24s | Method=fedavg
[Round 004/100] Acc=65.530 | RoundTime=44.76s | TotalTime=185.00s | Method=fedavg
[Round 005/100] Acc=65.150 | RoundTime=46.19s | TotalTime=231.19s | Method=fedavg
[Round 006/100] Acc=65.020 | RoundTime=45.48s | TotalTime=276.66s | Method=fedavg
[Round 007/100] Acc=67.340 | RoundTime=46.20s | TotalTime=322.87s | Method=fedavg
[Round 008/100] Acc=75.250 | RoundTime=45.21s | TotalTime=368.07s | Method=fedavg
[Round 009/100] Acc=72.340 | RoundTime=48.11s | TotalTime=416.19s | Method=fedavg
[Round 010/100] Acc=76.610 | RoundTime=45.58s | TotalTime=461.77s | Method=fedavg
[Round 011/100] Acc=71.140 | RoundTime=45.37s | TotalTime=507.14s | Method=fedavg
[Round 012/100] Acc=70.200 | RoundTime=45.34s | TotalTime=552.48s | Method=fedavg
[Round 013/100] Acc=71.260 | RoundTime=46.94s | TotalTime=599.43s | Method=fedavg
[Round 014/100] Acc=69.710 | RoundTime=47.27s | TotalTime=646.70s | Method=fedavg
[Round 015/100] Acc=72.040 | RoundTime=47.65s | TotalTime=694.35s | Method=fedavg
[Round 016/100] Acc=67.980 | RoundTime=47.00s | TotalTime=741.35s | Method=fedavg
[Round 017/100] Acc=74.330 | RoundTime=46.63s | TotalTime=787.98s | Method=fedavg
[Round 018/100] Acc=71.230 | RoundTime=47.38s | TotalTime=835.36s | Method=fedavg
[Round 019/100] Acc=71.510 | RoundTime=46.18s | TotalTime=881.53s | Method=fedavg
[Round 020/100] Acc=70.870 | RoundTime=47.26s | TotalTime=928.79s | Method=fedavg
[Round 021/100] Acc=67.090 | RoundTime=46.77s | TotalTime=975.56s | Method=fedavg
[Round 022/100] Acc=69.710 | RoundTime=45.54s | TotalTime=1021.10s | Method=fedavg
[Round 023/100] Acc=71.680 | RoundTime=46.73s | TotalTime=1067.83s | Method=fedavg
[Round 024/100] Acc=69.280 | RoundTime=46.63s | TotalTime=1114.46s | Method=fedavg
[Round 025/100] Acc=69.260 | RoundTime=48.06s | TotalTime=1162.51s | Method=fedavg
[Round 026/100] Acc=72.960 | RoundTime=45.57s | TotalTime=1208.09s | Method=fedavg
[Round 027/100] Acc=70.740 | RoundTime=45.13s | TotalTime=1253.22s | Method=fedavg
[Round 028/100] Acc=71.620 | RoundTime=46.77s | TotalTime=1299.99s | Method=fedavg
[Round 029/100] Acc=70.240 | RoundTime=46.16s | TotalTime=1346.15s | Method=fedavg
[Round 030/100] Acc=73.700 | RoundTime=47.83s | TotalTime=1393.98s | Method=fedavg
[Round 031/100] Acc=69.920 | RoundTime=46.01s | TotalTime=1439.98s | Method=fedavg
[Round 032/100] Acc=71.750 | RoundTime=47.09s | TotalTime=1487.08s | Method=fedavg
[Round 033/100] Acc=65.500 | RoundTime=46.51s | TotalTime=1533.58s | Method=fedavg
[Round 034/100] Acc=67.140 | RoundTime=45.33s | TotalTime=1578.91s | Method=fedavg
[Round 035/100] Acc=67.850 | RoundTime=46.11s | TotalTime=1625.03s | Method=fedavg
[Round 036/100] Acc=69.370 | RoundTime=46.62s | TotalTime=1671.65s | Method=fedavg
[Round 037/100] Acc=69.320 | RoundTime=45.98s | TotalTime=1717.63s | Method=fedavg
[Round 038/100] Acc=69.290 | RoundTime=44.94s | TotalTime=1762.57s | Method=fedavg
[Round 039/100] Acc=71.410 | RoundTime=44.74s | TotalTime=1807.31s | Method=fedavg
[Round 040/100] Acc=72.140 | RoundTime=45.51s | TotalTime=1852.82s | Method=fedavg
[Round 041/100] Acc=64.410 | RoundTime=45.15s | TotalTime=1897.97s | Method=fedavg
[Round 042/100] Acc=70.620 | RoundTime=48.64s | TotalTime=1946.61s | Method=fedavg
[Round 043/100] Acc=66.440 | RoundTime=47.81s | TotalTime=1994.42s | Method=fedavg
[Round 044/100] Acc=72.010 | RoundTime=45.73s | TotalTime=2040.14s | Method=fedavg
[Round 045/100] Acc=68.460 | RoundTime=47.71s | TotalTime=2087.85s | Method=fedavg
[Round 046/100] Acc=66.020 | RoundTime=45.97s | TotalTime=2133.83s | Method=fedavg
[Round 047/100] Acc=67.290 | RoundTime=45.16s | TotalTime=2178.99s | Method=fedavg
[Round 048/100] Acc=69.740 | RoundTime=47.63s | TotalTime=2226.63s | Method=fedavg
[Round 049/100] Acc=70.130 | RoundTime=47.73s | TotalTime=2274.35s | Method=fedavg
[Round 050/100] Acc=70.910 | RoundTime=46.69s | TotalTime=2321.05s | Method=fedavg
[Round 051/100] Acc=67.760 | RoundTime=47.28s | TotalTime=2368.32s | Method=fedavg
[Round 052/100] Acc=67.040 | RoundTime=46.97s | TotalTime=2415.29s | Method=fedavg
[Round 053/100] Acc=70.470 | RoundTime=45.04s | TotalTime=2460.33s | Method=fedavg
[Round 054/100] Acc=70.580 | RoundTime=47.13s | TotalTime=2507.47s | Method=fedavg
[Round 055/100] Acc=70.050 | RoundTime=47.45s | TotalTime=2554.92s | Method=fedavg
[Round 056/100] Acc=69.080 | RoundTime=45.21s | TotalTime=2600.13s | Method=fedavg
[Round 057/100] Acc=62.120 | RoundTime=45.77s | TotalTime=2645.90s | Method=fedavg
[Round 058/100] Acc=67.000 | RoundTime=46.60s | TotalTime=2692.50s | Method=fedavg
[Round 059/100] Acc=67.610 | RoundTime=46.20s | TotalTime=2738.71s | Method=fedavg
[Round 060/100] Acc=71.060 | RoundTime=47.10s | TotalTime=2785.81s | Method=fedavg
[Round 061/100] Acc=70.840 | RoundTime=48.37s | TotalTime=2834.18s | Method=fedavg
[Round 062/100] Acc=66.990 | RoundTime=46.59s | TotalTime=2880.77s | Method=fedavg
[Round 063/100] Acc=71.090 | RoundTime=46.74s | TotalTime=2927.51s | Method=fedavg
[Round 064/100] Acc=64.450 | RoundTime=45.88s | TotalTime=2973.39s | Method=fedavg
[Round 065/100] Acc=69.540 | RoundTime=46.03s | TotalTime=3019.42s | Method=fedavg
[Round 066/100] Acc=65.140 | RoundTime=45.63s | TotalTime=3065.06s | Method=fedavg
[Round 067/100] Acc=71.590 | RoundTime=45.53s | TotalTime=3110.59s | Method=fedavg
[Round 068/100] Acc=69.710 | RoundTime=45.94s | TotalTime=3156.53s | Method=fedavg
[Round 069/100] Acc=68.660 | RoundTime=47.64s | TotalTime=3204.18s | Method=fedavg
[Round 070/100] Acc=72.690 | RoundTime=47.21s | TotalTime=3251.39s | Method=fedavg
[Round 071/100] Acc=67.180 | RoundTime=43.79s | TotalTime=3295.17s | Method=fedavg
[Round 072/100] Acc=68.080 | RoundTime=45.03s | TotalTime=3340.20s | Method=fedavg
[Round 073/100] Acc=66.480 | RoundTime=43.80s | TotalTime=3384.00s | Method=fedavg
[Round 074/100] Acc=69.910 | RoundTime=45.05s | TotalTime=3429.04s | Method=fedavg
[Round 075/100] Acc=70.360 | RoundTime=46.15s | TotalTime=3475.19s | Method=fedavg
[Round 076/100] Acc=65.070 | RoundTime=46.22s | TotalTime=3521.41s | Method=fedavg
[Round 077/100] Acc=67.560 | RoundTime=46.31s | TotalTime=3567.73s | Method=fedavg
[Round 078/100] Acc=65.580 | RoundTime=46.33s | TotalTime=3614.06s | Method=fedavg
[Round 079/100] Acc=68.720 | RoundTime=46.01s | TotalTime=3660.07s | Method=fedavg
[Round 080/100] Acc=69.730 | RoundTime=45.64s | TotalTime=3705.70s | Method=fedavg
[Round 081/100] Acc=66.480 | RoundTime=46.91s | TotalTime=3752.61s | Method=fedavg
[Round 082/100] Acc=68.020 | RoundTime=44.88s | TotalTime=3797.49s | Method=fedavg
[Round 083/100] Acc=69.880 | RoundTime=46.28s | TotalTime=3843.77s | Method=fedavg
[Round 084/100] Acc=69.800 | RoundTime=46.07s | TotalTime=3889.84s | Method=fedavg
[Round 085/100] Acc=70.960 | RoundTime=47.29s | TotalTime=3937.13s | Method=fedavg
