========================================================================================================================
Training started at: 2026-04-09 07:38:31
Result directory: results/fl_svhn/fedavg/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric
Result txt file : results/fl_svhn/fedavg/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric/fedavg_fl_svhn_20260409-073831-710567_pid142859.txt
Result log file : results/fl_svhn/fedavg/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric/fedavg_fl_svhn_20260409-073831-710567_pid142859.log
------------------------------------------------------------------------------------------------------------------------
Model: fedavg
Dataset: fl_svhn
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 100
Local epoch: 5
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.5
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
========================================================================================================================
[Round 001/100] Phase=standard | Stage=warmup | Acc=19.590 | RoundTime=234.01s | TotalTime=234.02s | Method=fedavg
[Round 002/100] Phase=standard | Stage=warmup | Acc=48.420 | RoundTime=231.11s | TotalTime=465.15s | Method=fedavg
[Round 003/100] Phase=standard | Stage=warmup | Acc=70.190 | RoundTime=230.69s | TotalTime=695.85s | Method=fedavg
[Round 004/100] Phase=standard | Stage=warmup | Acc=76.960 | RoundTime=232.91s | TotalTime=928.77s | Method=fedavg
[Round 005/100] Phase=standard | Stage=warmup | Acc=78.430 | RoundTime=233.29s | TotalTime=1162.07s | Method=fedavg
[Round 006/100] Phase=standard | Stage=warmup | Acc=78.540 | RoundTime=235.03s | TotalTime=1397.11s | Method=fedavg
[Round 007/100] Phase=standard | Stage=warmup | Acc=74.400 | RoundTime=233.43s | TotalTime=1630.55s | Method=fedavg
[Round 008/100] Phase=standard | Stage=warmup | Acc=69.130 | RoundTime=233.49s | TotalTime=1864.05s | Method=fedavg
[Round 009/100] Phase=standard | Stage=warmup | Acc=64.620 | RoundTime=231.11s | TotalTime=2095.17s | Method=fedavg
[Round 010/100] Phase=standard | Stage=warmup | Acc=60.680 | RoundTime=230.62s | TotalTime=2325.80s | Method=fedavg
[Round 011/100] Phase=standard | Stage=warmup | Acc=58.060 | RoundTime=232.57s | TotalTime=2558.38s | Method=fedavg
[Round 012/100] Phase=standard | Stage=warmup | Acc=56.250 | RoundTime=231.80s | TotalTime=2790.19s | Method=fedavg
[Round 013/100] Phase=standard | Stage=warmup | Acc=55.780 | RoundTime=229.56s | TotalTime=3019.76s | Method=fedavg
[Round 014/100] Phase=standard | Stage=warmup | Acc=54.180 | RoundTime=234.04s | TotalTime=3253.80s | Method=fedavg
[Round 015/100] Phase=standard | Stage=warmup | Acc=53.830 | RoundTime=231.74s | TotalTime=3485.55s | Method=fedavg
[Round 016/100] Phase=standard | Stage=warmup | Acc=52.530 | RoundTime=233.40s | TotalTime=3718.96s | Method=fedavg
[Round 017/100] Phase=standard | Stage=warmup | Acc=52.550 | RoundTime=229.95s | TotalTime=3948.91s | Method=fedavg
[Round 018/100] Phase=standard | Stage=warmup | Acc=52.650 | RoundTime=232.21s | TotalTime=4181.14s | Method=fedavg
[Round 019/100] Phase=standard | Stage=warmup | Acc=51.890 | RoundTime=233.96s | TotalTime=4415.11s | Method=fedavg
[Round 020/100] Phase=standard | Stage=warmup | Acc=51.550 | RoundTime=232.15s | TotalTime=4647.26s | Method=fedavg
[Round 021/100] Phase=standard | Stage=warmup | Acc=51.160 | RoundTime=231.32s | TotalTime=4878.60s | Method=fedavg
[Round 022/100] Phase=standard | Stage=warmup | Acc=51.340 | RoundTime=231.75s | TotalTime=5110.36s | Method=fedavg
[Round 023/100] Phase=standard | Stage=warmup | Acc=51.030 | RoundTime=231.55s | TotalTime=5341.92s | Method=fedavg
[Round 024/100] Phase=standard | Stage=warmup | Acc=50.360 | RoundTime=231.66s | TotalTime=5573.59s | Method=fedavg
[Round 025/100] Phase=standard | Stage=warmup | Acc=50.520 | RoundTime=234.13s | TotalTime=5807.73s | Method=fedavg
[Round 026/100] Phase=standard | Stage=warmup | Acc=49.880 | RoundTime=231.74s | TotalTime=6039.48s | Method=fedavg
