====================================================================================================
Training started at: 2026-03-27 03:49:27
Result directory: results/fl_svhn/fedcda/pm-dir_a-0.1_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15
Result txt file : results/fl_svhn/fedcda/pm-dir_a-0.1_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedcda_fl_svhn_20260327-034927-685050_pid2207161.txt
Result log file : results/fl_svhn/fedcda/pm-dir_a-0.1_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedcda_fl_svhn_20260327-034927-685050_pid2207161.log
----------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=15.940 | RoundTime=31.66s | TotalTime=31.66s | Method=fedcda
[Round 002/100] Acc=7.760 | RoundTime=37.28s | TotalTime=68.95s | Method=fedcda
[Round 003/100] Acc=25.080 | RoundTime=37.00s | TotalTime=105.95s | Method=fedcda
[Round 004/100] Acc=30.350 | RoundTime=38.17s | TotalTime=144.12s | Method=fedcda
[Round 005/100] Acc=17.210 | RoundTime=36.99s | TotalTime=181.11s | Method=fedcda
[Round 006/100] Acc=38.430 | RoundTime=38.71s | TotalTime=219.82s | Method=fedcda
[Round 007/100] Acc=34.900 | RoundTime=37.55s | TotalTime=257.37s | Method=fedcda
[Round 008/100] Acc=14.770 | RoundTime=38.66s | TotalTime=296.04s | Method=fedcda
[Round 009/100] Acc=17.890 | RoundTime=34.96s | TotalTime=330.99s | Method=fedcda
[Round 010/100] Acc=27.550 | RoundTime=34.81s | TotalTime=365.80s | Method=fedcda
[Round 011/100] Acc=27.690 | RoundTime=38.97s | TotalTime=404.78s | Method=fedcda
[Round 012/100] Acc=37.850 | RoundTime=33.47s | TotalTime=438.25s | Method=fedcda
[Round 013/100] Acc=27.010 | RoundTime=25.93s | TotalTime=464.18s | Method=fedcda
[Round 014/100] Acc=22.000 | RoundTime=25.68s | TotalTime=489.86s | Method=fedcda
[Round 015/100] Acc=30.480 | RoundTime=26.15s | TotalTime=516.01s | Method=fedcda
[Round 016/100] Acc=24.340 | RoundTime=26.03s | TotalTime=542.04s | Method=fedcda
[Round 017/100] Acc=23.980 | RoundTime=26.09s | TotalTime=568.13s | Method=fedcda
[Round 018/100] Acc=40.850 | RoundTime=26.12s | TotalTime=594.26s | Method=fedcda
[Round 019/100] Acc=26.640 | RoundTime=26.13s | TotalTime=620.39s | Method=fedcda
[Round 020/100] Acc=36.730 | RoundTime=28.32s | TotalTime=648.71s | Method=fedcda
[Round 021/100] Acc=52.540 | RoundTime=26.24s | TotalTime=674.95s | Method=fedcda
[Round 022/100] Acc=40.730 | RoundTime=26.48s | TotalTime=701.42s | Method=fedcda
[Round 023/100] Acc=38.730 | RoundTime=26.36s | TotalTime=727.78s | Method=fedcda
[Round 024/100] Acc=38.460 | RoundTime=26.23s | TotalTime=754.02s | Method=fedcda
[Round 025/100] Acc=35.240 | RoundTime=26.55s | TotalTime=780.56s | Method=fedcda
[Round 026/100] Acc=39.830 | RoundTime=26.42s | TotalTime=806.99s | Method=fedcda
[Round 027/100] Acc=36.910 | RoundTime=26.37s | TotalTime=833.36s | Method=fedcda
[Round 028/100] Acc=35.560 | RoundTime=26.31s | TotalTime=859.67s | Method=fedcda
[Round 029/100] Acc=31.440 | RoundTime=26.46s | TotalTime=886.13s | Method=fedcda
[Round 030/100] Acc=30.490 | RoundTime=26.60s | TotalTime=912.72s | Method=fedcda
[Round 031/100] Acc=38.020 | RoundTime=26.38s | TotalTime=939.10s | Method=fedcda
[Round 032/100] Acc=43.480 | RoundTime=26.48s | TotalTime=965.58s | Method=fedcda
[Round 033/100] Acc=33.100 | RoundTime=28.58s | TotalTime=994.15s | Method=fedcda
[Round 034/100] Acc=29.290 | RoundTime=28.75s | TotalTime=1022.91s | Method=fedcda
[Round 035/100] Acc=38.180 | RoundTime=26.90s | TotalTime=1049.80s | Method=fedcda
[Round 036/100] Acc=38.220 | RoundTime=26.83s | TotalTime=1076.64s | Method=fedcda
[Round 037/100] Acc=30.670 | RoundTime=26.68s | TotalTime=1103.32s | Method=fedcda
[Round 038/100] Acc=28.140 | RoundTime=26.77s | TotalTime=1130.08s | Method=fedcda
[Round 039/100] Acc=41.080 | RoundTime=26.71s | TotalTime=1156.80s | Method=fedcda
[Round 040/100] Acc=25.870 | RoundTime=26.91s | TotalTime=1183.70s | Method=fedcda
[Round 041/100] Acc=52.390 | RoundTime=26.70s | TotalTime=1210.41s | Method=fedcda
[Round 042/100] Acc=39.900 | RoundTime=26.78s | TotalTime=1237.19s | Method=fedcda
[Round 043/100] Acc=26.080 | RoundTime=26.72s | TotalTime=1263.92s | Method=fedcda
[Round 044/100] Acc=29.850 | RoundTime=26.79s | TotalTime=1290.70s | Method=fedcda
[Round 045/100] Acc=42.130 | RoundTime=27.26s | TotalTime=1317.96s | Method=fedcda
[Round 046/100] Acc=37.320 | RoundTime=26.72s | TotalTime=1344.68s | Method=fedcda
[Round 047/100] Acc=27.120 | RoundTime=28.51s | TotalTime=1373.20s | Method=fedcda
[Round 048/100] Acc=32.120 | RoundTime=26.61s | TotalTime=1399.81s | Method=fedcda
[Round 049/100] Acc=32.690 | RoundTime=26.76s | TotalTime=1426.56s | Method=fedcda
[Round 050/100] Acc=33.160 | RoundTime=26.93s | TotalTime=1453.49s | Method=fedcda
[Round 051/100] Acc=33.550 | RoundTime=38.14s | TotalTime=1491.63s | Method=fedcda
[Round 052/100] Acc=33.200 | RoundTime=37.93s | TotalTime=1529.56s | Method=fedcda
[Round 053/100] Acc=47.960 | RoundTime=37.85s | TotalTime=1567.41s | Method=fedcda
[Round 054/100] Acc=48.390 | RoundTime=38.21s | TotalTime=1605.63s | Method=fedcda
[Round 055/100] Acc=48.580 | RoundTime=37.71s | TotalTime=1643.34s | Method=fedcda
[Round 056/100] Acc=49.090 | RoundTime=37.90s | TotalTime=1681.24s | Method=fedcda
[Round 057/100] Acc=49.550 | RoundTime=37.64s | TotalTime=1718.89s | Method=fedcda
[Round 058/100] Acc=50.390 | RoundTime=37.50s | TotalTime=1756.39s | Method=fedcda
[Round 059/100] Acc=50.530 | RoundTime=37.54s | TotalTime=1793.92s | Method=fedcda
[Round 060/100] Acc=50.130 | RoundTime=37.57s | TotalTime=1831.50s | Method=fedcda
[Round 061/100] Acc=50.090 | RoundTime=37.46s | TotalTime=1868.95s | Method=fedcda
[Round 062/100] Acc=49.880 | RoundTime=37.63s | TotalTime=1906.59s | Method=fedcda
[Round 063/100] Acc=49.620 | RoundTime=37.82s | TotalTime=1944.41s | Method=fedcda
[Round 064/100] Acc=49.690 | RoundTime=37.75s | TotalTime=1982.16s | Method=fedcda
[Round 065/100] Acc=48.520 | RoundTime=38.04s | TotalTime=2020.21s | Method=fedcda
[Round 066/100] Acc=48.080 | RoundTime=38.13s | TotalTime=2058.33s | Method=fedcda
[Round 067/100] Acc=47.860 | RoundTime=37.84s | TotalTime=2096.17s | Method=fedcda
[Round 068/100] Acc=47.770 | RoundTime=38.11s | TotalTime=2134.28s | Method=fedcda
[Round 069/100] Acc=47.360 | RoundTime=38.33s | TotalTime=2172.61s | Method=fedcda
[Round 070/100] Acc=47.540 | RoundTime=38.54s | TotalTime=2211.15s | Method=fedcda
[Round 071/100] Acc=47.410 | RoundTime=38.61s | TotalTime=2249.76s | Method=fedcda
[Round 072/100] Acc=47.010 | RoundTime=37.95s | TotalTime=2287.71s | Method=fedcda
[Round 073/100] Acc=46.400 | RoundTime=38.02s | TotalTime=2325.73s | Method=fedcda
[Round 074/100] Acc=46.410 | RoundTime=38.01s | TotalTime=2363.75s | Method=fedcda
[Round 075/100] Acc=46.900 | RoundTime=38.02s | TotalTime=2401.77s | Method=fedcda
[Round 076/100] Acc=46.730 | RoundTime=37.77s | TotalTime=2439.55s | Method=fedcda
[Round 077/100] Acc=46.920 | RoundTime=37.99s | TotalTime=2477.54s | Method=fedcda
[Round 078/100] Acc=46.900 | RoundTime=37.84s | TotalTime=2515.39s | Method=fedcda
[Round 079/100] Acc=46.900 | RoundTime=37.46s | TotalTime=2552.85s | Method=fedcda
[Round 080/100] Acc=47.140 | RoundTime=37.86s | TotalTime=2590.71s | Method=fedcda
[Round 081/100] Acc=46.820 | RoundTime=37.68s | TotalTime=2628.39s | Method=fedcda
[Round 082/100] Acc=46.600 | RoundTime=37.68s | TotalTime=2666.07s | Method=fedcda
[Round 083/100] Acc=46.850 | RoundTime=37.72s | TotalTime=2703.79s | Method=fedcda
[Round 084/100] Acc=46.860 | RoundTime=37.73s | TotalTime=2741.53s | Method=fedcda
[Round 085/100] Acc=46.940 | RoundTime=38.02s | TotalTime=2779.55s | Method=fedcda
[Round 086/100] Acc=46.670 | RoundTime=37.77s | TotalTime=2817.32s | Method=fedcda
[Round 087/100] Acc=46.930 | RoundTime=37.81s | TotalTime=2855.13s | Method=fedcda
[Round 088/100] Acc=46.950 | RoundTime=37.80s | TotalTime=2892.94s | Method=fedcda
[Round 089/100] Acc=46.950 | RoundTime=37.85s | TotalTime=2930.79s | Method=fedcda
[Round 090/100] Acc=46.880 | RoundTime=37.97s | TotalTime=2968.76s | Method=fedcda
[Round 091/100] Acc=47.200 | RoundTime=37.83s | TotalTime=3006.59s | Method=fedcda
[Round 092/100] Acc=47.010 | RoundTime=37.53s | TotalTime=3044.12s | Method=fedcda
[Round 093/100] Acc=47.030 | RoundTime=38.08s | TotalTime=3082.20s | Method=fedcda
[Round 094/100] Acc=47.460 | RoundTime=37.67s | TotalTime=3119.86s | Method=fedcda
[Round 095/100] Acc=36.840 | RoundTime=37.54s | TotalTime=3157.40s | Method=fedcda
[Round 096/100] Acc=36.730 | RoundTime=38.01s | TotalTime=3195.41s | Method=fedcda
[Round 097/100] Acc=36.780 | RoundTime=38.05s | TotalTime=3233.45s | Method=fedcda
[Round 098/100] Acc=37.050 | RoundTime=38.01s | TotalTime=3271.46s | Method=fedcda
[Round 099/100] Acc=37.110 | RoundTime=37.62s | TotalTime=3309.09s | Method=fedcda
[Round 100/100] Acc=37.190 | RoundTime=38.19s | TotalTime=3347.28s | Method=fedcda
====================================================================================================
Training finished at: 2026-03-27 04:45:15
Total elapsed time: 3347.28s
Final Acc: 37.190
Best Acc : 52.540
====================================================================================================
