epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	standard	warmup	9.69	None	None	None	None	None	None	None	53.5313	53.5377
1	standard	warmup	24.99	None	None	None	None	None	None	None	53.7021	107.2516
2	standard	warmup	27.45	None	None	None	None	None	None	None	61.3163	168.5798
3	standard	warmup	65.05	None	None	None	None	None	None	None	55.6108	224.1997
4	standard	warmup	73.2	None	None	None	None	None	None	None	60.2144	284.4203
5	standard	warmup	73.89	None	None	None	None	None	None	None	55.5023	339.9397
6	standard	warmup	77.42	None	None	None	None	None	None	None	59.7313	399.6772
7	standard	warmup	73.95	None	None	None	None	None	None	None	53.5967	453.2816
8	standard	warmup	77.34	None	None	None	None	None	None	None	59.9201	513.2080
9	standard	warmup	78.73	None	None	None	None	None	None	None	54.1414	567.3596
10	standard	warmup	80.81	None	None	None	None	None	None	None	60.0118	627.3774
11	standard	warmup	81.77	None	None	None	None	None	None	None	52.1491	679.5346
12	standard	warmup	82.56	None	None	None	None	None	None	None	58.7162	738.2580
13	standard	warmup	83.54	None	None	None	None	None	None	None	52.9600	791.2282
14	standard	warmup	83.54	None	None	None	None	None	None	None	60.0537	851.2885
15	standard	warmup	85.07	None	None	None	None	None	None	None	55.9513	907.2476
16	standard	warmup	82.84	None	None	None	None	None	None	None	58.8984	966.1524
17	standard	warmup	81.08	None	None	None	None	None	None	None	52.9665	1019.1292
18	standard	warmup	84.19	None	None	None	None	None	None	None	59.7892	1078.9246
19	standard	warmup	83.78	None	None	None	None	None	None	None	55.1673	1134.1275
20	standard	warmup	84.0	None	None	None	None	None	None	None	57.7752	1191.9118
21	standard	warmup	84.06	None	None	None	None	None	None	None	50.6127	1242.5321
22	standard	warmup	83.06	None	None	None	None	None	None	None	62.6361	1305.1747
23	standard	warmup	83.45	None	None	None	None	None	None	None	54.3856	1359.5719
24	standard	warmup	84.73	None	None	None	None	None	None	None	62.9167	1422.4949
25	standard	warmup	85.07	None	None	None	None	None	None	None	54.8147	1477.3183
26	standard	warmup	86.03	None	None	None	None	None	None	None	62.1243	1539.4517
27	standard	warmup	84.18	None	None	None	None	None	None	None	52.1130	1591.5752
28	standard	warmup	84.63	None	None	None	None	None	None	None	61.6166	1653.1999
29	standard	warmup	79.69	None	None	None	None	None	None	None	51.1025	1704.3106
30	standard	warmup	84.9	None	None	None	None	None	None	None	111.0746	1815.3947
31	standard	warmup	85.63	None	None	None	None	None	None	None	92.6587	1908.0615
32	standard	warmup	86.42	None	None	None	None	None	None	None	95.1459	2003.2160
33	standard	warmup	86.21	None	None	None	None	None	None	None	88.8753	2092.1003
34	standard	warmup	87.04	None	None	None	None	None	None	None	97.0621	2189.1713
35	standard	warmup	86.36	None	None	None	None	None	None	None	96.2662	2285.4456
36	standard	warmup	85.99	None	None	None	None	None	None	None	95.2330	2380.6867
37	standard	warmup	85.7	None	None	None	None	None	None	None	98.3285	2479.0233
38	standard	warmup	85.04	None	None	None	None	None	None	None	93.7927	2572.8238
39	standard	warmup	84.49	None	None	None	None	None	None	None	92.6118	2665.4438
40	standard	warmup	83.78	None	None	None	None	None	None	None	91.8543	2757.3071
41	standard	warmup	85.79	None	None	None	None	None	None	None	97.5512	2854.8674
42	standard	warmup	85.71	None	None	None	None	None	None	None	98.5630	2953.4390
43	standard	warmup	85.59	None	None	None	None	None	None	None	105.9240	3059.3710
44	standard	warmup	85.59	None	None	None	None	None	None	None	102.4920	3161.8729
45	standard	warmup	85.93	None	None	None	None	None	None	None	104.7764	3266.6575
46	standard	warmup	82.07	None	None	None	None	None	None	None	106.8788	3373.5448
47	standard	warmup	80.75	None	None	None	None	None	None	None	108.5245	3482.0840
48	standard	warmup	80.65	None	None	None	None	None	None	None	106.3504	3588.4423
49	standard	warmup	85.49	None	None	None	None	None	None	None	109.6799	3698.1328
50	standard	warmup	83.9	None	None	None	None	None	None	None	108.6973	3806.8390
51	standard	warmup	83.43	None	None	None	None	None	None	None	107.0095	3913.8570
52	standard	warmup	83.49	None	None	None	None	None	None	None	108.7136	4022.5815
53	standard	warmup	81.16	None	None	None	None	None	None	None	95.3457	4117.9359
54	standard	warmup	85.43	None	None	None	None	None	None	None	105.6000	4223.5443
55	standard	warmup	81.67	None	None	None	None	None	None	None	107.8575	4331.4129
56	standard	warmup	86.15	None	None	None	None	None	None	None	107.7128	4439.1380
57	standard	warmup	85.81	None	None	None	None	None	None	None	106.9625	4546.1101
58	standard	warmup	86.18	None	None	None	None	None	None	None	91.4594	4637.5782
59	standard	warmup	84.71	None	None	None	None	None	None	None	92.2087	4729.7977
60	standard	warmup	84.49	None	None	None	None	None	None	None	93.4188	4823.2254
61	standard	warmup	85.48	None	None	None	None	None	None	None	98.1844	4921.4188
62	standard	warmup	83.85	None	None	None	None	None	None	None	95.9141	5017.3413
63	standard	warmup	83.46	None	None	None	None	None	None	None	87.4158	5104.7654
64	standard	warmup	84.13	None	None	None	None	None	None	None	96.2136	5200.9878
65	standard	warmup	82.04	None	None	None	None	None	None	None	93.4299	5294.4272
66	standard	warmup	81.78	None	None	None	None	None	None	None	96.9155	5391.3644
67	standard	warmup	81.63	None	None	None	None	None	None	None	96.3802	5487.7528
68	standard	warmup	85.13	None	None	None	None	None	None	None	93.6669	5581.4281
69	standard	warmup	85.11	None	None	None	None	None	None	None	90.9621	5672.3993
70	standard	warmup	84.0	None	None	None	None	None	None	None	96.5399	5768.9476
71	standard	warmup	83.8	None	None	None	None	None	None	None	93.3313	5862.2876
72	standard	warmup	83.3	None	None	None	None	None	None	None	97.2897	5959.5862
73	standard	warmup	82.94	None	None	None	None	None	None	None	92.5998	6052.1944
74	standard	warmup	82.52	None	None	None	None	None	None	None	94.6254	6146.8304
75	standard	warmup	82.69	None	None	None	None	None	None	None	94.7003	6241.5404
