epoch	acc	pure	round_time_sec	total_time_sec
0	15.94	None	28.8937	28.8939
1	8.58	None	27.9489	56.8430
2	25.2	None	26.6112	83.4544
3	42.05	None	29.2529	112.7075
4	39.52	None	28.8201	141.5278
5	40.66	None	28.2956	169.8236
6	54.12	None	29.9439	199.7677
7	51.81	None	29.8387	229.6066
8	50.95	None	27.3887	256.9954
9	52.17	None	28.0407	285.0363
10	69.78	None	30.0434	315.0799
11	56.3	None	29.7013	344.7814
12	56.29	None	30.3383	375.1199
13	61.31	None	28.4406	403.5607
14	64.28	None	30.3927	433.9539
15	56.95	None	30.2652	464.2192
16	44.15	None	29.4774	493.6968
17	49.6	None	30.2473	523.9443
18	63.28	None	30.3863	554.3308
19	56.91	None	30.0601	584.3911
20	65.56	None	31.3466	615.7379
21	57.98	None	30.0231	645.7613
22	45.56	None	30.0415	675.8030
23	62.91	None	30.2423	706.0458
24	59.92	None	29.6906	735.7366
25	58.06	None	29.3851	765.1219
26	59.07	None	30.4628	795.5852
27	54.46	None	30.4390	826.0244
28	54.72	None	28.7283	854.7529
29	51.46	None	28.5089	883.2621
30	44.42	None	30.4453	913.7076
31	58.87	None	29.6357	943.3435
32	53.31	None	30.2162	973.5600
33	65.61	None	32.0865	1005.6467
34	54.34	None	29.9311	1035.5780
35	54.14	None	29.9182	1065.4964
36	42.36	None	30.6195	1096.1161
37	58.39	None	30.7780	1126.8943
38	61.8	None	30.4068	1157.3013
39	40.25	None	29.6023	1186.9038
40	61.04	None	30.6902	1217.5941
41	60.2	None	29.1116	1246.7059
42	58.14	None	30.6764	1277.3825
43	64.09	None	30.9628	1308.3455
44	45.09	None	29.9535	1338.2992
45	54.68	None	30.0845	1368.3839
46	55.85	None	28.3405	1396.7247
47	55.03	None	31.2441	1427.9690
48	53.35	None	30.3483	1458.3175
49	44.65	None	28.4656	1486.7833
50	44.48	None	35.9955	1522.7790
51	45.06	None	36.1646	1558.9438
52	44.86	None	35.4475	1594.3915
53	54.28	None	36.0727	1630.4644
54	54.16	None	36.1130	1666.5776
55	53.65	None	36.2496	1702.8274
56	54.02	None	35.8125	1738.6402
57	54.42	None	35.9023	1774.5427
58	51.31	None	36.2162	1810.7591
59	51.19	None	36.4497	1847.2090
60	51.03	None	36.1642	1883.3735
61	50.98	None	35.7778	1919.1515
62	63.46	None	35.6526	1954.8044
63	63.86	None	36.0824	1990.8869
64	64.39	None	35.8233	2026.7104
65	65.97	None	35.9432	2062.6538
66	66.15	None	35.8522	2098.5063
67	66.11	None	36.2469	2134.7534
68	65.82	None	35.9940	2170.7476
69	56.27	None	36.2429	2206.9907
70	55.88	None	36.0933	2243.0843
71	56.03	None	36.5503	2279.6348
72	56.01	None	36.2101	2315.8450
73	60.12	None	35.7056	2351.5508
74	59.91	None	36.1142	2387.6653
75	59.5	None	35.8553	2423.5207
76	59.68	None	35.6513	2459.1722
77	59.57	None	34.9253	2494.0977
78	59.67	None	35.5393	2529.6372
79	59.64	None	35.4442	2565.0816
80	59.38	None	35.2526	2600.3346
81	59.19	None	35.6429	2635.9777
82	59.76	None	35.3395	2671.3175
83	59.7	None	35.5249	2706.8426
84	59.58	None	35.5226	2742.3654
85	59.35	None	35.3369	2777.7025
86	59.38	None	35.6240	2813.3267
87	59.42	None	35.5212	2848.8482
88	59.22	None	35.3509	2884.1993
89	58.87	None	35.4810	2919.6805
90	66.25	None	35.4117	2955.0924
91	66.1	None	35.7459	2990.8385
92	62.17	None	35.4823	3026.3210
93	62.3	None	35.6558	3061.9771
94	62.21	None	35.6041	3097.5816
95	62.42	None	35.6015	3133.1833
96	62.81	None	34.7862	3167.9697
97	62.85	None	35.5110	3203.4809
98	63.38	None	35.7524	3239.2335
99	63.51	None	36.0525	3275.2864
