========================================================================================================================
Training started at: 2026-04-08 08:11:05
Result directory: results/fl_svhn/fedcda/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_hs-3_bn-3_wr-30_L-1.0
Result txt file : results/fl_svhn/fedcda/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_hs-3_bn-3_wr-30_L-1.0/fedcda_fl_svhn_20260408-081105-890725_pid2514223.txt
Result log file : results/fl_svhn/fedcda/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_hs-3_bn-3_wr-30_L-1.0/fedcda_fl_svhn_20260408-081105-890725_pid2514223.log
------------------------------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_svhn
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 100
Local epoch: 1
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedCDA history size: 3
FedCDA batch num: 3
FedCDA warmup round: 30
FedCDA L: 1.0
========================================================================================================================
[Round 001/100] Phase=standard | Stage=warmup | Acc=7.590 | RoundTime=54.53s | TotalTime=54.54s | Method=fedcda
[Round 002/100] Phase=standard | Stage=warmup | Acc=31.530 | RoundTime=52.94s | TotalTime=107.49s | Method=fedcda
[Round 003/100] Phase=standard | Stage=warmup | Acc=50.130 | RoundTime=52.63s | TotalTime=160.13s | Method=fedcda
[Round 004/100] Phase=standard | Stage=warmup | Acc=64.570 | RoundTime=55.73s | TotalTime=215.87s | Method=fedcda
[Round 005/100] Phase=standard | Stage=warmup | Acc=70.420 | RoundTime=53.55s | TotalTime=269.43s | Method=fedcda
[Round 006/100] Phase=standard | Stage=warmup | Acc=77.060 | RoundTime=53.26s | TotalTime=322.71s | Method=fedcda
[Round 007/100] Phase=standard | Stage=warmup | Acc=79.660 | RoundTime=54.37s | TotalTime=377.08s | Method=fedcda
[Round 008/100] Phase=standard | Stage=warmup | Acc=80.050 | RoundTime=53.21s | TotalTime=430.30s | Method=fedcda
[Round 009/100] Phase=standard | Stage=warmup | Acc=82.560 | RoundTime=54.14s | TotalTime=484.45s | Method=fedcda
[Round 010/100] Phase=standard | Stage=warmup | Acc=80.750 | RoundTime=52.06s | TotalTime=536.52s | Method=fedcda
[Round 011/100] Phase=standard | Stage=warmup | Acc=82.400 | RoundTime=54.00s | TotalTime=590.53s | Method=fedcda
[Round 012/100] Phase=standard | Stage=warmup | Acc=79.050 | RoundTime=53.60s | TotalTime=644.14s | Method=fedcda
[Round 013/100] Phase=standard | Stage=warmup | Acc=85.350 | RoundTime=53.30s | TotalTime=697.45s | Method=fedcda
[Round 014/100] Phase=standard | Stage=warmup | Acc=84.850 | RoundTime=53.43s | TotalTime=750.89s | Method=fedcda
[Round 015/100] Phase=standard | Stage=warmup | Acc=81.860 | RoundTime=53.80s | TotalTime=804.71s | Method=fedcda
[Round 016/100] Phase=standard | Stage=warmup | Acc=86.190 | RoundTime=51.83s | TotalTime=856.54s | Method=fedcda
[Round 017/100] Phase=standard | Stage=warmup | Acc=87.480 | RoundTime=51.22s | TotalTime=907.77s | Method=fedcda
[Round 018/100] Phase=standard | Stage=warmup | Acc=83.790 | RoundTime=54.96s | TotalTime=962.73s | Method=fedcda
[Round 019/100] Phase=standard | Stage=warmup | Acc=86.460 | RoundTime=54.47s | TotalTime=1017.21s | Method=fedcda
[Round 020/100] Phase=standard | Stage=warmup | Acc=88.220 | RoundTime=54.45s | TotalTime=1071.67s | Method=fedcda
[Round 021/100] Phase=standard | Stage=warmup | Acc=85.790 | RoundTime=49.14s | TotalTime=1120.82s | Method=fedcda
[Round 022/100] Phase=standard | Stage=warmup | Acc=86.510 | RoundTime=43.37s | TotalTime=1164.20s | Method=fedcda
[Round 023/100] Phase=standard | Stage=warmup | Acc=89.780 | RoundTime=48.13s | TotalTime=1212.34s | Method=fedcda
[Round 024/100] Phase=standard | Stage=warmup | Acc=88.420 | RoundTime=40.24s | TotalTime=1252.60s | Method=fedcda
[Round 025/100] Phase=standard | Stage=warmup | Acc=86.200 | RoundTime=48.37s | TotalTime=1300.98s | Method=fedcda
[Round 026/100] Phase=standard | Stage=warmup | Acc=87.920 | RoundTime=39.87s | TotalTime=1340.85s | Method=fedcda
[Round 027/100] Phase=standard | Stage=warmup | Acc=89.740 | RoundTime=49.72s | TotalTime=1390.59s | Method=fedcda
