====================================================================================================
Training started at: 2026-03-14 12:38:22
Result directory: results/fl_svhn/fedcda/pm-dir_a-0.8_nm-uni_nr-0.3
Result txt file : results/fl_svhn/fedcda/pm-dir_a-0.8_nm-uni_nr-0.3/fedcda_fl_svhn_20260314-123822.txt
Result log file : results/fl_svhn/fedcda/pm-dir_a-0.8_nm-uni_nr-0.3/fedcda_fl_svhn_20260314-123822.log
----------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=9.690 | RoundTime=51.43s | TotalTime=51.43s | Method=fedcda
[Round 002/100] Acc=26.610 | RoundTime=49.79s | TotalTime=101.23s | Method=fedcda
[Round 003/100] Acc=60.480 | RoundTime=52.68s | TotalTime=153.90s | Method=fedcda
[Round 004/100] Acc=68.040 | RoundTime=49.03s | TotalTime=202.93s | Method=fedcda
[Round 005/100] Acc=63.530 | RoundTime=48.52s | TotalTime=251.45s | Method=fedcda
[Round 006/100] Acc=70.820 | RoundTime=50.57s | TotalTime=302.03s | Method=fedcda
[Round 007/100] Acc=65.930 | RoundTime=52.54s | TotalTime=354.57s | Method=fedcda
[Round 008/100] Acc=70.890 | RoundTime=50.95s | TotalTime=405.51s | Method=fedcda
[Round 009/100] Acc=75.290 | RoundTime=50.15s | TotalTime=455.67s | Method=fedcda
[Round 010/100] Acc=71.490 | RoundTime=51.04s | TotalTime=506.71s | Method=fedcda
[Round 011/100] Acc=67.990 | RoundTime=51.87s | TotalTime=558.58s | Method=fedcda
[Round 012/100] Acc=58.950 | RoundTime=49.61s | TotalTime=608.19s | Method=fedcda
[Round 013/100] Acc=65.240 | RoundTime=53.87s | TotalTime=662.06s | Method=fedcda
[Round 014/100] Acc=67.900 | RoundTime=50.57s | TotalTime=712.63s | Method=fedcda
[Round 015/100] Acc=66.510 | RoundTime=52.08s | TotalTime=764.71s | Method=fedcda
[Round 016/100] Acc=67.760 | RoundTime=51.33s | TotalTime=816.04s | Method=fedcda
[Round 017/100] Acc=65.420 | RoundTime=49.95s | TotalTime=865.99s | Method=fedcda
[Round 018/100] Acc=74.310 | RoundTime=52.36s | TotalTime=918.35s | Method=fedcda
[Round 019/100] Acc=72.350 | RoundTime=51.37s | TotalTime=969.72s | Method=fedcda
[Round 020/100] Acc=74.920 | RoundTime=56.05s | TotalTime=1025.78s | Method=fedcda
[Round 021/100] Acc=74.580 | RoundTime=52.46s | TotalTime=1078.24s | Method=fedcda
[Round 022/100] Acc=72.600 | RoundTime=50.83s | TotalTime=1129.07s | Method=fedcda
[Round 023/100] Acc=73.070 | RoundTime=53.29s | TotalTime=1182.36s | Method=fedcda
[Round 024/100] Acc=66.070 | RoundTime=50.17s | TotalTime=1232.53s | Method=fedcda
[Round 025/100] Acc=66.730 | RoundTime=51.20s | TotalTime=1283.73s | Method=fedcda
[Round 026/100] Acc=56.410 | RoundTime=51.33s | TotalTime=1335.07s | Method=fedcda
[Round 027/100] Acc=71.530 | RoundTime=51.54s | TotalTime=1386.61s | Method=fedcda
[Round 028/100] Acc=67.270 | RoundTime=54.19s | TotalTime=1440.80s | Method=fedcda
[Round 029/100] Acc=65.770 | RoundTime=53.37s | TotalTime=1494.17s | Method=fedcda
[Round 030/100] Acc=71.910 | RoundTime=50.68s | TotalTime=1544.85s | Method=fedcda
[Round 031/100] Acc=65.590 | RoundTime=51.36s | TotalTime=1596.21s | Method=fedcda
[Round 032/100] Acc=66.330 | RoundTime=52.13s | TotalTime=1648.35s | Method=fedcda
[Round 033/100] Acc=70.910 | RoundTime=49.46s | TotalTime=1697.80s | Method=fedcda
[Round 034/100] Acc=67.640 | RoundTime=50.81s | TotalTime=1748.62s | Method=fedcda
[Round 035/100] Acc=61.960 | RoundTime=55.52s | TotalTime=1804.14s | Method=fedcda
[Round 036/100] Acc=73.050 | RoundTime=51.72s | TotalTime=1855.86s | Method=fedcda
[Round 037/100] Acc=71.410 | RoundTime=53.09s | TotalTime=1908.95s | Method=fedcda
[Round 038/100] Acc=65.450 | RoundTime=49.79s | TotalTime=1958.74s | Method=fedcda
[Round 039/100] Acc=72.710 | RoundTime=50.56s | TotalTime=2009.30s | Method=fedcda
[Round 040/100] Acc=72.270 | RoundTime=51.16s | TotalTime=2060.47s | Method=fedcda
[Round 041/100] Acc=68.400 | RoundTime=52.19s | TotalTime=2112.65s | Method=fedcda
[Round 042/100] Acc=70.390 | RoundTime=52.59s | TotalTime=2165.25s | Method=fedcda
[Round 043/100] Acc=67.900 | RoundTime=50.68s | TotalTime=2215.93s | Method=fedcda
[Round 044/100] Acc=75.000 | RoundTime=51.63s | TotalTime=2267.56s | Method=fedcda
[Round 045/100] Acc=68.480 | RoundTime=53.33s | TotalTime=2320.88s | Method=fedcda
[Round 046/100] Acc=69.230 | RoundTime=51.83s | TotalTime=2372.72s | Method=fedcda
[Round 047/100] Acc=61.000 | RoundTime=52.16s | TotalTime=2424.87s | Method=fedcda
