epoch	acc	pure	round_time_sec	total_time_sec
0	9.69	None	51.4306	51.4308
1	26.61	None	49.7941	101.2252
2	60.48	None	52.6759	153.9014
3	68.04	None	49.0251	202.9268
4	63.53	None	48.5248	251.4520
5	70.82	None	50.5749	302.0271
6	65.93	None	52.5379	354.5654
7	70.89	None	50.9485	405.5142
8	75.29	None	50.1550	455.6695
9	71.49	None	51.0363	506.7060
10	67.99	None	51.8710	558.5773
11	58.95	None	49.6136	608.1912
12	65.24	None	53.8707	662.0621
13	67.9	None	50.5699	712.6333
14	66.51	None	52.0787	764.7123
15	67.76	None	51.3253	816.0381
16	65.42	None	49.9501	865.9885
17	74.31	None	52.3607	918.3495
18	72.35	None	51.3739	969.7237
19	74.92	None	56.0517	1025.7758
20	74.58	None	52.4628	1078.2389
21	72.6	None	50.8330	1129.0723
22	73.07	None	53.2906	1182.3632
23	66.07	None	50.1663	1232.5299
24	66.73	None	51.2026	1283.7328
25	56.41	None	51.3344	1335.0676
26	71.53	None	51.5434	1386.6113
27	67.27	None	54.1899	1440.8028
28	65.77	None	53.3697	1494.1728
29	71.91	None	50.6814	1544.8545
30	65.59	None	51.3569	1596.2119
31	66.33	None	52.1350	1648.3472
32	70.91	None	49.4559	1697.8045
33	67.64	None	50.8144	1748.6192
34	61.96	None	55.5156	1804.1352
35	73.05	None	51.7244	1855.8599
36	71.41	None	53.0909	1908.9511
37	65.45	None	49.7904	1958.7418
38	72.71	None	50.5613	2009.3034
39	72.27	None	51.1616	2060.4652
40	68.4	None	52.1878	2112.6533
41	70.39	None	52.5923	2165.2458
42	67.9	None	50.6791	2215.9253
43	75.0	None	51.6312	2267.5569
44	68.48	None	53.3257	2320.8829
45	69.23	None	51.8333	2372.7177
46	61.0	None	52.1552	2424.8734
47	61.15	None	51.4264	2476.3001
48	66.55	None	51.9503	2528.2508
49	76.39	None	51.4023	2579.6535
50	76.61	None	64.3900	2644.0439
51	76.95	None	64.4452	2708.4894
52	77.26	None	63.7065	2772.1962
53	77.29	None	64.9980	2837.1946
54	62.85	None	63.9157	2901.1105
55	62.87	None	61.8327	2962.9436
56	62.85	None	61.9982	3024.9421
57	63.68	None	64.2661	3089.2086
58	63.41	None	61.6277	3150.8366
59	63.74	None	60.8781	3211.7150
60	64.0	None	62.4468	3274.1621
61	64.06	None	62.3610	3336.5234
62	64.46	None	64.1939	3400.7176
63	64.39	None	61.9035	3462.6215
64	64.8	None	62.7750	3525.3968
65	65.63	None	64.4288	3589.8259
66	65.15	None	63.8029	3653.6292
67	65.78	None	60.5273	3714.1568
68	65.7	None	61.6152	3775.7726
69	65.79	None	61.4037	3837.1767
70	66.21	None	61.7584	3898.9354
71	65.43	None	62.3717	3961.3073
72	65.38	None	60.4037	4021.7113
73	64.9	None	67.3418	4089.0535
74	64.52	None	61.2208	4150.2745
75	64.01	None	63.9615	4214.2364
76	64.11	None	62.2148	4276.4515
77	64.18	None	63.2155	4339.6673
78	64.46	None	61.8425	4401.5101
79	64.59	None	64.6593	4466.1697
80	64.08	None	64.6126	4530.7840
81	64.11	None	61.1800	4591.9643
82	63.58	None	62.6023	4654.5678
83	63.81	None	61.8067	4716.3748
84	63.84	None	61.8232	4778.1983
85	63.46	None	62.0227	4840.2213
86	63.78	None	63.3537	4903.5753
87	63.52	None	62.0498	4965.6254
88	63.8	None	62.2724	5027.8992
89	64.12	None	62.3545	5090.2540
90	64.01	None	62.5719	5152.8262
91	63.84	None	62.8774	5215.7040
92	63.59	None	62.2801	5277.9843
93	63.67	None	61.7194	5339.7041
94	63.92	None	62.2764	5401.9807
95	63.59	None	65.8179	5467.7990
96	63.11	None	61.4623	5529.2617
97	63.4	None	61.7189	5590.9810
98	64.07	None	62.2349	5653.2162
99	72.89	None	50.5163	5703.7327
