====================================================================================================
Training started at: 2026-03-08 13:28:16
Result directory: results/fl_svhn/feddenoise
Result txt file : results/fl_svhn/feddenoise/model=feddenoise_dataset=fl_svhn_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=least_sim_noiseType=asymmetric_noiseMax=0.3_avg=weight_seed=0_20260308-132816.txt
Result log file : results/fl_svhn/feddenoise/model=feddenoise_dataset=fl_svhn_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=least_sim_noiseType=asymmetric_noiseMax=0.3_avg=weight_seed=0_20260308-132816.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
Noise type: asymmetric
Noise max: 0.3
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=19.700 | Pure=83.156 | RoundTime=52.79s | TotalTime=52.79s | Method=feddenoise
[Round 002/100] Acc=78.080 | Pure=84.166 | RoundTime=53.45s | TotalTime=106.23s | Method=feddenoise
[Round 003/100] Acc=85.690 | Pure=84.884 | RoundTime=53.30s | TotalTime=159.53s | Method=feddenoise
[Round 004/100] Acc=86.580 | Pure=81.961 | RoundTime=52.36s | TotalTime=211.90s | Method=feddenoise
[Round 005/100] Acc=87.720 | Pure=82.725 | RoundTime=52.21s | TotalTime=264.10s | Method=feddenoise
[Round 006/100] Acc=87.850 | Pure=82.753 | RoundTime=52.77s | TotalTime=316.87s | Method=feddenoise
[Round 007/100] Acc=89.380 | Pure=87.304 | RoundTime=53.97s | TotalTime=370.83s | Method=feddenoise
[Round 008/100] Acc=88.380 | Pure=80.542 | RoundTime=52.90s | TotalTime=423.73s | Method=feddenoise
[Round 009/100] Acc=89.690 | Pure=86.125 | RoundTime=52.62s | TotalTime=476.35s | Method=feddenoise
[Round 010/100] Acc=89.570 | Pure=83.915 | RoundTime=53.44s | TotalTime=529.79s | Method=feddenoise
[Round 011/100] Acc=90.340 | Pure=91.338 | RoundTime=80.16s | TotalTime=609.95s | Method=feddenoise
[Round 012/100] Acc=90.420 | Pure=90.320 | RoundTime=77.21s | TotalTime=687.17s | Method=feddenoise
[Round 013/100] Acc=90.660 | Pure=91.376 | RoundTime=76.80s | TotalTime=763.97s | Method=feddenoise
[Round 014/100] Acc=90.830 | Pure=92.119 | RoundTime=77.11s | TotalTime=841.08s | Method=feddenoise
[Round 015/100] Acc=90.870 | Pure=92.040 | RoundTime=77.46s | TotalTime=918.54s | Method=feddenoise
[Round 016/100] Acc=91.080 | Pure=92.646 | RoundTime=75.74s | TotalTime=994.28s | Method=feddenoise
[Round 017/100] Acc=91.290 | Pure=92.717 | RoundTime=77.77s | TotalTime=1072.04s | Method=feddenoise
[Round 018/100] Acc=91.690 | Pure=94.082 | RoundTime=77.16s | TotalTime=1149.21s | Method=feddenoise
[Round 019/100] Acc=91.530 | Pure=93.051 | RoundTime=78.86s | TotalTime=1228.07s | Method=feddenoise
[Round 020/100] Acc=91.700 | Pure=95.751 | RoundTime=77.78s | TotalTime=1305.85s | Method=feddenoise
[Round 021/100] Acc=91.860 | Pure=94.048 | RoundTime=76.83s | TotalTime=1382.68s | Method=feddenoise
[Round 022/100] Acc=92.280 | Pure=97.488 | RoundTime=76.74s | TotalTime=1459.42s | Method=feddenoise
[Round 023/100] Acc=92.010 | Pure=93.034 | RoundTime=77.74s | TotalTime=1537.17s | Method=feddenoise
[Round 024/100] Acc=91.910 | Pure=93.238 | RoundTime=77.07s | TotalTime=1614.24s | Method=feddenoise
[Round 025/100] Acc=92.220 | Pure=94.177 | RoundTime=77.40s | TotalTime=1691.64s | Method=feddenoise
[Round 026/100] Acc=92.120 | Pure=91.359 | RoundTime=76.39s | TotalTime=1768.03s | Method=feddenoise
[Round 027/100] Acc=91.960 | Pure=93.970 | RoundTime=78.02s | TotalTime=1846.05s | Method=feddenoise
[Round 028/100] Acc=92.160 | Pure=94.534 | RoundTime=77.62s | TotalTime=1923.68s | Method=feddenoise
[Round 029/100] Acc=91.940 | Pure=92.233 | RoundTime=76.56s | TotalTime=2000.24s | Method=feddenoise
[Round 030/100] Acc=91.960 | Pure=92.594 | RoundTime=78.12s | TotalTime=2078.36s | Method=feddenoise
[Round 031/100] Acc=92.090 | Pure=92.858 | RoundTime=79.09s | TotalTime=2157.45s | Method=feddenoise
[Round 032/100] Acc=92.030 | Pure=92.677 | RoundTime=77.71s | TotalTime=2235.16s | Method=feddenoise
[Round 033/100] Acc=92.230 | Pure=91.904 | RoundTime=77.21s | TotalTime=2312.37s | Method=feddenoise
[Round 034/100] Acc=91.920 | Pure=92.582 | RoundTime=78.13s | TotalTime=2390.50s | Method=feddenoise
[Round 035/100] Acc=92.100 | Pure=92.881 | RoundTime=77.70s | TotalTime=2468.20s | Method=feddenoise
[Round 036/100] Acc=92.170 | Pure=92.945 | RoundTime=77.85s | TotalTime=2546.05s | Method=feddenoise
[Round 037/100] Acc=92.280 | Pure=96.006 | RoundTime=77.43s | TotalTime=2623.48s | Method=feddenoise
[Round 038/100] Acc=92.090 | Pure=90.411 | RoundTime=77.26s | TotalTime=2700.74s | Method=feddenoise
[Round 039/100] Acc=91.820 | Pure=90.098 | RoundTime=78.42s | TotalTime=2779.16s | Method=feddenoise
[Round 040/100] Acc=91.250 | Pure=88.657 | RoundTime=76.57s | TotalTime=2855.73s | Method=feddenoise
[Round 041/100] Acc=92.160 | Pure=92.244 | RoundTime=79.81s | TotalTime=2935.54s | Method=feddenoise
[Round 042/100] Acc=91.750 | Pure=89.156 | RoundTime=77.75s | TotalTime=3013.29s | Method=feddenoise
[Round 043/100] Acc=92.090 | Pure=91.589 | RoundTime=77.81s | TotalTime=3091.10s | Method=feddenoise
[Round 044/100] Acc=92.060 | Pure=91.586 | RoundTime=76.64s | TotalTime=3167.75s | Method=feddenoise
[Round 045/100] Acc=91.880 | Pure=89.957 | RoundTime=78.61s | TotalTime=3246.36s | Method=feddenoise
[Round 046/100] Acc=92.500 | Pure=93.830 | RoundTime=77.55s | TotalTime=3323.90s | Method=feddenoise
[Round 047/100] Acc=92.320 | Pure=93.575 | RoundTime=80.40s | TotalTime=3404.31s | Method=feddenoise
[Round 048/100] Acc=91.740 | Pure=88.927 | RoundTime=77.53s | TotalTime=3481.83s | Method=feddenoise
[Round 049/100] Acc=92.520 | Pure=95.331 | RoundTime=77.72s | TotalTime=3559.56s | Method=feddenoise
[Round 050/100] Acc=92.070 | Pure=89.896 | RoundTime=77.11s | TotalTime=3636.67s | Method=feddenoise
[Round 051/100] Acc=91.890 | Pure=88.592 | RoundTime=77.94s | TotalTime=3714.61s | Method=feddenoise
[Round 052/100] Acc=91.840 | Pure=89.216 | RoundTime=76.64s | TotalTime=3791.25s | Method=feddenoise
[Round 053/100] Acc=92.270 | Pure=92.320 | RoundTime=78.33s | TotalTime=3869.57s | Method=feddenoise
[Round 054/100] Acc=92.440 | Pure=93.824 | RoundTime=76.91s | TotalTime=3946.48s | Method=feddenoise
[Round 055/100] Acc=92.380 | Pure=92.661 | RoundTime=76.97s | TotalTime=4023.45s | Method=feddenoise
[Round 056/100] Acc=92.510 | Pure=93.148 | RoundTime=78.84s | TotalTime=4102.28s | Method=feddenoise
[Round 057/100] Acc=92.320 | Pure=91.094 | RoundTime=77.25s | TotalTime=4179.53s | Method=feddenoise
[Round 058/100] Acc=92.270 | Pure=91.466 | RoundTime=77.43s | TotalTime=4256.97s | Method=feddenoise
[Round 059/100] Acc=92.360 | Pure=92.333 | RoundTime=79.50s | TotalTime=4336.47s | Method=feddenoise
[Round 060/100] Acc=92.480 | Pure=91.568 | RoundTime=81.01s | TotalTime=4417.48s | Method=feddenoise
[Round 061/100] Acc=92.410 | Pure=93.155 | RoundTime=78.99s | TotalTime=4496.46s | Method=feddenoise
[Round 062/100] Acc=92.660 | Pure=92.639 | RoundTime=77.22s | TotalTime=4573.68s | Method=feddenoise
[Round 063/100] Acc=92.340 | Pure=91.300 | RoundTime=77.38s | TotalTime=4651.07s | Method=feddenoise
[Round 064/100] Acc=92.540 | Pure=94.550 | RoundTime=77.00s | TotalTime=4728.06s | Method=feddenoise
[Round 065/100] Acc=92.390 | Pure=93.175 | RoundTime=76.84s | TotalTime=4804.91s | Method=feddenoise
[Round 066/100] Acc=91.680 | Pure=87.782 | RoundTime=77.40s | TotalTime=4882.31s | Method=feddenoise
[Round 067/100] Acc=92.000 | Pure=90.682 | RoundTime=77.27s | TotalTime=4959.58s | Method=feddenoise
[Round 068/100] Acc=92.740 | Pure=95.427 | RoundTime=78.87s | TotalTime=5038.45s | Method=feddenoise
[Round 069/100] Acc=92.410 | Pure=92.253 | RoundTime=76.74s | TotalTime=5115.19s | Method=feddenoise
[Round 070/100] Acc=91.890 | Pure=90.299 | RoundTime=77.91s | TotalTime=5193.10s | Method=feddenoise
