====================================================================================================
Training started at: 2026-03-08 13:28:17
Result directory: results/fl_svhn/feddenoise
Result txt file : results/fl_svhn/feddenoise/model=feddenoise_dataset=fl_svhn_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=most_sim_noiseType=asymmetric_noiseMax=0.3_avg=weight_seed=0_20260308-132817.txt
Result log file : results/fl_svhn/feddenoise/model=feddenoise_dataset=fl_svhn_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=most_sim_noiseType=asymmetric_noiseMax=0.3_avg=weight_seed=0_20260308-132817.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Alpha: 0.5
Drop rate: 0.15
Denoise strategy: most_sim
Noise type: asymmetric
Noise max: 0.3
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=30.390 | Pure=83.019 | RoundTime=53.03s | TotalTime=53.03s | Method=feddenoise
[Round 002/100] Acc=78.640 | Pure=85.834 | RoundTime=54.04s | TotalTime=107.08s | Method=feddenoise
[Round 003/100] Acc=84.880 | Pure=82.362 | RoundTime=53.30s | TotalTime=160.38s | Method=feddenoise
[Round 004/100] Acc=87.830 | Pure=85.974 | RoundTime=52.37s | TotalTime=212.74s | Method=feddenoise
[Round 005/100] Acc=87.550 | Pure=81.410 | RoundTime=52.69s | TotalTime=265.43s | Method=feddenoise
[Round 006/100] Acc=89.050 | Pure=87.147 | RoundTime=52.76s | TotalTime=318.20s | Method=feddenoise
[Round 007/100] Acc=89.620 | Pure=87.802 | RoundTime=51.43s | TotalTime=369.63s | Method=feddenoise
[Round 008/100] Acc=89.360 | Pure=83.686 | RoundTime=52.94s | TotalTime=422.57s | Method=feddenoise
[Round 009/100] Acc=90.520 | Pure=87.763 | RoundTime=52.31s | TotalTime=474.88s | Method=feddenoise
[Round 010/100] Acc=90.710 | Pure=88.256 | RoundTime=52.93s | TotalTime=527.81s | Method=feddenoise
[Round 011/100] Acc=91.010 | Pure=95.653 | RoundTime=80.10s | TotalTime=607.91s | Method=feddenoise
[Round 012/100] Acc=91.300 | Pure=95.661 | RoundTime=76.24s | TotalTime=684.15s | Method=feddenoise
[Round 013/100] Acc=91.160 | Pure=91.884 | RoundTime=76.98s | TotalTime=761.13s | Method=feddenoise
[Round 014/100] Acc=91.410 | Pure=91.814 | RoundTime=77.29s | TotalTime=838.42s | Method=feddenoise
[Round 015/100] Acc=91.450 | Pure=92.808 | RoundTime=77.34s | TotalTime=915.77s | Method=feddenoise
[Round 016/100] Acc=91.540 | Pure=93.732 | RoundTime=76.40s | TotalTime=992.17s | Method=feddenoise
[Round 017/100] Acc=91.840 | Pure=94.899 | RoundTime=77.66s | TotalTime=1069.83s | Method=feddenoise
[Round 018/100] Acc=91.920 | Pure=92.843 | RoundTime=76.63s | TotalTime=1146.47s | Method=feddenoise
[Round 019/100] Acc=91.900 | Pure=95.175 | RoundTime=78.44s | TotalTime=1224.91s | Method=feddenoise
[Round 020/100] Acc=91.080 | Pure=89.595 | RoundTime=77.20s | TotalTime=1302.11s | Method=feddenoise
[Round 021/100] Acc=91.710 | Pure=91.872 | RoundTime=76.18s | TotalTime=1378.29s | Method=feddenoise
[Round 022/100] Acc=92.190 | Pure=96.940 | RoundTime=76.60s | TotalTime=1454.90s | Method=feddenoise
[Round 023/100] Acc=92.120 | Pure=96.474 | RoundTime=77.17s | TotalTime=1532.06s | Method=feddenoise
[Round 024/100] Acc=92.230 | Pure=94.369 | RoundTime=76.81s | TotalTime=1608.88s | Method=feddenoise
[Round 025/100] Acc=92.110 | Pure=93.278 | RoundTime=77.84s | TotalTime=1686.72s | Method=feddenoise
[Round 026/100] Acc=92.120 | Pure=92.803 | RoundTime=77.06s | TotalTime=1763.77s | Method=feddenoise
[Round 027/100] Acc=91.810 | Pure=92.609 | RoundTime=78.30s | TotalTime=1842.07s | Method=feddenoise
[Round 028/100] Acc=92.130 | Pure=92.803 | RoundTime=77.24s | TotalTime=1919.31s | Method=feddenoise
[Round 029/100] Acc=92.340 | Pure=94.028 | RoundTime=76.63s | TotalTime=1995.94s | Method=feddenoise
[Round 030/100] Acc=92.560 | Pure=93.671 | RoundTime=78.07s | TotalTime=2074.01s | Method=feddenoise
[Round 031/100] Acc=92.550 | Pure=93.954 | RoundTime=76.48s | TotalTime=2150.49s | Method=feddenoise
[Round 032/100] Acc=92.590 | Pure=97.283 | RoundTime=76.70s | TotalTime=2227.19s | Method=feddenoise
[Round 033/100] Acc=92.290 | Pure=93.168 | RoundTime=77.29s | TotalTime=2304.48s | Method=feddenoise
[Round 034/100] Acc=92.480 | Pure=93.824 | RoundTime=78.32s | TotalTime=2382.80s | Method=feddenoise
[Round 035/100] Acc=92.920 | Pure=97.886 | RoundTime=76.88s | TotalTime=2459.68s | Method=feddenoise
[Round 036/100] Acc=93.030 | Pure=95.950 | RoundTime=76.98s | TotalTime=2536.66s | Method=feddenoise
[Round 037/100] Acc=92.780 | Pure=94.026 | RoundTime=77.20s | TotalTime=2613.85s | Method=feddenoise
[Round 038/100] Acc=92.900 | Pure=95.156 | RoundTime=77.67s | TotalTime=2691.52s | Method=feddenoise
[Round 039/100] Acc=92.470 | Pure=91.696 | RoundTime=77.83s | TotalTime=2769.35s | Method=feddenoise
[Round 040/100] Acc=92.850 | Pure=95.148 | RoundTime=77.05s | TotalTime=2846.40s | Method=feddenoise
[Round 041/100] Acc=93.150 | Pure=95.138 | RoundTime=79.43s | TotalTime=2925.83s | Method=feddenoise
[Round 042/100] Acc=93.120 | Pure=96.967 | RoundTime=76.98s | TotalTime=3002.81s | Method=feddenoise
[Round 043/100] Acc=93.060 | Pure=94.583 | RoundTime=76.85s | TotalTime=3079.67s | Method=feddenoise
[Round 044/100] Acc=92.500 | Pure=91.613 | RoundTime=77.52s | TotalTime=3157.18s | Method=feddenoise
[Round 045/100] Acc=92.820 | Pure=93.829 | RoundTime=77.11s | TotalTime=3234.29s | Method=feddenoise
