====================================================================================================
Training started at: 2026-03-08 13:28:17
Result directory: results/fl_svhn/feddenoise
Result txt file : results/fl_svhn/feddenoise/model=feddenoise_dataset=fl_svhn_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=random_noiseType=asymmetric_noiseMax=0.3_avg=weight_seed=0_20260308-132817.txt
Result log file : results/fl_svhn/feddenoise/model=feddenoise_dataset=fl_svhn_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=random_noiseType=asymmetric_noiseMax=0.3_avg=weight_seed=0_20260308-132817.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Alpha: 0.5
Drop rate: 0.15
Denoise strategy: random
Noise type: asymmetric
Noise max: 0.3
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=25.520 | Pure=84.991 | RoundTime=53.28s | TotalTime=53.28s | Method=feddenoise
[Round 002/100] Acc=79.620 | Pure=86.157 | RoundTime=53.22s | TotalTime=106.49s | Method=feddenoise
[Round 003/100] Acc=85.450 | Pure=82.953 | RoundTime=52.89s | TotalTime=159.38s | Method=feddenoise
[Round 004/100] Acc=86.950 | Pure=82.667 | RoundTime=52.35s | TotalTime=211.74s | Method=feddenoise
[Round 005/100] Acc=88.130 | Pure=85.365 | RoundTime=51.93s | TotalTime=263.66s | Method=feddenoise
[Round 006/100] Acc=87.790 | Pure=81.564 | RoundTime=52.48s | TotalTime=316.14s | Method=feddenoise
[Round 007/100] Acc=89.220 | Pure=84.096 | RoundTime=51.80s | TotalTime=367.95s | Method=feddenoise
[Round 008/100] Acc=89.190 | Pure=83.822 | RoundTime=51.81s | TotalTime=419.76s | Method=feddenoise
[Round 009/100] Acc=89.120 | Pure=81.398 | RoundTime=51.57s | TotalTime=471.33s | Method=feddenoise
[Round 010/100] Acc=90.190 | Pure=87.929 | RoundTime=51.84s | TotalTime=523.18s | Method=feddenoise
[Round 011/100] Acc=90.890 | Pure=93.654 | RoundTime=76.05s | TotalTime=599.22s | Method=feddenoise
