====================================================================================================
Training started at: 2026-03-15 01:40:50
Result directory: results/fl_svhn/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3
Result txt file : results/fl_svhn/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3/feddenoise_fl_svhn_20260315-014050.txt
Result log file : results/fl_svhn/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3/feddenoise_fl_svhn_20260315-014050.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: global
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=19.590 | Pure=70.197 | RoundTime=54.06s | TotalTime=54.06s | Method=feddenoise
[Round 002/100] Acc=27.530 | Pure=70.149 | RoundTime=54.48s | TotalTime=108.53s | Method=feddenoise
[Round 003/100] Acc=48.430 | Pure=70.120 | RoundTime=51.90s | TotalTime=160.43s | Method=feddenoise
[Round 004/100] Acc=45.140 | Pure=70.087 | RoundTime=50.98s | TotalTime=211.41s | Method=feddenoise
[Round 005/100] Acc=61.310 | Pure=70.056 | RoundTime=53.65s | TotalTime=265.07s | Method=feddenoise
[Round 006/100] Acc=56.680 | Pure=70.132 | RoundTime=51.27s | TotalTime=316.34s | Method=feddenoise
[Round 007/100] Acc=41.070 | Pure=70.125 | RoundTime=53.24s | TotalTime=369.57s | Method=feddenoise
[Round 008/100] Acc=55.990 | Pure=70.113 | RoundTime=51.64s | TotalTime=421.21s | Method=feddenoise
[Round 009/100] Acc=52.020 | Pure=70.095 | RoundTime=51.17s | TotalTime=472.38s | Method=feddenoise
[Round 010/100] Acc=46.210 | Pure=70.145 | RoundTime=52.90s | TotalTime=525.29s | Method=feddenoise
[Round 011/100] Acc=60.760 | Pure=78.441 | RoundTime=63.34s | TotalTime=588.62s | Method=feddenoise
[Round 012/100] Acc=63.210 | Pure=77.747 | RoundTime=65.26s | TotalTime=653.89s | Method=feddenoise
[Round 013/100] Acc=61.490 | Pure=78.601 | RoundTime=62.25s | TotalTime=716.13s | Method=feddenoise
[Round 014/100] Acc=58.540 | Pure=77.298 | RoundTime=62.86s | TotalTime=778.99s | Method=feddenoise
[Round 015/100] Acc=61.390 | Pure=77.869 | RoundTime=63.80s | TotalTime=842.79s | Method=feddenoise
[Round 016/100] Acc=60.800 | Pure=78.165 | RoundTime=63.63s | TotalTime=906.42s | Method=feddenoise
[Round 017/100] Acc=57.130 | Pure=76.709 | RoundTime=63.58s | TotalTime=970.00s | Method=feddenoise
[Round 018/100] Acc=57.480 | Pure=77.633 | RoundTime=62.78s | TotalTime=1032.78s | Method=feddenoise
[Round 019/100] Acc=56.880 | Pure=78.398 | RoundTime=63.82s | TotalTime=1096.60s | Method=feddenoise
[Round 020/100] Acc=59.610 | Pure=77.548 | RoundTime=64.43s | TotalTime=1161.04s | Method=feddenoise
[Round 021/100] Acc=65.740 | Pure=78.723 | RoundTime=66.55s | TotalTime=1227.58s | Method=feddenoise
[Round 022/100] Acc=64.470 | Pure=79.033 | RoundTime=62.79s | TotalTime=1290.37s | Method=feddenoise
[Round 023/100] Acc=60.890 | Pure=78.570 | RoundTime=65.18s | TotalTime=1355.54s | Method=feddenoise
[Round 024/100] Acc=64.540 | Pure=79.099 | RoundTime=65.55s | TotalTime=1421.10s | Method=feddenoise
[Round 025/100] Acc=66.050 | Pure=78.998 | RoundTime=64.61s | TotalTime=1485.70s | Method=feddenoise
[Round 026/100] Acc=60.590 | Pure=78.211 | RoundTime=64.42s | TotalTime=1550.13s | Method=feddenoise
[Round 027/100] Acc=57.130 | Pure=79.538 | RoundTime=64.43s | TotalTime=1614.56s | Method=feddenoise
