====================================================================================================
Training started at: 2026-03-15 02:00:00
Result directory: results/fl_svhn/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3
Result txt file : results/fl_svhn/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3/feddenoise_fl_svhn_20260315-020000.txt
Result log file : results/fl_svhn/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3/feddenoise_fl_svhn_20260315-020000.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=6.380 | Pure=70.014 | RoundTime=51.98s | TotalTime=51.98s | Method=feddenoise
[Round 002/100] Acc=19.940 | Pure=70.066 | RoundTime=50.95s | TotalTime=102.93s | Method=feddenoise
[Round 003/100] Acc=47.110 | Pure=70.077 | RoundTime=51.92s | TotalTime=154.85s | Method=feddenoise
[Round 004/100] Acc=49.690 | Pure=70.160 | RoundTime=53.93s | TotalTime=208.78s | Method=feddenoise
[Round 005/100] Acc=49.350 | Pure=70.164 | RoundTime=53.53s | TotalTime=262.31s | Method=feddenoise
[Round 006/100] Acc=38.410 | Pure=70.080 | RoundTime=50.46s | TotalTime=312.77s | Method=feddenoise
[Round 007/100] Acc=54.610 | Pure=70.107 | RoundTime=50.81s | TotalTime=363.58s | Method=feddenoise
[Round 008/100] Acc=61.970 | Pure=70.126 | RoundTime=50.72s | TotalTime=414.30s | Method=feddenoise
[Round 009/100] Acc=50.050 | Pure=70.112 | RoundTime=52.17s | TotalTime=466.47s | Method=feddenoise
[Round 010/100] Acc=48.930 | Pure=70.108 | RoundTime=55.18s | TotalTime=521.65s | Method=feddenoise
[Round 011/100] Acc=52.360 | Pure=76.324 | RoundTime=74.77s | TotalTime=596.43s | Method=feddenoise
[Round 012/100] Acc=57.190 | Pure=75.992 | RoundTime=73.87s | TotalTime=670.30s | Method=feddenoise
[Round 013/100] Acc=60.360 | Pure=75.639 | RoundTime=77.59s | TotalTime=747.89s | Method=feddenoise
[Round 014/100] Acc=46.070 | Pure=76.746 | RoundTime=76.70s | TotalTime=824.58s | Method=feddenoise
[Round 015/100] Acc=63.380 | Pure=75.759 | RoundTime=77.17s | TotalTime=901.75s | Method=feddenoise
[Round 016/100] Acc=58.950 | Pure=75.740 | RoundTime=78.26s | TotalTime=980.01s | Method=feddenoise
[Round 017/100] Acc=62.280 | Pure=77.292 | RoundTime=73.96s | TotalTime=1053.97s | Method=feddenoise
[Round 018/100] Acc=55.370 | Pure=75.918 | RoundTime=75.90s | TotalTime=1129.87s | Method=feddenoise
[Round 019/100] Acc=62.640 | Pure=77.447 | RoundTime=73.64s | TotalTime=1203.51s | Method=feddenoise
[Round 020/100] Acc=60.830 | Pure=76.507 | RoundTime=75.20s | TotalTime=1278.71s | Method=feddenoise
[Round 021/100] Acc=58.740 | Pure=75.172 | RoundTime=75.17s | TotalTime=1353.88s | Method=feddenoise
[Round 022/100] Acc=60.830 | Pure=75.337 | RoundTime=79.50s | TotalTime=1433.38s | Method=feddenoise
[Round 023/100] Acc=58.600 | Pure=74.102 | RoundTime=74.96s | TotalTime=1508.34s | Method=feddenoise
[Round 024/100] Acc=61.380 | Pure=74.281 | RoundTime=75.47s | TotalTime=1583.81s | Method=feddenoise
[Round 025/100] Acc=56.630 | Pure=73.107 | RoundTime=75.74s | TotalTime=1659.55s | Method=feddenoise
[Round 026/100] Acc=57.190 | Pure=77.404 | RoundTime=75.64s | TotalTime=1735.19s | Method=feddenoise
[Round 027/100] Acc=58.410 | Pure=73.988 | RoundTime=75.54s | TotalTime=1810.73s | Method=feddenoise
[Round 028/100] Acc=58.530 | Pure=75.828 | RoundTime=76.48s | TotalTime=1887.21s | Method=feddenoise
[Round 029/100] Acc=58.020 | Pure=72.252 | RoundTime=74.40s | TotalTime=1961.61s | Method=feddenoise
[Round 030/100] Acc=53.370 | Pure=74.656 | RoundTime=76.04s | TotalTime=2037.65s | Method=feddenoise
[Round 031/100] Acc=54.780 | Pure=75.031 | RoundTime=74.74s | TotalTime=2112.39s | Method=feddenoise
[Round 032/100] Acc=60.670 | Pure=73.371 | RoundTime=75.93s | TotalTime=2188.33s | Method=feddenoise
[Round 033/100] Acc=56.610 | Pure=74.259 | RoundTime=75.23s | TotalTime=2263.55s | Method=feddenoise
[Round 034/100] Acc=57.580 | Pure=74.300 | RoundTime=76.84s | TotalTime=2340.39s | Method=feddenoise
[Round 035/100] Acc=59.930 | Pure=74.068 | RoundTime=75.42s | TotalTime=2415.81s | Method=feddenoise
[Round 036/100] Acc=57.390 | Pure=74.177 | RoundTime=75.52s | TotalTime=2491.33s | Method=feddenoise
[Round 037/100] Acc=56.950 | Pure=75.314 | RoundTime=74.83s | TotalTime=2566.16s | Method=feddenoise
[Round 038/100] Acc=58.900 | Pure=75.912 | RoundTime=76.53s | TotalTime=2642.69s | Method=feddenoise
[Round 039/100] Acc=55.740 | Pure=75.612 | RoundTime=75.08s | TotalTime=2717.76s | Method=feddenoise
[Round 040/100] Acc=55.290 | Pure=74.736 | RoundTime=75.03s | TotalTime=2792.79s | Method=feddenoise
[Round 041/100] Acc=60.560 | Pure=74.108 | RoundTime=75.23s | TotalTime=2868.02s | Method=feddenoise
[Round 042/100] Acc=58.750 | Pure=76.526 | RoundTime=77.30s | TotalTime=2945.32s | Method=feddenoise
[Round 043/100] Acc=60.460 | Pure=73.590 | RoundTime=76.46s | TotalTime=3021.78s | Method=feddenoise
[Round 044/100] Acc=63.640 | Pure=76.580 | RoundTime=73.64s | TotalTime=3095.42s | Method=feddenoise
[Round 045/100] Acc=57.070 | Pure=75.368 | RoundTime=76.94s | TotalTime=3172.36s | Method=feddenoise
[Round 046/100] Acc=62.540 | Pure=74.294 | RoundTime=77.57s | TotalTime=3249.94s | Method=feddenoise
[Round 047/100] Acc=58.070 | Pure=74.719 | RoundTime=76.32s | TotalTime=3326.26s | Method=feddenoise
[Round 048/100] Acc=55.290 | Pure=76.155 | RoundTime=77.03s | TotalTime=3403.29s | Method=feddenoise
[Round 049/100] Acc=57.320 | Pure=76.408 | RoundTime=75.07s | TotalTime=3478.36s | Method=feddenoise
[Round 050/100] Acc=64.780 | Pure=74.688 | RoundTime=74.96s | TotalTime=3553.32s | Method=feddenoise
[Round 051/100] Acc=63.700 | Pure=75.460 | RoundTime=76.57s | TotalTime=3629.88s | Method=feddenoise
[Round 052/100] Acc=60.610 | Pure=74.608 | RoundTime=76.60s | TotalTime=3706.49s | Method=feddenoise
[Round 053/100] Acc=52.110 | Pure=75.996 | RoundTime=75.03s | TotalTime=3781.51s | Method=feddenoise
[Round 054/100] Acc=58.970 | Pure=75.753 | RoundTime=75.09s | TotalTime=3856.60s | Method=feddenoise
[Round 055/100] Acc=59.180 | Pure=75.321 | RoundTime=74.85s | TotalTime=3931.45s | Method=feddenoise
[Round 056/100] Acc=63.900 | Pure=76.797 | RoundTime=76.11s | TotalTime=4007.56s | Method=feddenoise
[Round 057/100] Acc=58.310 | Pure=76.151 | RoundTime=76.32s | TotalTime=4083.88s | Method=feddenoise
[Round 058/100] Acc=57.310 | Pure=75.932 | RoundTime=74.25s | TotalTime=4158.13s | Method=feddenoise
[Round 059/100] Acc=63.400 | Pure=75.999 | RoundTime=74.24s | TotalTime=4232.37s | Method=feddenoise
[Round 060/100] Acc=64.510 | Pure=75.416 | RoundTime=75.20s | TotalTime=4307.57s | Method=feddenoise
[Round 061/100] Acc=58.520 | Pure=73.612 | RoundTime=74.85s | TotalTime=4382.41s | Method=feddenoise
[Round 062/100] Acc=57.220 | Pure=75.720 | RoundTime=75.86s | TotalTime=4458.28s | Method=feddenoise
