====================================================================================================
Training started at: 2026-03-15 07:16:20
Result directory: results/fl_svhn/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3
Result txt file : results/fl_svhn/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3/feddenoise_fl_svhn_20260315-071620.txt
Result log file : results/fl_svhn/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3/feddenoise_fl_svhn_20260315-071620.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: asymmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: random
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=19.690 | Pure=70.046 | RoundTime=52.36s | TotalTime=52.36s | Method=feddenoise
[Round 002/100] Acc=23.160 | Pure=70.151 | RoundTime=51.01s | TotalTime=103.38s | Method=feddenoise
[Round 003/100] Acc=37.150 | Pure=70.073 | RoundTime=53.19s | TotalTime=156.56s | Method=feddenoise
[Round 004/100] Acc=44.410 | Pure=70.141 | RoundTime=50.91s | TotalTime=207.47s | Method=feddenoise
[Round 005/100] Acc=49.930 | Pure=70.087 | RoundTime=51.60s | TotalTime=259.07s | Method=feddenoise
[Round 006/100] Acc=52.540 | Pure=70.141 | RoundTime=50.68s | TotalTime=309.75s | Method=feddenoise
[Round 007/100] Acc=46.180 | Pure=70.100 | RoundTime=51.13s | TotalTime=360.88s | Method=feddenoise
[Round 008/100] Acc=47.040 | Pure=70.134 | RoundTime=50.74s | TotalTime=411.63s | Method=feddenoise
[Round 009/100] Acc=28.530 | Pure=70.069 | RoundTime=52.39s | TotalTime=464.02s | Method=feddenoise
[Round 010/100] Acc=59.340 | Pure=70.109 | RoundTime=55.70s | TotalTime=519.72s | Method=feddenoise
[Round 011/100] Acc=59.470 | Pure=75.037 | RoundTime=74.67s | TotalTime=594.39s | Method=feddenoise
[Round 012/100] Acc=51.890 | Pure=74.709 | RoundTime=76.12s | TotalTime=670.51s | Method=feddenoise
[Round 013/100] Acc=63.560 | Pure=74.761 | RoundTime=73.91s | TotalTime=744.42s | Method=feddenoise
[Round 014/100] Acc=55.370 | Pure=73.545 | RoundTime=73.23s | TotalTime=817.65s | Method=feddenoise
[Round 015/100] Acc=48.470 | Pure=75.252 | RoundTime=74.33s | TotalTime=891.99s | Method=feddenoise
[Round 016/100] Acc=46.870 | Pure=74.460 | RoundTime=76.63s | TotalTime=968.62s | Method=feddenoise
[Round 017/100] Acc=58.050 | Pure=74.198 | RoundTime=72.84s | TotalTime=1041.46s | Method=feddenoise
[Round 018/100] Acc=58.800 | Pure=75.133 | RoundTime=73.09s | TotalTime=1114.54s | Method=feddenoise
[Round 019/100] Acc=49.220 | Pure=74.882 | RoundTime=74.58s | TotalTime=1189.12s | Method=feddenoise
[Round 020/100] Acc=62.250 | Pure=75.206 | RoundTime=74.09s | TotalTime=1263.21s | Method=feddenoise
[Round 021/100] Acc=60.260 | Pure=76.226 | RoundTime=73.96s | TotalTime=1337.16s | Method=feddenoise
[Round 022/100] Acc=64.680 | Pure=74.023 | RoundTime=73.01s | TotalTime=1410.18s | Method=feddenoise
[Round 023/100] Acc=56.510 | Pure=75.461 | RoundTime=74.72s | TotalTime=1484.90s | Method=feddenoise
[Round 024/100] Acc=55.620 | Pure=75.052 | RoundTime=74.53s | TotalTime=1559.43s | Method=feddenoise
[Round 025/100] Acc=49.510 | Pure=72.364 | RoundTime=72.95s | TotalTime=1632.38s | Method=feddenoise
[Round 026/100] Acc=60.440 | Pure=75.345 | RoundTime=74.77s | TotalTime=1707.15s | Method=feddenoise
[Round 027/100] Acc=52.520 | Pure=75.063 | RoundTime=73.57s | TotalTime=1780.71s | Method=feddenoise
[Round 028/100] Acc=54.160 | Pure=76.395 | RoundTime=73.21s | TotalTime=1853.92s | Method=feddenoise
[Round 029/100] Acc=51.610 | Pure=74.483 | RoundTime=74.16s | TotalTime=1928.08s | Method=feddenoise
[Round 030/100] Acc=55.740 | Pure=73.390 | RoundTime=75.52s | TotalTime=2003.60s | Method=feddenoise
[Round 031/100] Acc=55.820 | Pure=75.096 | RoundTime=72.96s | TotalTime=2076.56s | Method=feddenoise
[Round 032/100] Acc=56.560 | Pure=74.028 | RoundTime=74.33s | TotalTime=2150.89s | Method=feddenoise
[Round 033/100] Acc=49.450 | Pure=72.646 | RoundTime=74.13s | TotalTime=2225.02s | Method=feddenoise
