epoch	acc	pure	round_time_sec	total_time_sec
0	15.94	70.183	36.0370	36.0371
1	11.13	70.076	34.4472	70.4845
2	35.93	70.072	34.7072	105.1918
3	42.71	70.029	35.6793	140.8713
4	51.21	70.107	36.0508	176.9223
5	56.73	70.192	36.6574	213.5799
6	46.52	70.093	33.5469	247.1270
7	46.94	70.114	34.6437	281.7708
8	47.78	70.049	35.3365	317.1075
9	54.79	70.113	34.6626	351.7703
10	51.98	82.473	49.6928	401.4633
11	58.92	77.136	49.3094	450.7728
12	60.05	78.485	48.6650	499.4380
13	58.33	79.638	49.6912	549.1294
14	61.54	78.662	48.1804	597.3100
15	62.49	75.892	49.1572	646.4674
16	52.87	82.783	49.1199	695.5876
17	55.91	78.077	53.4621	749.0499
18	59.71	82.242	51.4132	800.4633
19	64.12	79.861	52.0591	852.5226
20	52.42	82.759	51.9473	904.4702
21	62.48	75.987	49.3687	953.8391
22	60.68	75.119	52.6708	1006.5101
23	46.06	78.832	50.6246	1057.1348
24	51.92	81.814	49.2272	1106.3622
25	64.48	74.713	49.7563	1156.1186
26	62.0	76.988	48.3904	1204.5092
27	57.19	80.617	50.5291	1255.0385
28	57.34	77.637	48.4477	1303.4863
29	59.78	76.9	49.6276	1353.1141
30	59.28	78.165	49.4595	1402.5738
31	59.31	80.117	49.5963	1452.1703
32	59.05	81.468	49.9969	1502.1674
33	64.42	78.453	49.2957	1551.4633
34	65.1	78.981	49.4579	1600.9214
35	62.8	80.756	49.1808	1650.1023
36	62.35	82.058	48.7868	1698.8893
37	61.24	81.148	48.9809	1747.8704
38	69.35	79.956	49.7134	1797.5839
39	65.4	80.264	50.5332	1848.1173
40	58.05	84.917	49.9872	1898.1046
41	65.21	83.36	48.8779	1946.9827
42	65.63	82.199	52.0534	1999.0364
43	52.48	84.844	50.5517	2049.5883
44	59.23	83.511	53.0892	2102.6776
45	52.11	83.529	53.2818	2155.9596
46	48.97	85.097	48.5914	2204.5513
47	62.27	81.566	49.5209	2254.0724
48	63.0	80.901	53.7005	2307.7731
49	62.9	82.944	50.1647	2357.9379
50	58.31	79.662	49.8352	2407.7733
51	62.96	80.012	50.7436	2458.5171
52	61.8	79.628	49.3877	2507.9050
53	62.63	77.477	52.2404	2560.1457
54	62.5	78.361	51.4649	2611.6108
55	61.81	80.795	49.3396	2660.9506
56	60.95	80.653	49.2393	2710.1901
57	62.28	77.434	48.8706	2759.0609
58	56.13	78.334	49.3073	2808.3684
59	53.83	81.772	50.4906	2858.8593
60	57.54	80.799	49.3999	2908.2594
61	59.31	86.62	48.8399	2957.0994
62	59.38	84.84	48.5626	3005.6623
63	60.42	79.017	50.2874	3055.9499
64	57.32	84.025	49.1899	3105.1399
65	61.91	80.957	49.0293	3154.1694
66	61.43	83.322	48.3105	3202.4801
67	69.3	80.565	48.2019	3250.6822
68	66.24	82.406	48.9371	3299.6194
69	66.47	83.187	49.8068	3349.4265
70	65.35	81.517	48.9587	3398.3854
71	63.99	84.252	48.9892	3447.3747
72	66.23	82.1	48.9565	3496.3314
73	63.48	83.221	50.3258	3546.6574
74	64.73	83.05	48.3317	3594.9892
75	63.23	81.668	49.5713	3644.5607
76	66.41	81.069	49.9960	3694.5569
77	64.26	82.795	50.1584	3744.7155
78	63.91	84.127	48.6831	3793.3988
79	66.76	82.1	49.5959	3842.9949
80	72.06	81.844	49.7721	3892.7671
81	68.09	79.946	48.9222	3941.6895
82	69.06	83.378	49.4399	3991.1296
83	68.71	79.939	48.1762	4039.3060
84	67.84	80.762	49.8919	4089.1981
85	67.44	82.387	49.2397	4138.4380
86	67.52	79.595	49.0624	4187.5005
87	66.81	81.739	48.7204	4236.2211
88	68.97	81.273	49.1858	4285.4071
89	64.97	81.552	49.7833	4335.1906
90	64.23	85.907	48.8586	4384.0494
91	67.01	83.941	49.1837	4433.2332
92	63.98	83.301	49.2389	4482.4723
93	68.82	86.014	49.6854	4532.1578
94	63.79	86.047	48.4614	4580.6193
95	69.3	83.69	49.6278	4630.2473
96	68.48	83.881	49.6761	4679.9236
97	66.87	83.676	49.3987	4729.3225
98	68.2	82.118	49.5984	4778.9211
99	67.66	85.233	48.4615	4827.3828
