epoch	acc	pure	round_time_sec	total_time_sec
0	10.58	70.077	52.4337	52.4339
1	43.01	70.07	51.9648	104.3989
2	47.36	70.05	51.2446	155.6439
3	59.29	70.123	52.5817	208.2259
4	52.28	70.135	51.1330	259.3592
5	64.7	70.086	52.4857	311.8453
6	60.68	70.033	53.8156	365.6612
7	49.29	70.133	51.4776	417.1391
8	67.31	70.117	53.2095	470.3489
9	67.65	70.109	57.1216	527.4708
10	66.8	77.1	75.3604	602.8315
11	60.28	80.107	76.3263	679.1580
12	71.3	77.165	76.4040	755.5623
13	68.06	77.827	74.3746	829.9371
14	66.11	76.196	76.5704	906.5078
15	74.35	76.575	76.0019	982.5100
16	63.51	80.006	75.6400	1058.1502
17	70.13	76.435	76.7729	1134.9234
18	60.73	78.829	75.3763	1210.2999
19	67.47	77.217	77.9505	1288.2507
20	74.16	81.357	78.5390	1366.7901
21	74.02	81.244	74.6773	1441.4676
22	76.07	81.139	75.3574	1516.8253
23	76.43	82.897	73.5777	1590.4033
24	73.46	82.283	74.9354	1665.3390
25	70.59	79.847	77.9751	1743.3144
26	67.31	80.221	74.3149	1817.6296
27	67.38	84.729	76.8500	1894.4798
28	76.72	83.038	74.7036	1969.1837
29	72.96	82.538	77.2112	2046.3952
30	72.84	82.86	76.6289	2123.0244
31	77.62	81.343	76.7814	2199.8061
32	76.11	81.466	76.3912	2276.1977
33	79.64	79.653	76.3868	2352.5848
34	72.35	83.293	75.8000	2428.3850
35	76.86	79.698	74.3673	2502.7526
36	73.07	81.105	77.5003	2580.2533
37	72.1	81.708	76.0739	2656.3275
38	74.64	79.845	76.3393	2732.6671
39	74.92	81.296	75.9458	2808.6131
40	74.62	79.677	74.2739	2882.8873
41	77.35	77.287	75.9787	2958.8663
42	76.39	80.775	74.5379	3033.4045
43	71.55	82.499	74.3144	3107.7193
44	76.53	78.881	76.0675	3183.7870
45	77.3	80.258	76.8913	3260.6786
46	74.82	81.077	74.6370	3335.3159
47	74.9	79.071	76.6416	3411.9578
48	76.0	79.468	76.4893	3488.4474
49	76.01	81.245	75.5102	3563.9579
50	74.27	79.201	74.2397	3638.1981
51	75.11	76.961	77.5546	3715.7530
52	76.27	80.287	77.4491	3793.2023
53	77.32	76.995	76.7712	3869.9739
54	77.19	78.933	76.8523	3946.8265
55	75.71	81.184	75.3029	4022.1297
56	76.46	79.481	75.4460	4097.5760
57	68.49	82.384	76.2716	4173.8478
58	74.3	80.626	75.0648	4248.9129
59	71.75	82.412	74.2329	4323.1461
60	75.53	81.59	74.8285	4397.9748
61	79.66	80.27	77.1435	4475.1187
62	77.75	84.671	74.9077	4550.0267
63	78.85	82.855	76.8788	4626.9057
64	79.19	81.716	76.0315	4702.9375
65	77.99	82.97	77.0035	4779.9414
66	79.02	84.383	75.8633	4855.8049
67	75.96	84.51	75.8709	4931.6761
68	77.56	82.807	76.1821	5007.8587
69	77.5	83.707	76.9367	5084.7956
70	75.44	83.128	75.4109	5160.2068
71	76.48	82.742	74.8960	5235.1030
72	77.42	83.481	75.9379	5311.0411
73	76.08	83.949	74.5617	5385.6031
74	78.41	84.732	77.6597	5463.2630
75	77.07	84.354	74.8845	5538.1478
76	77.24	82.177	74.7743	5612.9224
77	77.46	78.314	75.4348	5688.3575
78	77.06	83.055	75.1872	5763.5451
79	76.32	83.281	75.8923	5839.4378
80	76.5	79.808	76.5735	5916.0115
81	76.01	80.504	75.7710	5991.7828
82	79.42	79.839	73.2731	6065.0562
83	78.94	80.37	74.7050	6139.7615
84	74.29	82.494	76.2605	6216.0222
85	78.3	78.077	66.0856	6282.1081
86	73.13	80.128	50.7803	6332.8887
87	77.08	80.001	56.1013	6388.9902
88	77.19	80.2	53.8899	6442.8804
89	72.73	80.052	58.4450	6501.3257
90	76.6	83.846	54.8352	6556.1612
91	75.7	83.755	54.9888	6611.1503
92	79.19	80.961	54.6836	6665.8341
93	79.57	80.877	53.6345	6719.4689
94	76.86	83.286	51.4205	6770.8896
95	77.49	83.989	52.6354	6823.5254
96	78.27	80.195	52.4633	6875.9889
97	79.53	79.151	53.1498	6929.1400
98	77.65	83.321	51.4021	6980.5424
99	77.29	84.276	54.5184	7035.0610
