epoch	acc	pure	round_time_sec	total_time_sec
0	19.59	70.141	36.3035	36.3036
1	46.17	70.051	35.4106	71.7144
2	64.68	70.093	35.1668	106.8814
3	59.02	70.123	34.7511	141.6327
4	68.17	70.09	34.6559	176.2888
5	66.76	70.089	34.7301	211.0191
6	67.18	70.086	34.3649	245.3842
7	73.82	70.167	32.9353	278.3198
8	67.0	70.099	34.7839	313.1039
9	71.15	70.139	34.8502	347.9543
10	72.09	91.202	43.3904	391.3448
11	73.7	91.058	42.0273	433.3723
12	80.67	91.831	43.9344	477.3069
13	80.86	91.427	43.1856	520.4927
14	76.53	91.577	42.8637	563.3567
15	76.04	91.718	41.8814	605.2385
16	82.54	92.262	44.0996	649.3382
17	82.34	92.599	41.8480	691.1864
18	82.27	91.258	42.6449	733.8316
19	78.95	90.363	43.6574	777.4892
20	83.64	93.368	45.4516	822.9411
21	83.36	93.337	41.3242	864.2655
22	80.97	93.82	42.6821	906.9480
23	82.97	94.112	44.3929	951.3411
24	83.79	93.748	41.3816	992.7230
25	83.37	93.534	43.1068	1035.8300
26	85.29	92.754	42.7610	1078.5912
27	83.21	93.404	44.5468	1123.1382
28	83.62	93.538	44.8329	1167.9715
29	81.9	93.772	44.9956	1212.9672
30	81.31	94.487	42.6791	1255.6465
31	85.1	93.706	46.5816	1302.2283
32	85.99	93.078	43.7000	1345.9285
33	84.32	93.788	43.9776	1389.9063
34	82.49	94.577	42.2797	1432.1862
35	84.98	93.7	44.3593	1476.5456
36	83.64	94.013	44.1676	1520.7135
37	83.89	93.923	43.3810	1564.0946
38	86.07	92.477	42.3421	1606.4369
39	83.81	94.515	43.7361	1650.1731
40	85.3	93.416	43.1616	1693.3349
41	83.05	94.104	43.1855	1736.5205
42	86.57	92.518	42.9360	1779.4567
43	85.96	94.378	42.8226	1822.2795
44	84.92	93.941	40.9099	1863.1896
45	85.31	93.387	42.9914	1906.1812
46	85.96	93.671	43.9908	1950.1723
47	84.47	94.014	42.5103	1992.6827
48	85.63	92.642	42.7591	2035.4420
49	84.6	93.673	44.7580	2080.2002
50	84.89	93.935	46.2279	2126.4284
51	86.28	93.862	44.7834	2171.2120
52	84.99	93.755	45.2247	2216.4369
53	85.7	94.003	43.8316	2260.2687
54	86.54	92.666	44.8952	2305.1640
55	86.34	94.047	44.9644	2350.1286
56	86.62	93.581	43.6509	2393.7796
57	86.61	93.856	43.3875	2437.1673
58	86.56	92.925	44.6857	2481.8533
59	83.36	94.686	45.8382	2527.6917
60	85.44	93.555	43.9025	2571.5946
61	86.77	93.137	43.8729	2615.4677
62	86.91	94.184	43.7928	2659.2607
63	84.43	94.796	44.7292	2703.9901
64	83.73	94.063	45.4783	2749.4686
65	86.42	93.931	45.6865	2795.1554
66	83.85	94.787	43.9374	2839.0930
67	84.75	93.309	46.5509	2885.6441
68	86.05	93.146	44.1558	2929.8001
69	84.59	94.385	43.3185	2973.1188
70	86.17	93.827	45.6992	3018.8182
71	86.35	93.91	44.4625	3063.2809
72	87.31	92.391	44.0130	3107.2941
73	85.32	93.6	43.8182	3151.1125
74	85.37	94.002	45.3087	3196.4214
75	86.26	92.496	44.6079	3241.0295
76	83.06	95.147	46.3534	3287.3831
77	86.69	93.493	44.2817	3331.6650
78	84.62	93.845	43.5917	3375.2570
79	87.31	93.926	47.3450	3422.6021
80	86.55	94.235	44.8328	3467.4352
81	83.65	94.605	45.1967	3512.6321
82	86.83	94.278	43.6943	3556.3266
83	87.15	93.27	44.2034	3600.5305
84	86.28	94.115	43.1941	3643.7248
85	86.32	94.474	44.8499	3688.5749
86	85.61	94.462	43.9045	3732.4796
87	87.41	93.907	43.6812	3776.1610
88	86.36	93.216	43.9932	3820.1546
89	85.36	94.58	41.8690	3862.0238
90	85.02	93.866	42.5899	3904.6140
91	85.1	94.243	44.9791	3949.5933
92	86.44	92.959	44.0036	3993.5971
93	86.08	94.676	43.8037	4037.4009
94	85.64	94.256	43.3587	4080.7599
95	83.64	92.614	45.8127	4126.5728
96	85.47	94.055	43.3598	4169.9327
97	84.05	94.065	43.7842	4213.7171
98	85.76	93.962	37.0832	4250.8004
99	87.85	93.892	37.9243	4288.7249
