====================================================================================================
Training started at: 2026-03-27 05:14:32
Result directory: results/fl_svhn/feddenoise/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_st-random_dr-0.3
Result txt file : results/fl_svhn/feddenoise/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_st-random_dr-0.3/feddenoise_fl_svhn_20260327-051432-788706_pid4004203.txt
Result log file : results/fl_svhn/feddenoise/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_st-random_dr-0.3/feddenoise_fl_svhn_20260327-051432-788706_pid4004203.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.3
Denoise strategy: random
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=9.700 | Pure=70.153 | RoundTime=36.81s | TotalTime=36.81s | Method=feddenoise
[Round 002/100] Acc=47.810 | Pure=70.104 | RoundTime=35.75s | TotalTime=72.56s | Method=feddenoise
[Round 003/100] Acc=60.430 | Pure=70.009 | RoundTime=35.25s | TotalTime=107.81s | Method=feddenoise
[Round 004/100] Acc=65.770 | Pure=70.137 | RoundTime=35.76s | TotalTime=143.57s | Method=feddenoise
[Round 005/100] Acc=62.880 | Pure=70.109 | RoundTime=36.03s | TotalTime=179.60s | Method=feddenoise
[Round 006/100] Acc=70.040 | Pure=70.096 | RoundTime=37.09s | TotalTime=216.70s | Method=feddenoise
[Round 007/100] Acc=66.470 | Pure=70.060 | RoundTime=33.84s | TotalTime=250.54s | Method=feddenoise
[Round 008/100] Acc=71.370 | Pure=70.147 | RoundTime=34.98s | TotalTime=285.52s | Method=feddenoise
[Round 009/100] Acc=67.180 | Pure=70.067 | RoundTime=35.43s | TotalTime=320.94s | Method=feddenoise
[Round 010/100] Acc=67.320 | Pure=70.108 | RoundTime=35.09s | TotalTime=356.03s | Method=feddenoise
[Round 011/100] Acc=78.700 | Pure=82.413 | RoundTime=50.18s | TotalTime=406.21s | Method=feddenoise
[Round 012/100] Acc=73.580 | Pure=86.191 | RoundTime=49.46s | TotalTime=455.68s | Method=feddenoise
[Round 013/100] Acc=77.860 | Pure=84.513 | RoundTime=49.05s | TotalTime=504.72s | Method=feddenoise
[Round 014/100] Acc=76.100 | Pure=83.280 | RoundTime=49.92s | TotalTime=554.65s | Method=feddenoise
[Round 015/100] Acc=79.870 | Pure=83.993 | RoundTime=49.25s | TotalTime=603.89s | Method=feddenoise
[Round 016/100] Acc=77.810 | Pure=81.848 | RoundTime=49.30s | TotalTime=653.20s | Method=feddenoise
[Round 017/100] Acc=76.470 | Pure=84.455 | RoundTime=48.66s | TotalTime=701.86s | Method=feddenoise
