====================================================================================================
Training started at: 2026-03-15 01:59:28
Result directory: results/fl_svhn/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3
Result txt file : results/fl_svhn/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3/feddenoise_fl_svhn_20260315-015928.txt
Result log file : results/fl_svhn/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3/feddenoise_fl_svhn_20260315-015928.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: random
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=19.590 | Pure=70.072 | RoundTime=52.68s | TotalTime=52.68s | Method=feddenoise
[Round 002/100] Acc=53.480 | Pure=70.082 | RoundTime=50.68s | TotalTime=103.36s | Method=feddenoise
[Round 003/100] Acc=70.010 | Pure=70.173 | RoundTime=52.62s | TotalTime=155.98s | Method=feddenoise
[Round 004/100] Acc=78.530 | Pure=70.132 | RoundTime=51.08s | TotalTime=207.06s | Method=feddenoise
[Round 005/100] Acc=79.170 | Pure=70.110 | RoundTime=50.72s | TotalTime=257.78s | Method=feddenoise
[Round 006/100] Acc=81.590 | Pure=70.063 | RoundTime=51.49s | TotalTime=309.27s | Method=feddenoise
[Round 007/100] Acc=77.830 | Pure=70.107 | RoundTime=52.20s | TotalTime=361.46s | Method=feddenoise
[Round 008/100] Acc=72.010 | Pure=70.161 | RoundTime=50.05s | TotalTime=411.51s | Method=feddenoise
[Round 009/100] Acc=78.530 | Pure=70.093 | RoundTime=50.03s | TotalTime=461.54s | Method=feddenoise
[Round 010/100] Acc=72.770 | Pure=70.141 | RoundTime=54.95s | TotalTime=516.49s | Method=feddenoise
[Round 011/100] Acc=77.890 | Pure=79.752 | RoundTime=74.36s | TotalTime=590.85s | Method=feddenoise
[Round 012/100] Acc=80.320 | Pure=79.139 | RoundTime=74.41s | TotalTime=665.26s | Method=feddenoise
[Round 013/100] Acc=80.270 | Pure=79.014 | RoundTime=73.28s | TotalTime=738.54s | Method=feddenoise
[Round 014/100] Acc=79.690 | Pure=79.050 | RoundTime=73.47s | TotalTime=812.00s | Method=feddenoise
[Round 015/100] Acc=76.290 | Pure=78.639 | RoundTime=76.37s | TotalTime=888.37s | Method=feddenoise
[Round 016/100] Acc=81.100 | Pure=79.554 | RoundTime=74.93s | TotalTime=963.30s | Method=feddenoise
[Round 017/100] Acc=78.980 | Pure=78.966 | RoundTime=75.35s | TotalTime=1038.65s | Method=feddenoise
[Round 018/100] Acc=81.140 | Pure=78.600 | RoundTime=75.28s | TotalTime=1113.93s | Method=feddenoise
[Round 019/100] Acc=80.210 | Pure=79.028 | RoundTime=76.26s | TotalTime=1190.18s | Method=feddenoise
[Round 020/100] Acc=79.830 | Pure=79.538 | RoundTime=74.65s | TotalTime=1264.84s | Method=feddenoise
[Round 021/100] Acc=79.440 | Pure=79.407 | RoundTime=76.22s | TotalTime=1341.06s | Method=feddenoise
[Round 022/100] Acc=80.420 | Pure=78.667 | RoundTime=75.23s | TotalTime=1416.29s | Method=feddenoise
[Round 023/100] Acc=79.240 | Pure=79.048 | RoundTime=75.12s | TotalTime=1491.40s | Method=feddenoise
[Round 024/100] Acc=79.240 | Pure=79.764 | RoundTime=75.30s | TotalTime=1566.71s | Method=feddenoise
[Round 025/100] Acc=80.520 | Pure=79.575 | RoundTime=75.18s | TotalTime=1641.89s | Method=feddenoise
