====================================================================================================
Training started at: 2026-03-15 02:00:22
Result directory: results/fl_svhn/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3
Result txt file : results/fl_svhn/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3/feddenoise_fl_svhn_20260315-020022.txt
Result log file : results/fl_svhn/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3/feddenoise_fl_svhn_20260315-020022.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: most_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=19.590 | Pure=70.149 | RoundTime=52.69s | TotalTime=52.70s | Method=feddenoise
[Round 002/100] Acc=52.420 | Pure=70.062 | RoundTime=50.23s | TotalTime=102.93s | Method=feddenoise
[Round 003/100] Acc=69.240 | Pure=70.048 | RoundTime=49.99s | TotalTime=152.92s | Method=feddenoise
[Round 004/100] Acc=70.950 | Pure=70.147 | RoundTime=50.97s | TotalTime=203.89s | Method=feddenoise
[Round 005/100] Acc=75.350 | Pure=70.135 | RoundTime=51.55s | TotalTime=255.43s | Method=feddenoise
[Round 006/100] Acc=78.430 | Pure=70.067 | RoundTime=52.51s | TotalTime=307.94s | Method=feddenoise
[Round 007/100] Acc=73.050 | Pure=70.138 | RoundTime=52.90s | TotalTime=360.84s | Method=feddenoise
[Round 008/100] Acc=74.820 | Pure=70.071 | RoundTime=54.19s | TotalTime=415.03s | Method=feddenoise
[Round 009/100] Acc=76.970 | Pure=70.099 | RoundTime=52.64s | TotalTime=467.67s | Method=feddenoise
[Round 010/100] Acc=70.700 | Pure=70.056 | RoundTime=54.73s | TotalTime=522.40s | Method=feddenoise
[Round 011/100] Acc=80.210 | Pure=75.035 | RoundTime=76.04s | TotalTime=598.44s | Method=feddenoise
[Round 012/100] Acc=74.190 | Pure=77.016 | RoundTime=74.81s | TotalTime=673.25s | Method=feddenoise
[Round 013/100] Acc=77.040 | Pure=76.021 | RoundTime=75.04s | TotalTime=748.29s | Method=feddenoise
[Round 014/100] Acc=79.050 | Pure=75.855 | RoundTime=76.00s | TotalTime=824.29s | Method=feddenoise
[Round 015/100] Acc=79.740 | Pure=76.472 | RoundTime=77.75s | TotalTime=902.05s | Method=feddenoise
[Round 016/100] Acc=80.410 | Pure=76.478 | RoundTime=74.21s | TotalTime=976.26s | Method=feddenoise
[Round 017/100] Acc=76.390 | Pure=77.001 | RoundTime=75.22s | TotalTime=1051.48s | Method=feddenoise
[Round 018/100] Acc=78.890 | Pure=75.336 | RoundTime=73.16s | TotalTime=1124.64s | Method=feddenoise
[Round 019/100] Acc=79.690 | Pure=76.793 | RoundTime=76.08s | TotalTime=1200.72s | Method=feddenoise
[Round 020/100] Acc=78.390 | Pure=77.300 | RoundTime=75.23s | TotalTime=1275.94s | Method=feddenoise
[Round 021/100] Acc=81.260 | Pure=77.382 | RoundTime=75.22s | TotalTime=1351.16s | Method=feddenoise
[Round 022/100] Acc=80.130 | Pure=78.327 | RoundTime=74.46s | TotalTime=1425.62s | Method=feddenoise
[Round 023/100] Acc=80.300 | Pure=78.454 | RoundTime=74.87s | TotalTime=1500.50s | Method=feddenoise
[Round 024/100] Acc=80.280 | Pure=78.247 | RoundTime=75.50s | TotalTime=1576.00s | Method=feddenoise
[Round 025/100] Acc=79.050 | Pure=76.642 | RoundTime=74.84s | TotalTime=1650.84s | Method=feddenoise
[Round 026/100] Acc=80.220 | Pure=78.054 | RoundTime=75.20s | TotalTime=1726.04s | Method=feddenoise
[Round 027/100] Acc=79.960 | Pure=77.286 | RoundTime=75.30s | TotalTime=1801.34s | Method=feddenoise
