====================================================================================================
Training started at: 2026-03-27 04:48:01
Result directory: results/fl_svhn/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-global_dr-0.3
Result txt file : results/fl_svhn/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-global_dr-0.3/feddenoise_fl_svhn_20260327-044801-737074_pid3473956.txt
Result log file : results/fl_svhn/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-global_dr-0.3/feddenoise_fl_svhn_20260327-044801-737074_pid3473956.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.3
Denoise strategy: global
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=16.540 | Pure=70.079 | RoundTime=35.67s | TotalTime=35.67s | Method=feddenoise
[Round 002/100] Acc=56.470 | Pure=70.108 | RoundTime=35.04s | TotalTime=70.70s | Method=feddenoise
[Round 003/100] Acc=68.120 | Pure=70.095 | RoundTime=33.40s | TotalTime=104.11s | Method=feddenoise
[Round 004/100] Acc=75.850 | Pure=70.063 | RoundTime=36.05s | TotalTime=140.16s | Method=feddenoise
[Round 005/100] Acc=72.360 | Pure=70.123 | RoundTime=37.13s | TotalTime=177.29s | Method=feddenoise
[Round 006/100] Acc=76.470 | Pure=70.119 | RoundTime=36.08s | TotalTime=213.37s | Method=feddenoise
[Round 007/100] Acc=72.880 | Pure=70.045 | RoundTime=37.52s | TotalTime=250.89s | Method=feddenoise
[Round 008/100] Acc=74.670 | Pure=70.105 | RoundTime=35.12s | TotalTime=286.01s | Method=feddenoise
[Round 009/100] Acc=75.860 | Pure=70.101 | RoundTime=34.81s | TotalTime=320.82s | Method=feddenoise
[Round 010/100] Acc=72.810 | Pure=70.017 | RoundTime=37.38s | TotalTime=358.20s | Method=feddenoise
[Round 011/100] Acc=74.350 | Pure=92.868 | RoundTime=43.91s | TotalTime=402.11s | Method=feddenoise
[Round 012/100] Acc=82.070 | Pure=92.614 | RoundTime=45.60s | TotalTime=447.70s | Method=feddenoise
[Round 013/100] Acc=82.120 | Pure=91.896 | RoundTime=44.46s | TotalTime=492.16s | Method=feddenoise
[Round 014/100] Acc=79.280 | Pure=92.961 | RoundTime=45.46s | TotalTime=537.63s | Method=feddenoise
[Round 015/100] Acc=83.140 | Pure=92.708 | RoundTime=44.32s | TotalTime=581.95s | Method=feddenoise
[Round 016/100] Acc=84.280 | Pure=91.052 | RoundTime=45.49s | TotalTime=627.44s | Method=feddenoise
[Round 017/100] Acc=83.330 | Pure=91.772 | RoundTime=42.41s | TotalTime=669.85s | Method=feddenoise
[Round 018/100] Acc=84.290 | Pure=91.449 | RoundTime=44.91s | TotalTime=714.76s | Method=feddenoise
[Round 019/100] Acc=81.430 | Pure=92.468 | RoundTime=44.72s | TotalTime=759.48s | Method=feddenoise
[Round 020/100] Acc=85.380 | Pure=90.648 | RoundTime=42.62s | TotalTime=802.10s | Method=feddenoise
[Round 021/100] Acc=87.190 | Pure=94.254 | RoundTime=43.82s | TotalTime=845.92s | Method=feddenoise
[Round 022/100] Acc=86.160 | Pure=94.562 | RoundTime=42.77s | TotalTime=888.69s | Method=feddenoise
[Round 023/100] Acc=87.300 | Pure=94.084 | RoundTime=44.03s | TotalTime=932.72s | Method=feddenoise
[Round 024/100] Acc=87.530 | Pure=94.172 | RoundTime=43.31s | TotalTime=976.03s | Method=feddenoise
[Round 025/100] Acc=87.880 | Pure=94.346 | RoundTime=43.16s | TotalTime=1019.19s | Method=feddenoise
[Round 026/100] Acc=88.100 | Pure=94.234 | RoundTime=44.50s | TotalTime=1063.69s | Method=feddenoise
[Round 027/100] Acc=87.790 | Pure=94.297 | RoundTime=45.94s | TotalTime=1109.63s | Method=feddenoise
[Round 028/100] Acc=86.050 | Pure=93.888 | RoundTime=45.29s | TotalTime=1154.91s | Method=feddenoise
[Round 029/100] Acc=87.330 | Pure=94.624 | RoundTime=46.71s | TotalTime=1201.63s | Method=feddenoise
[Round 030/100] Acc=88.550 | Pure=94.092 | RoundTime=42.94s | TotalTime=1244.57s | Method=feddenoise
[Round 031/100] Acc=88.050 | Pure=95.092 | RoundTime=42.62s | TotalTime=1287.19s | Method=feddenoise
