====================================================================================================
Training started at: 2026-03-15 09:12:50
Result directory: results/fl_svhn/feddenoise/pm-dir_a-0.8_nm-uni_nr-0.3
Result txt file : results/fl_svhn/feddenoise/pm-dir_a-0.8_nm-uni_nr-0.3/feddenoise_fl_svhn_20260315-091250.txt
Result log file : results/fl_svhn/feddenoise/pm-dir_a-0.8_nm-uni_nr-0.3/feddenoise_fl_svhn_20260315-091250.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: asymmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: most_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=16.860 | Pure=70.085 | RoundTime=41.32s | TotalTime=41.32s | Method=feddenoise
[Round 002/100] Acc=59.650 | Pure=70.208 | RoundTime=40.77s | TotalTime=82.09s | Method=feddenoise
[Round 003/100] Acc=69.670 | Pure=70.134 | RoundTime=40.95s | TotalTime=123.04s | Method=feddenoise
[Round 004/100] Acc=75.020 | Pure=70.094 | RoundTime=40.30s | TotalTime=163.34s | Method=feddenoise
[Round 005/100] Acc=67.690 | Pure=70.082 | RoundTime=39.92s | TotalTime=203.26s | Method=feddenoise
[Round 006/100] Acc=74.730 | Pure=70.068 | RoundTime=42.42s | TotalTime=245.68s | Method=feddenoise
[Round 007/100] Acc=74.730 | Pure=70.090 | RoundTime=41.45s | TotalTime=287.13s | Method=feddenoise
[Round 008/100] Acc=78.050 | Pure=70.049 | RoundTime=40.83s | TotalTime=327.96s | Method=feddenoise
[Round 009/100] Acc=74.370 | Pure=70.150 | RoundTime=41.83s | TotalTime=369.79s | Method=feddenoise
[Round 010/100] Acc=77.640 | Pure=70.122 | RoundTime=41.89s | TotalTime=411.67s | Method=feddenoise
[Round 011/100] Acc=80.090 | Pure=77.460 | RoundTime=49.82s | TotalTime=461.50s | Method=feddenoise
[Round 012/100] Acc=79.490 | Pure=76.721 | RoundTime=49.49s | TotalTime=510.99s | Method=feddenoise
[Round 013/100] Acc=81.600 | Pure=76.586 | RoundTime=48.44s | TotalTime=559.43s | Method=feddenoise
