====================================================================================================
Training started at: 2026-03-15 14:06:25
Result directory: results/fl_svhn/feddenoise/pm-dir_a-0.8_nm-uni_nr-0.3
Result txt file : results/fl_svhn/feddenoise/pm-dir_a-0.8_nm-uni_nr-0.3/feddenoise_fl_svhn_20260315-140625.txt
Result log file : results/fl_svhn/feddenoise/pm-dir_a-0.8_nm-uni_nr-0.3/feddenoise_fl_svhn_20260315-140625.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: asymmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.3
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=26.000 | Pure=70.171 | RoundTime=31.51s | TotalTime=31.51s | Method=feddenoise
[Round 002/100] Acc=57.630 | Pure=70.029 | RoundTime=32.68s | TotalTime=64.19s | Method=feddenoise
[Round 003/100] Acc=68.170 | Pure=70.110 | RoundTime=30.78s | TotalTime=94.98s | Method=feddenoise
[Round 004/100] Acc=68.720 | Pure=70.128 | RoundTime=30.64s | TotalTime=125.62s | Method=feddenoise
[Round 005/100] Acc=72.360 | Pure=70.126 | RoundTime=31.21s | TotalTime=156.83s | Method=feddenoise
[Round 006/100] Acc=77.080 | Pure=70.096 | RoundTime=30.85s | TotalTime=187.69s | Method=feddenoise
[Round 007/100] Acc=70.860 | Pure=70.097 | RoundTime=30.40s | TotalTime=218.09s | Method=feddenoise
[Round 008/100] Acc=74.330 | Pure=70.062 | RoundTime=31.10s | TotalTime=249.19s | Method=feddenoise
[Round 009/100] Acc=76.210 | Pure=70.041 | RoundTime=30.84s | TotalTime=280.02s | Method=feddenoise
[Round 010/100] Acc=73.300 | Pure=70.092 | RoundTime=32.43s | TotalTime=312.46s | Method=feddenoise
[Round 011/100] Acc=77.950 | Pure=78.744 | RoundTime=36.40s | TotalTime=348.85s | Method=feddenoise
[Round 012/100] Acc=79.990 | Pure=78.494 | RoundTime=35.82s | TotalTime=384.68s | Method=feddenoise
[Round 013/100] Acc=77.320 | Pure=80.057 | RoundTime=36.41s | TotalTime=421.09s | Method=feddenoise
[Round 014/100] Acc=77.590 | Pure=78.971 | RoundTime=36.25s | TotalTime=457.34s | Method=feddenoise
[Round 015/100] Acc=78.630 | Pure=79.206 | RoundTime=36.73s | TotalTime=494.07s | Method=feddenoise
[Round 016/100] Acc=78.800 | Pure=78.545 | RoundTime=36.31s | TotalTime=530.38s | Method=feddenoise
[Round 017/100] Acc=77.720 | Pure=77.117 | RoundTime=36.37s | TotalTime=566.75s | Method=feddenoise
[Round 018/100] Acc=76.930 | Pure=80.607 | RoundTime=36.89s | TotalTime=603.64s | Method=feddenoise
[Round 019/100] Acc=77.490 | Pure=77.993 | RoundTime=36.76s | TotalTime=640.40s | Method=feddenoise
[Round 020/100] Acc=78.270 | Pure=79.475 | RoundTime=37.02s | TotalTime=677.42s | Method=feddenoise
[Round 021/100] Acc=82.040 | Pure=81.979 | RoundTime=36.43s | TotalTime=713.85s | Method=feddenoise
[Round 022/100] Acc=82.510 | Pure=83.393 | RoundTime=36.85s | TotalTime=750.70s | Method=feddenoise
[Round 023/100] Acc=81.960 | Pure=82.932 | RoundTime=36.72s | TotalTime=787.43s | Method=feddenoise
[Round 024/100] Acc=81.760 | Pure=81.169 | RoundTime=36.77s | TotalTime=824.19s | Method=feddenoise
[Round 025/100] Acc=80.710 | Pure=83.201 | RoundTime=36.63s | TotalTime=860.83s | Method=feddenoise
[Round 026/100] Acc=81.550 | Pure=81.623 | RoundTime=36.46s | TotalTime=897.29s | Method=feddenoise
[Round 027/100] Acc=80.790 | Pure=86.067 | RoundTime=36.40s | TotalTime=933.69s | Method=feddenoise
[Round 028/100] Acc=81.230 | Pure=83.073 | RoundTime=36.60s | TotalTime=970.29s | Method=feddenoise
[Round 029/100] Acc=81.740 | Pure=84.353 | RoundTime=37.33s | TotalTime=1007.62s | Method=feddenoise
[Round 030/100] Acc=81.000 | Pure=84.164 | RoundTime=37.04s | TotalTime=1044.67s | Method=feddenoise
[Round 031/100] Acc=83.370 | Pure=86.865 | RoundTime=36.54s | TotalTime=1081.21s | Method=feddenoise
[Round 032/100] Acc=83.000 | Pure=87.330 | RoundTime=36.68s | TotalTime=1117.89s | Method=feddenoise
[Round 033/100] Acc=82.680 | Pure=87.962 | RoundTime=36.17s | TotalTime=1154.06s | Method=feddenoise
[Round 034/100] Acc=83.440 | Pure=86.661 | RoundTime=36.64s | TotalTime=1190.70s | Method=feddenoise
[Round 035/100] Acc=82.530 | Pure=86.363 | RoundTime=36.56s | TotalTime=1227.26s | Method=feddenoise
[Round 036/100] Acc=83.070 | Pure=85.081 | RoundTime=36.27s | TotalTime=1263.54s | Method=feddenoise
[Round 037/100] Acc=83.420 | Pure=86.144 | RoundTime=35.97s | TotalTime=1299.51s | Method=feddenoise
[Round 038/100] Acc=83.060 | Pure=87.460 | RoundTime=36.67s | TotalTime=1336.17s | Method=feddenoise
[Round 039/100] Acc=82.930 | Pure=85.939 | RoundTime=36.45s | TotalTime=1372.62s | Method=feddenoise
[Round 040/100] Acc=82.980 | Pure=86.601 | RoundTime=36.54s | TotalTime=1409.16s | Method=feddenoise
[Round 041/100] Acc=83.740 | Pure=88.983 | RoundTime=36.60s | TotalTime=1445.76s | Method=feddenoise
[Round 042/100] Acc=83.870 | Pure=86.512 | RoundTime=36.21s | TotalTime=1481.97s | Method=feddenoise
[Round 043/100] Acc=83.650 | Pure=90.320 | RoundTime=36.10s | TotalTime=1518.07s | Method=feddenoise
[Round 044/100] Acc=84.060 | Pure=86.490 | RoundTime=36.16s | TotalTime=1554.24s | Method=feddenoise
