epoch	acc	pure	round_time_sec	total_time_sec
0	15.94	70.095	37.6971	37.6973
1	44.98	70.103	38.5945	76.2921
2	69.31	70.099	37.1042	113.3966
3	72.11	70.097	37.6602	151.0571
4	75.7	70.096	37.6747	188.7321
5	80.37	70.106	37.6076	226.3400
6	77.04	70.107	37.6612	264.0014
7	77.61	70.104	38.5719	302.5736
8	78.55	70.095	38.0016	340.5755
9	79.53	70.101	37.7325	378.3083
10	82.35	91.771	86.6738	464.9823
11	82.49	91.84	87.4594	552.4421
12	85.54	91.162	86.0565	638.4988
13	85.81	91.149	88.5650	727.0641
14	86.01	91.109	88.8755	815.9398
15	86.26	91.82	87.6123	903.5524
16	86.01	91.526	88.4707	992.0234
17	86.84	91.339	85.4409	1077.4646
18	85.31	91.563	86.2039	1163.6687
19	85.82	90.746	86.2938	1249.9629
20	86.68	92.352	76.0374	1326.0005
21	87.69	92.571	77.3187	1403.3195
22	87.68	92.541	76.7154	1480.0352
23	87.41	92.594	77.7201	1557.7556
24	87.44	92.614	73.6691	1631.4250
25	87.32	92.581	75.7347	1707.1600
26	86.37	92.643	76.8598	1784.0201
27	87.26	92.818	76.8589	1860.8793
28	87.95	92.52	78.4420	1939.3216
29	87.75	92.493	74.0347	2013.3566
30	87.55	92.366	62.9281	2076.2850
31	87.58	92.301	63.8829	2140.1682
32	87.6	92.275	63.4162	2203.5846
33	86.31	92.696	63.0004	2266.5854
34	86.78	92.695	64.1412	2330.7269
35	87.32	92.356	63.5246	2394.2518
36	87.73	92.633	64.8013	2459.0533
37	88.17	92.24	66.3714	2525.4250
38	87.28	92.463	63.4088	2588.8341
39	87.75	92.428	63.3767	2652.2111
40	87.5	92.121	51.1265	2703.3378
41	88.14	92.267	52.3824	2755.7205
42	88.06	92.215	50.4729	2806.1937
43	88.0	92.331	50.7656	2856.9595
44	87.41	92.242	50.7911	2907.7509
45	88.12	92.136	51.0260	2958.7773
46	87.76	92.384	52.1193	3010.8968
47	88.75	92.096	50.9937	3061.8909
48	87.48	92.405	52.4374	3114.3286
49	88.89	92.517	51.4306	3165.7595
50	88.29	92.325	53.3597	3219.1195
51	88.68	92.341	53.1432	3272.2630
52	88.37	92.157	53.0557	3325.3190
53	87.65	92.34	52.7689	3378.0882
54	88.39	92.245	53.3652	3431.4537
55	87.81	92.321	53.5076	3484.9617
56	87.67	92.227	55.2541	3540.2161
57	87.86	91.754	54.6767	3594.8930
58	87.45	91.979	52.1592	3647.0525
59	88.43	92.34	55.2404	3702.2933
60	88.16	92.116	53.0540	3755.3475
61	88.12	92.173	52.0527	3807.4005
62	88.61	91.639	53.6437	3861.0445
63	88.46	91.997	53.8063	3914.8510
64	87.47	91.914	54.3676	3969.2190
65	87.52	91.677	52.9287	4022.1479
66	87.64	91.901	52.8548	4075.0030
67	87.83	91.786	56.9089	4131.9123
68	87.74	92.157	56.9802	4188.8927
69	88.71	91.798	55.6798	4244.5728
70	88.25	91.682	56.6545	4301.2276
71	88.0	91.894	54.7118	4355.9397
72	88.4	91.945	55.2699	4411.2099
73	88.3	91.693	56.5767	4467.7870
74	88.26	91.48	55.1966	4522.9839
75	88.21	91.859	55.5729	4578.5572
76	88.32	92.174	55.8135	4634.3710
77	88.28	92.102	55.6249	4689.9961
78	87.28	91.56	54.5941	4744.5905
79	87.97	92.237	54.8988	4799.4896
80	87.29	91.879	53.8346	4853.3245
81	87.75	91.5	54.3936	4907.7185
82	87.44	91.824	53.4998	4961.2186
83	87.28	91.455	53.3497	5014.5686
84	87.17	92.136	52.8697	5067.4386
85	87.4	91.697	55.8659	5123.3048
86	86.7	92.271	56.6055	5179.9106
87	87.79	91.245	56.2067	5236.1176
88	87.9	90.994	55.8521	5291.9700
89	87.23	92.174	54.8943	5346.8645
90	87.94	91.124	56.5182	5403.3831
91	86.39	92.365	55.3571	5458.7404
92	87.48	91.232	54.9197	5513.6604
93	87.94	91.747	54.7877	5568.4485
94	86.92	92.362	55.3650	5623.8138
95	87.6	92.243	54.4465	5678.2606
96	87.07	92.116	52.9596	5731.2204
97	87.92	91.408	53.4890	5784.7098
98	87.7	91.328	53.3264	5838.0365
99	87.85	91.746	53.1766	5891.2133
