========================================================================================================================
Training started at: 2026-04-07 22:23:05
Result directory: results/fl_svhn/feddenoise_v3/pm-dir_a-0.1_nm-uni_nr-0.3_nt-symmetric_wr-10_sr-50_ts-4,3,2,1_tss-all_tsim-backbone_cosine_wm-backbone_only_dr-0.15_drs-None
Result txt file : results/fl_svhn/feddenoise_v3/pm-dir_a-0.1_nm-uni_nr-0.3_nt-symmetric_wr-10_sr-50_ts-4,3,2,1_tss-all_tsim-backbone_cosine_wm-backbone_only_dr-0.15_drs-None/feddenoise_v3_fl_svhn_20260407-222305-458832_pid3684363.txt
Result log file : results/fl_svhn/feddenoise_v3/pm-dir_a-0.1_nm-uni_nr-0.3_nt-symmetric_wr-10_sr-50_ts-4,3,2,1_tss-all_tsim-backbone_cosine_wm-backbone_only_dr-0.15_drs-None/feddenoise_v3_fl_svhn_20260407-222305-458832_pid3684363.log
------------------------------------------------------------------------------------------------------------------------
Model: feddenoise_v3
Dataset: fl_svhn
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 210
Local epoch: 1
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
Warmup round: 10
Stage round: 50
Teacher schedule: 4,3,2,1
Teacher select strategy: all
Teacher similarity: backbone_cosine
Teacher score mode: teacher_mean
Warmup mode: backbone_only
Drop rate: 0.15
Drop rate schedule: None
Exclude self teacher: True
========================================================================================================================
[Round 001/210] Phase=warmup | Stage=warmup | Acc=19.590 | RoundTime=70.62s | TotalTime=70.63s | Method=feddenoise_v3
[Round 002/210] Phase=warmup | Stage=warmup | Acc=20.580 | RoundTime=79.44s | TotalTime=150.08s | Method=feddenoise_v3
[Round 003/210] Phase=warmup | Stage=warmup | Acc=34.350 | RoundTime=78.65s | TotalTime=228.74s | Method=feddenoise_v3
[Round 004/210] Phase=warmup | Stage=warmup | Acc=38.810 | RoundTime=60.56s | TotalTime=289.31s | Method=feddenoise_v3
[Round 005/210] Phase=warmup | Stage=warmup | Acc=44.230 | RoundTime=77.80s | TotalTime=367.12s | Method=feddenoise_v3
[Round 006/210] Phase=warmup | Stage=warmup | Acc=50.730 | RoundTime=70.50s | TotalTime=437.63s | Method=feddenoise_v3
[Round 007/210] Phase=warmup | Stage=warmup | Acc=53.180 | RoundTime=69.20s | TotalTime=506.84s | Method=feddenoise_v3
[Round 008/210] Phase=warmup | Stage=warmup | Acc=55.510 | RoundTime=77.09s | TotalTime=583.94s | Method=feddenoise_v3
[Round 009/210] Phase=warmup | Stage=warmup | Acc=56.810 | RoundTime=61.00s | TotalTime=644.96s | Method=feddenoise_v3
[Round 010/210] Phase=warmup | Stage=warmup | Acc=59.220 | RoundTime=241.31s | TotalTime=886.28s | Method=feddenoise_v3
[Round 011/210] Phase=stage_1 | Stage=0 | Acc=54.160 | StagePure=76.752 | CPrec=76.752 | CRec=93.183 | NPrec=68.189 | NRec=34.110 | Keep=84.998 | TSim=0.987 | RoundTime=72.60s | TotalTime=958.89s | Method=feddenoise_v3
[Round 012/210] Phase=stage_1 | Stage=0 | Acc=60.200 | StagePure=76.752 | CPrec=76.752 | CRec=93.183 | NPrec=68.189 | NRec=34.110 | Keep=84.998 | TSim=0.987 | RoundTime=59.98s | TotalTime=1018.88s | Method=feddenoise_v3
[Round 013/210] Phase=stage_1 | Stage=0 | Acc=64.170 | StagePure=76.752 | CPrec=76.752 | CRec=93.183 | NPrec=68.189 | NRec=34.110 | Keep=84.998 | TSim=0.987 | RoundTime=69.50s | TotalTime=1088.42s | Method=feddenoise_v3
[Round 014/210] Phase=stage_1 | Stage=0 | Acc=68.210 | StagePure=76.752 | CPrec=76.752 | CRec=93.183 | NPrec=68.189 | NRec=34.110 | Keep=84.998 | TSim=0.987 | RoundTime=66.07s | TotalTime=1154.50s | Method=feddenoise_v3
[Round 015/210] Phase=stage_1 | Stage=0 | Acc=69.510 | StagePure=76.752 | CPrec=76.752 | CRec=93.183 | NPrec=68.189 | NRec=34.110 | Keep=84.998 | TSim=0.987 | RoundTime=61.73s | TotalTime=1216.24s | Method=feddenoise_v3
[Round 016/210] Phase=stage_1 | Stage=0 | Acc=71.250 | StagePure=76.752 | CPrec=76.752 | CRec=93.183 | NPrec=68.189 | NRec=34.110 | Keep=84.998 | TSim=0.987 | RoundTime=69.01s | TotalTime=1285.27s | Method=feddenoise_v3
[Round 017/210] Phase=stage_1 | Stage=0 | Acc=71.200 | StagePure=76.752 | CPrec=76.752 | CRec=93.183 | NPrec=68.189 | NRec=34.110 | Keep=84.998 | TSim=0.987 | RoundTime=56.66s | TotalTime=1341.95s | Method=feddenoise_v3
[Round 018/210] Phase=stage_1 | Stage=0 | Acc=71.750 | StagePure=76.752 | CPrec=76.752 | CRec=93.183 | NPrec=68.189 | NRec=34.110 | Keep=84.998 | TSim=0.987 | RoundTime=73.24s | TotalTime=1415.19s | Method=feddenoise_v3
[Round 019/210] Phase=stage_1 | Stage=0 | Acc=72.630 | StagePure=76.752 | CPrec=76.752 | CRec=93.183 | NPrec=68.189 | NRec=34.110 | Keep=84.998 | TSim=0.987 | RoundTime=55.43s | TotalTime=1470.63s | Method=feddenoise_v3
[Round 020/210] Phase=stage_1 | Stage=0 | Acc=73.570 | StagePure=76.752 | CPrec=76.752 | CRec=93.183 | NPrec=68.189 | NRec=34.110 | Keep=84.998 | TSim=0.987 | RoundTime=68.34s | TotalTime=1538.98s | Method=feddenoise_v3
[Round 021/210] Phase=stage_1 | Stage=0 | Acc=71.880 | StagePure=76.752 | CPrec=76.752 | CRec=93.183 | NPrec=68.189 | NRec=34.110 | Keep=84.998 | TSim=0.987 | RoundTime=59.02s | TotalTime=1598.02s | Method=feddenoise_v3
[Round 022/210] Phase=stage_1 | Stage=0 | Acc=72.210 | StagePure=76.752 | CPrec=76.752 | CRec=93.183 | NPrec=68.189 | NRec=34.110 | Keep=84.998 | TSim=0.987 | RoundTime=68.18s | TotalTime=1666.20s | Method=feddenoise_v3
[Round 023/210] Phase=stage_1 | Stage=0 | Acc=72.930 | StagePure=76.752 | CPrec=76.752 | CRec=93.183 | NPrec=68.189 | NRec=34.110 | Keep=84.998 | TSim=0.987 | RoundTime=63.05s | TotalTime=1729.27s | Method=feddenoise_v3
[Round 024/210] Phase=stage_1 | Stage=0 | Acc=73.280 | StagePure=76.752 | CPrec=76.752 | CRec=93.183 | NPrec=68.189 | NRec=34.110 | Keep=84.998 | TSim=0.987 | RoundTime=63.96s | TotalTime=1793.24s | Method=feddenoise_v3
[Round 025/210] Phase=stage_1 | Stage=0 | Acc=72.470 | StagePure=76.752 | CPrec=76.752 | CRec=93.183 | NPrec=68.189 | NRec=34.110 | Keep=84.998 | TSim=0.987 | RoundTime=68.58s | TotalTime=1861.83s | Method=feddenoise_v3
[Round 026/210] Phase=stage_1 | Stage=0 | Acc=73.350 | StagePure=76.752 | CPrec=76.752 | CRec=93.183 | NPrec=68.189 | NRec=34.110 | Keep=84.998 | TSim=0.987 | RoundTime=58.74s | TotalTime=1920.59s | Method=feddenoise_v3
[Round 027/210] Phase=stage_1 | Stage=0 | Acc=73.940 | StagePure=76.752 | CPrec=76.752 | CRec=93.183 | NPrec=68.189 | NRec=34.110 | Keep=84.998 | TSim=0.987 | RoundTime=72.54s | TotalTime=1993.13s | Method=feddenoise_v3
[Round 028/210] Phase=stage_1 | Stage=0 | Acc=72.740 | StagePure=76.752 | CPrec=76.752 | CRec=93.183 | NPrec=68.189 | NRec=34.110 | Keep=84.998 | TSim=0.987 | RoundTime=53.88s | TotalTime=2047.02s | Method=feddenoise_v3
[Round 029/210] Phase=stage_1 | Stage=0 | Acc=72.730 | StagePure=76.752 | CPrec=76.752 | CRec=93.183 | NPrec=68.189 | NRec=34.110 | Keep=84.998 | TSim=0.987 | RoundTime=72.71s | TotalTime=2119.74s | Method=feddenoise_v3
[Round 030/210] Phase=stage_1 | Stage=0 | Acc=74.160 | StagePure=76.752 | CPrec=76.752 | CRec=93.183 | NPrec=68.189 | NRec=34.110 | Keep=84.998 | TSim=0.987 | RoundTime=59.09s | TotalTime=2178.84s | Method=feddenoise_v3
[Round 031/210] Phase=stage_1 | Stage=0 | Acc=74.350 | StagePure=76.752 | CPrec=76.752 | CRec=93.183 | NPrec=68.189 | NRec=34.110 | Keep=84.998 | TSim=0.987 | RoundTime=65.48s | TotalTime=2244.33s | Method=feddenoise_v3
