epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	19.59	None	None	None	None	None	None	None	42.9985	43.0058
1	warmup	warmup	19.77	None	None	None	None	None	None	None	46.0526	89.0680
2	warmup	warmup	32.66	None	None	None	None	None	None	None	46.3067	135.3829
3	warmup	warmup	40.58	None	None	None	None	None	None	None	45.6171	181.0070
4	warmup	warmup	44.89	None	None	None	None	None	None	None	45.4975	226.5120
5	warmup	warmup	51.38	None	None	None	None	None	None	None	45.4357	271.9547
6	warmup	warmup	54.46	None	None	None	None	None	None	None	45.7687	317.7300
7	warmup	warmup	56.28	None	None	None	None	None	None	None	45.5315	363.2683
8	warmup	warmup	57.65	None	None	None	None	None	None	None	45.6907	408.9660
9	warmup	warmup	59.84	None	None	None	None	None	None	None	96.8322	505.8068
10	stage_1	0	50.02	78.591	78.591	78.576	50.009	50.032	69.996	0.988	37.4261	543.2415
11	stage_1	0	52.77	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.6251	579.8734
12	stage_1	0	53.77	78.591	78.591	78.576	50.009	50.032	69.996	0.988	37.3741	617.2559
13	stage_1	0	56.87	78.591	78.591	78.576	50.009	50.032	69.996	0.988	37.8246	655.0873
14	stage_1	0	57.15	78.591	78.591	78.576	50.009	50.032	69.996	0.988	37.2307	692.3251
15	stage_1	0	59.36	78.591	78.591	78.576	50.009	50.032	69.996	0.988	32.6162	724.9482
16	stage_1	0	60.52	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.4844	761.4418
17	stage_1	0	60.61	78.591	78.591	78.576	50.009	50.032	69.996	0.988	37.7733	799.2237
18	stage_1	0	61.92	78.591	78.591	78.576	50.009	50.032	69.996	0.988	38.1519	837.3829
19	stage_1	0	62.21	78.591	78.591	78.576	50.009	50.032	69.996	0.988	37.2528	874.6447
20	stage_1	0	61.01	78.591	78.591	78.576	50.009	50.032	69.996	0.988	37.4979	912.1498
21	stage_1	0	61.94	78.591	78.591	78.576	50.009	50.032	69.996	0.988	38.0343	950.1915
22	stage_1	0	63.37	78.591	78.591	78.576	50.009	50.032	69.996	0.988	37.8229	988.0234
23	stage_1	0	62.62	78.591	78.591	78.576	50.009	50.032	69.996	0.988	37.3998	1025.4320
24	stage_1	0	62.67	78.591	78.591	78.576	50.009	50.032	69.996	0.988	37.2718	1062.7125
25	stage_1	0	63.56	78.591	78.591	78.576	50.009	50.032	69.996	0.988	37.1619	1099.8818
26	stage_1	0	64.81	78.591	78.591	78.576	50.009	50.032	69.996	0.988	37.4331	1137.3237
27	stage_1	0	64.89	78.591	78.591	78.576	50.009	50.032	69.996	0.988	37.5095	1174.8407
28	stage_1	0	63.64	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.3069	1211.1577
29	stage_1	0	65.36	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.8188	1247.9851
30	stage_1	0	65.07	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.9330	1284.9253
31	stage_1	0	64.15	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.7812	1321.7136
32	stage_1	0	64.93	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.7783	1358.5008
33	stage_1	0	64.71	78.591	78.591	78.576	50.009	50.032	69.996	0.988	37.5359	1396.0436
34	stage_1	0	64.83	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.8793	1432.9328
35	stage_1	0	66.24	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.8920	1469.8328
36	stage_1	0	66.41	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.9293	1506.7715
37	stage_1	0	66.45	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.6693	1543.4482
38	stage_1	0	65.53	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.5256	1579.9813
39	stage_1	0	65.74	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.8578	1616.8476
40	stage_1	0	66.29	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.0253	1652.8803
41	stage_1	0	65.91	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.8345	1689.7238
42	stage_1	0	64.99	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.8091	1726.5405
43	stage_1	0	65.48	78.591	78.591	78.576	50.009	50.032	69.996	0.988	37.8496	1764.3974
44	stage_1	0	65.47	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.8883	1801.2928
45	stage_1	0	66.14	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.8438	1838.1454
46	stage_1	0	65.3	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.7281	1874.8808
47	stage_1	0	66.22	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.6413	1911.5322
48	stage_1	0	64.73	78.591	78.591	78.576	50.009	50.032	69.996	0.988	37.9336	1949.4737
49	stage_1	0	65.71	78.591	78.591	78.576	50.009	50.032	69.996	0.988	37.5484	1987.0300
50	stage_1	0	64.41	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.8676	2023.9109
51	stage_1	0	65.03	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.9821	2060.9007
52	stage_1	0	65.5	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.5475	2097.4559
53	stage_1	0	65.53	78.591	78.591	78.576	50.009	50.032	69.996	0.988	37.6394	2135.1030
54	stage_1	0	65.61	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.6454	2171.7578
55	stage_1	0	63.51	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.9877	2208.7578
56	stage_1	0	64.16	78.591	78.591	78.576	50.009	50.032	69.996	0.988	37.0196	2245.7850
57	stage_1	0	65.09	78.591	78.591	78.576	50.009	50.032	69.996	0.988	36.6637	2282.4561
58	stage_1	0	64.56	78.591	78.591	78.576	50.009	50.032	69.996	0.988	37.2585	2319.7225
59	stage_1	0	64.32	78.591	78.591	78.576	50.009	50.032	69.996	0.988	75.6439	2395.3742
