epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	19.59	None	None	None	None	None	None	None	78.6506	78.6571
1	warmup	warmup	18.8	None	None	None	None	None	None	None	88.6012	167.2679
2	warmup	warmup	27.72	None	None	None	None	None	None	None	87.3506	254.6310
3	warmup	warmup	40.77	None	None	None	None	None	None	None	82.1095	336.7518
4	warmup	warmup	47.51	None	None	None	None	None	None	None	78.2819	415.0410
5	warmup	warmup	51.64	None	None	None	None	None	None	None	76.5856	491.6359
6	warmup	warmup	55.54	None	None	None	None	None	None	None	78.5677	570.2112
7	warmup	warmup	60.4	None	None	None	None	None	None	None	170.8510	741.0698
8	stage_1	0	48.52	79.515	79.515	68.14	44.246	59.021	59.994	0.975	60.4928	801.5725
9	stage_1	0	52.2	79.515	79.515	68.14	44.246	59.021	59.994	0.975	60.3793	861.9944
10	stage_1	0	52.48	79.515	79.515	68.14	44.246	59.021	59.994	0.975	61.1784	923.1802
11	stage_1	0	53.1	79.515	79.515	68.14	44.246	59.021	59.994	0.975	62.1838	985.3714
12	stage_1	0	55.38	79.515	79.515	68.14	44.246	59.021	59.994	0.975	60.2340	1045.6145
13	stage_1	0	55.73	79.515	79.515	68.14	44.246	59.021	59.994	0.975	60.0746	1105.6971
14	stage_1	0	56.22	79.515	79.515	68.14	44.246	59.021	59.994	0.975	63.3748	1169.0811
15	stage_1	0	57.64	79.515	79.515	68.14	44.246	59.021	59.994	0.975	60.1857	1229.2843
16	stage_1	0	57.94	79.515	79.515	68.14	44.246	59.021	59.994	0.975	60.0229	1289.3155
17	stage_1	0	57.79	79.515	79.515	68.14	44.246	59.021	59.994	0.975	60.0533	1349.3764
18	stage_1	0	60.26	79.515	79.515	68.14	44.246	59.021	59.994	0.975	60.2306	1409.6153
19	stage_1	0	59.57	79.515	79.515	68.14	44.246	59.021	59.994	0.975	60.4185	1470.0419
20	stage_1	0	58.74	79.515	79.515	68.14	44.246	59.021	59.994	0.975	61.3012	1531.3524
21	stage_1	0	60.27	79.515	79.515	68.14	44.246	59.021	59.994	0.975	61.2441	1592.6070
22	stage_1	0	61.65	79.515	79.515	68.14	44.246	59.021	59.994	0.975	60.6543	1653.2712
23	stage_1	0	60.81	79.515	79.515	68.14	44.246	59.021	59.994	0.975	59.8421	1713.1237
24	stage_1	0	60.81	79.515	79.515	68.14	44.246	59.021	59.994	0.975	61.6803	1774.8106
25	stage_1	0	61.36	79.515	79.515	68.14	44.246	59.021	59.994	0.975	62.8939	1837.7125
26	stage_1	0	61.03	79.515	79.515	68.14	44.246	59.021	59.994	0.975	60.5093	1898.2298
27	stage_1	0	61.09	79.515	79.515	68.14	44.246	59.021	59.994	0.975	60.7410	1958.9785
28	stage_1	0	62.27	79.515	79.515	68.14	44.246	59.021	59.994	0.975	60.6500	2019.6367
29	stage_1	0	61.91	79.515	79.515	68.14	44.246	59.021	59.994	0.975	128.7652	2148.4101
30	stage_2	1	58.41	86.057	86.057	73.746	54.055	72.107	59.994	0.977	59.6220	2208.0402
31	stage_2	1	60.44	86.057	86.057	73.746	54.055	72.107	59.994	0.977	60.9568	2269.0038
32	stage_2	1	60.0	86.057	86.057	73.746	54.055	72.107	59.994	0.977	61.7904	2330.8022
33	stage_2	1	60.04	86.057	86.057	73.746	54.055	72.107	59.994	0.977	60.7319	2391.5435
34	stage_2	1	61.31	86.057	86.057	73.746	54.055	72.107	59.994	0.977	60.7120	2452.2635
35	stage_2	1	61.09	86.057	86.057	73.746	54.055	72.107	59.994	0.977	59.4597	2511.7310
36	stage_2	1	61.71	86.057	86.057	73.746	54.055	72.107	59.994	0.977	59.5474	2571.2851
37	stage_2	1	61.85	86.057	86.057	73.746	54.055	72.107	59.994	0.977	61.1052	2632.3983
38	stage_2	1	61.51	86.057	86.057	73.746	54.055	72.107	59.994	0.977	61.6063	2694.0140
39	stage_2	1	62.41	86.057	86.057	73.746	54.055	72.107	59.994	0.977	60.6933	2754.7146
