epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	19.59	None	None	None	None	None	None	None	46.9202	46.9278
1	warmup	warmup	43.61	None	None	None	None	None	None	None	45.9234	92.8627
2	warmup	warmup	65.92	None	None	None	None	None	None	None	46.0431	138.9146
3	warmup	warmup	72.02	None	None	None	None	None	None	None	46.0820	185.0061
4	warmup	warmup	75.63	None	None	None	None	None	None	None	45.7711	230.7844
5	warmup	warmup	78.32	None	None	None	None	None	None	None	45.6116	276.7092
6	warmup	warmup	80.04	None	None	None	None	None	None	None	45.1172	321.8343
7	warmup	warmup	81.03	None	None	None	None	None	None	None	45.4290	367.2728
8	warmup	warmup	81.19	None	None	None	None	None	None	None	45.9553	413.2365
9	warmup	warmup	81.92	None	None	None	None	None	None	None	97.5048	510.7514
10	stage_1	0	70.51	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.7516	548.5131
11	stage_1	0	74.63	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.0490	585.5703
12	stage_1	0	77.26	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.4231	623.0049
13	stage_1	0	79.51	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.3815	660.3941
14	stage_1	0	80.7	88.586	88.586	88.568	73.326	73.359	69.996	0.987	36.1627	696.5662
15	stage_1	0	81.46	88.586	88.586	88.568	73.326	73.359	69.996	0.987	30.6561	727.2308
16	stage_1	0	82.1	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.2765	764.5163
17	stage_1	0	82.25	88.586	88.586	88.568	73.326	73.359	69.996	0.987	38.1880	802.7123
18	stage_1	0	82.45	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.6561	840.3775
19	stage_1	0	83.12	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.6077	877.9941
20	stage_1	0	83.27	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.6183	915.6246
21	stage_1	0	83.77	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.1332	952.7656
22	stage_1	0	83.71	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.4527	990.2286
23	stage_1	0	84.08	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.3424	1027.5785
24	stage_1	0	83.95	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.4961	1065.0869
25	stage_1	0	83.79	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.4295	1102.5258
26	stage_1	0	84.23	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.2320	1139.7681
27	stage_1	0	84.38	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.3340	1177.1095
28	stage_1	0	84.49	88.586	88.586	88.568	73.326	73.359	69.996	0.987	36.4505	1213.5702
29	stage_1	0	84.99	88.586	88.586	88.568	73.326	73.359	69.996	0.987	36.5631	1250.1420
30	stage_1	0	85.07	88.586	88.586	88.568	73.326	73.359	69.996	0.987	36.9946	1287.1502
31	stage_1	0	85.1	88.586	88.586	88.568	73.326	73.359	69.996	0.987	36.8494	1324.0097
32	stage_1	0	85.57	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.3138	1361.3322
33	stage_1	0	85.84	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.6799	1399.0229
34	stage_1	0	85.54	88.586	88.586	88.568	73.326	73.359	69.996	0.987	36.7510	1435.7827
35	stage_1	0	85.67	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.0156	1472.8063
36	stage_1	0	85.44	88.586	88.586	88.568	73.326	73.359	69.996	0.987	36.9328	1509.7480
37	stage_1	0	85.16	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.1201	1546.8753
38	stage_1	0	85.59	88.586	88.586	88.568	73.326	73.359	69.996	0.987	36.9134	1583.7992
39	stage_1	0	86.13	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.2152	1621.0227
40	stage_1	0	86.18	88.586	88.586	88.568	73.326	73.359	69.996	0.987	36.7236	1657.7550
41	stage_1	0	85.73	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.2122	1694.9758
42	stage_1	0	85.31	88.586	88.586	88.568	73.326	73.359	69.996	0.987	36.8618	1731.8489
43	stage_1	0	86.04	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.1269	1768.9836
44	stage_1	0	86.14	88.586	88.586	88.568	73.326	73.359	69.996	0.987	36.9760	1805.9699
45	stage_1	0	86.01	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.1635	1843.1405
46	stage_1	0	86.04	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.0467	1880.1955
47	stage_1	0	85.71	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.1479	1917.3513
48	stage_1	0	85.8	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.8936	1955.2572
49	stage_1	0	85.64	88.586	88.586	88.568	73.326	73.359	69.996	0.987	37.5116	1992.7777
