epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	21.27	None	None	None	None	None	None	None	99.5302	99.5474
1	warmup	warmup	39.98	None	None	None	None	None	None	None	97.6831	197.2630
2	warmup	warmup	65.12	None	None	None	None	None	None	None	98.4729	295.7899
3	warmup	warmup	74.09	None	None	None	None	None	None	None	99.5701	395.3859
4	warmup	warmup	76.97	None	None	None	None	None	None	None	97.5368	492.9410
5	warmup	warmup	78.8	None	None	None	None	None	None	None	96.5272	589.4890
6	warmup	warmup	81.12	None	None	None	None	None	None	None	90.4766	679.9782
7	warmup	warmup	82.05	None	None	None	None	None	None	None	169.8762	849.8931
8	stage_1	0	73.64	92.799	92.799	79.523	64.166	85.594	59.994	0.984	59.7191	909.6367
9	stage_1	0	77.12	92.799	92.799	79.523	64.166	85.594	59.994	0.984	59.6456	969.3143
10	stage_1	0	78.96	92.799	92.799	79.523	64.166	85.594	59.994	0.984	59.5571	1028.8988
11	stage_1	0	79.36	92.799	92.799	79.523	64.166	85.594	59.994	0.984	71.5600	1100.4709
12	stage_1	0	80.39	92.799	92.799	79.523	64.166	85.594	59.994	0.984	71.2634	1171.7551
13	stage_1	0	81.12	92.799	92.799	79.523	64.166	85.594	59.994	0.984	71.1211	1242.9088
14	stage_1	0	81.15	92.799	92.799	79.523	64.166	85.594	59.994	0.984	72.1869	1315.1308
15	stage_1	0	81.61	92.799	92.799	79.523	64.166	85.594	59.994	0.984	71.6818	1386.8331
16	stage_1	0	81.67	92.799	92.799	79.523	64.166	85.594	59.994	0.984	70.0884	1456.9302
17	stage_1	0	81.48	92.799	92.799	79.523	64.166	85.594	59.994	0.984	73.5471	1530.5362
18	stage_1	0	82.17	92.799	92.799	79.523	64.166	85.594	59.994	0.984	70.8925	1601.4584
19	stage_1	0	82.1	92.799	92.799	79.523	64.166	85.594	59.994	0.984	61.2275	1662.7385
