epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	7.76	None	None	None	None	None	None	None	63.3923	63.3990
1	warmup	warmup	45.07	None	None	None	None	None	None	None	61.4856	124.8923
2	warmup	warmup	65.95	None	None	None	None	None	None	None	63.1614	188.0615
3	warmup	warmup	73.55	None	None	None	None	None	None	None	62.9302	250.9986
4	warmup	warmup	76.22	None	None	None	None	None	None	None	60.4609	311.4661
5	warmup	warmup	78.69	None	None	None	None	None	None	None	60.6376	372.1098
6	warmup	warmup	79.92	None	None	None	None	None	None	None	63.4573	435.5735
7	warmup	warmup	80.7	None	None	None	None	None	None	None	133.0797	568.6592
8	stage_1	0	73.61	87.654	87.654	87.637	71.151	71.183	69.996	0.987	51.5830	620.2483
9	stage_1	0	78.64	87.654	87.654	87.637	71.151	71.183	69.996	0.987	52.7397	672.9941
10	stage_1	0	80.27	87.654	87.654	87.637	71.151	71.183	69.996	0.987	52.3727	725.3739
11	stage_1	0	81.99	87.654	87.654	87.637	71.151	71.183	69.996	0.987	52.5709	777.9514
12	stage_1	0	82.17	87.654	87.654	87.637	71.151	71.183	69.996	0.987	50.9473	828.9061
13	stage_1	0	82.66	87.654	87.654	87.637	71.151	71.183	69.996	0.987	52.5624	881.4747
14	stage_1	0	82.72	87.654	87.654	87.637	71.151	71.183	69.996	0.987	54.7915	936.2761
15	stage_1	0	83.43	87.654	87.654	87.637	71.151	71.183	69.996	0.987	50.2937	986.5822
16	stage_1	0	83.93	87.654	87.654	87.637	71.151	71.183	69.996	0.987	50.6822	1037.2723
17	stage_1	0	83.87	87.654	87.654	87.637	71.151	71.183	69.996	0.987	52.1769	1089.4563
18	stage_1	0	84.11	87.654	87.654	87.637	71.151	71.183	69.996	0.987	50.9839	1140.4481
19	stage_1	0	84.16	87.654	87.654	87.637	71.151	71.183	69.996	0.987	51.4833	1191.9379
20	stage_1	0	84.33	87.654	87.654	87.637	71.151	71.183	69.996	0.987	51.4740	1243.4206
21	stage_1	0	84.57	87.654	87.654	87.637	71.151	71.183	69.996	0.987	53.2492	1296.6775
22	stage_1	0	84.41	87.654	87.654	87.637	71.151	71.183	69.996	0.987	51.2954	1347.9808
23	stage_1	0	84.63	87.654	87.654	87.637	71.151	71.183	69.996	0.987	52.3125	1400.3000
24	stage_1	0	85.03	87.654	87.654	87.637	71.151	71.183	69.996	0.987	51.6804	1451.9884
25	stage_1	0	84.85	87.654	87.654	87.637	71.151	71.183	69.996	0.987	52.7310	1504.7271
26	stage_1	0	85.04	87.654	87.654	87.637	71.151	71.183	69.996	0.987	54.3861	1559.1198
27	stage_1	0	85.0	87.654	87.654	87.637	71.151	71.183	69.996	0.987	51.3255	1610.4533
28	stage_1	0	85.29	87.654	87.654	87.637	71.151	71.183	69.996	0.987	53.2281	1663.6891
29	stage_1	0	85.31	87.654	87.654	87.637	71.151	71.183	69.996	0.987	110.6290	1774.3266
30	stage_2	1	85.42	93.085	93.085	93.067	83.822	83.86	69.996	0.984	50.2289	1824.5647
31	stage_2	1	85.91	93.085	93.085	93.067	83.822	83.86	69.996	0.984	45.3710	1869.9430
32	stage_2	1	85.86	93.085	93.085	93.067	83.822	83.86	69.996	0.984	51.6417	1921.5924
33	stage_2	1	86.06	93.085	93.085	93.067	83.822	83.86	69.996	0.984	52.5785	1974.1775
34	stage_2	1	86.37	93.085	93.085	93.067	83.822	83.86	69.996	0.984	50.9297	2025.1153
35	stage_2	1	86.07	93.085	93.085	93.067	83.822	83.86	69.996	0.984	49.1462	2074.2701
36	stage_2	1	86.38	93.085	93.085	93.067	83.822	83.86	69.996	0.984	50.5747	2124.8544
37	stage_2	1	86.59	93.085	93.085	93.067	83.822	83.86	69.996	0.984	56.0505	2180.9147
38	stage_2	1	86.9	93.085	93.085	93.067	83.822	83.86	69.996	0.984	51.2896	2232.2129
39	stage_2	1	86.67	93.085	93.085	93.067	83.822	83.86	69.996	0.984	49.8370	2282.0564
40	stage_2	1	87.42	93.085	93.085	93.067	83.822	83.86	69.996	0.984	54.8454	2336.9113
41	stage_2	1	87.46	93.085	93.085	93.067	83.822	83.86	69.996	0.984	50.3395	2387.2590
42	stage_2	1	87.31	93.085	93.085	93.067	83.822	83.86	69.996	0.984	48.9037	2436.1705
43	stage_2	1	87.79	93.085	93.085	93.067	83.822	83.86	69.996	0.984	51.5657	2487.7432
44	stage_2	1	87.7	93.085	93.085	93.067	83.822	83.86	69.996	0.984	51.2062	2538.9586
45	stage_2	1	87.37	93.085	93.085	93.067	83.822	83.86	69.996	0.984	50.4231	2589.3884
46	stage_2	1	87.5	93.085	93.085	93.067	83.822	83.86	69.996	0.984	50.7574	2640.1538
47	stage_2	1	87.85	93.085	93.085	93.067	83.822	83.86	69.996	0.984	51.0984	2691.2673
48	stage_2	1	88.11	93.085	93.085	93.067	83.822	83.86	69.996	0.984	52.0742	2743.3495
49	stage_2	1	87.77	93.085	93.085	93.067	83.822	83.86	69.996	0.984	51.6846	2795.0415
50	stage_2	1	87.85	93.085	93.085	93.067	83.822	83.86	69.996	0.984	50.6335	2845.6852
51	stage_2	1	88.04	93.085	93.085	93.067	83.822	83.86	69.996	0.984	91.1833	2936.8760
52	stage_3	2	88.28	93.461	93.461	93.443	84.7	84.738	69.996	0.986	50.4178	2987.3029
