epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	19.59	None	None	None	None	None	None	None	174.6468	174.6531
1	warmup	warmup	42.03	None	None	None	None	None	None	None	186.0290	360.6969
2	warmup	warmup	61.64	None	None	None	None	None	None	None	186.4229	547.1326
3	warmup	warmup	71.38	None	None	None	None	None	None	None	186.8103	733.9503
4	warmup	warmup	74.64	None	None	None	None	None	None	None	188.0776	922.0381
5	warmup	warmup	73.69	None	None	None	None	None	None	None	187.6245	1109.6737
6	warmup	warmup	68.73	None	None	None	None	None	None	None	186.4404	1296.1220
7	warmup	warmup	63.83	None	None	None	None	None	None	None	185.6742	1481.8041
8	warmup	warmup	57.67	None	None	None	None	None	None	None	185.5021	1667.3158
9	warmup	warmup	53.53	None	None	None	None	None	None	None	187.2822	1854.6071
10	warmup	warmup	51.33	None	None	None	None	None	None	None	187.2448	2041.8593
11	warmup	warmup	49.0	None	None	None	None	None	None	None	185.5120	2227.3787
12	warmup	warmup	47.24	None	None	None	None	None	None	None	186.4822	2413.8685
13	warmup	warmup	46.68	None	None	None	None	None	None	None	185.2905	2599.1667
14	warmup	warmup	46.55	None	None	None	None	None	None	None	186.4457	2785.6199
15	warmup	warmup	45.9	None	None	None	None	None	None	None	186.2680	2971.8953
16	warmup	warmup	44.81	None	None	None	None	None	None	None	185.6548	3157.5577
17	warmup	warmup	45.28	None	None	None	None	None	None	None	188.0884	3345.6536
18	warmup	warmup	44.79	None	None	None	None	None	None	None	186.4885	3532.1495
19	warmup	warmup	44.48	None	None	None	None	None	None	None	232.4356	3764.5937
20	stage_1	0	46.88	51.695	51.695	93.041	65.225	13.053	89.994	0.957	173.9600	3938.5617
21	stage_1	0	46.22	51.695	51.695	93.041	65.225	13.053	89.994	0.957	176.2186	4114.7895
22	stage_1	0	46.09	51.695	51.695	93.041	65.225	13.053	89.994	0.957	177.7767	4292.5760
23	stage_1	0	46.59	51.695	51.695	93.041	65.225	13.053	89.994	0.957	179.2662	4471.8502
24	stage_1	0	46.31	51.695	51.695	93.041	65.225	13.053	89.994	0.957	176.3477	4648.2056
25	stage_1	0	45.63	51.695	51.695	93.041	65.225	13.053	89.994	0.957	176.5977	4824.8127
26	stage_1	0	45.42	51.695	51.695	93.041	65.225	13.053	89.994	0.957	176.9069	5001.7287
27	stage_1	0	44.84	51.695	51.695	93.041	65.225	13.053	89.994	0.957	176.0601	5177.7967
28	stage_1	0	45.08	51.695	51.695	93.041	65.225	13.053	89.994	0.957	177.3335	5355.1382
29	stage_1	0	45.24	51.695	51.695	93.041	65.225	13.053	89.994	0.957	176.5935	5531.7396
30	stage_1	0	44.65	51.695	51.695	93.041	65.225	13.053	89.994	0.957	176.5514	5708.2990
31	stage_1	0	44.78	51.695	51.695	93.041	65.225	13.053	89.994	0.957	175.7771	5884.0842
32	stage_1	0	44.02	51.695	51.695	93.041	65.225	13.053	89.994	0.957	177.1526	6061.2447
33	stage_1	0	43.68	51.695	51.695	93.041	65.225	13.053	89.994	0.957	177.4653	6238.7180
