epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	23.72	None	None	None	None	None	None	None	80.9351	80.9420
1	warmup	warmup	48.02	None	None	None	None	None	None	None	78.4073	159.3594
2	warmup	warmup	70.1	None	None	None	None	None	None	None	79.0096	238.3826
3	warmup	warmup	76.2	None	None	None	None	None	None	None	79.1713	317.5619
4	warmup	warmup	79.69	None	None	None	None	None	None	None	77.5472	395.1184
5	warmup	warmup	81.88	None	None	None	None	None	None	None	77.5690	472.6955
6	warmup	warmup	83.17	None	None	None	None	None	None	None	88.2338	560.9368
7	warmup	warmup	84.14	None	None	None	None	None	None	None	185.0605	746.0130
8	stage_1	0	69.99	94.432	94.432	80.923	66.615	88.862	59.994	0.986	65.2459	811.2687
9	stage_1	0	78.99	94.432	94.432	80.923	66.615	88.862	59.994	0.986	65.0181	876.2943
10	stage_1	0	80.6	94.432	94.432	80.923	66.615	88.862	59.994	0.986	65.0271	941.3290
11	stage_1	0	81.63	94.432	94.432	80.923	66.615	88.862	59.994	0.986	66.2135	1007.5499
12	stage_1	0	82.38	94.432	94.432	80.923	66.615	88.862	59.994	0.986	66.2447	1073.8022
13	stage_1	0	82.41	94.432	94.432	80.923	66.615	88.862	59.994	0.986	62.4979	1136.3075
14	stage_1	0	83.02	94.432	94.432	80.923	66.615	88.862	59.994	0.986	60.5803	1196.8955
15	stage_1	0	82.98	94.432	94.432	80.923	66.615	88.862	59.994	0.986	60.1264	1257.0352
16	stage_1	0	83.17	94.432	94.432	80.923	66.615	88.862	59.994	0.986	60.9913	1318.0730
17	stage_1	0	83.6	94.432	94.432	80.923	66.615	88.862	59.994	0.986	61.9411	1380.0232
18	stage_1	0	84.16	94.432	94.432	80.923	66.615	88.862	59.994	0.986	60.4679	1440.4990
19	stage_1	0	84.83	94.432	94.432	80.923	66.615	88.862	59.994	0.986	60.6732	1501.1800
20	stage_1	0	85.35	94.432	94.432	80.923	66.615	88.862	59.994	0.986	63.1569	1564.3448
21	stage_1	0	84.45	94.432	94.432	80.923	66.615	88.862	59.994	0.986	60.3251	1624.6780
22	stage_1	0	85.43	94.432	94.432	80.923	66.615	88.862	59.994	0.986	59.7045	1684.3909
23	stage_1	0	85.58	94.432	94.432	80.923	66.615	88.862	59.994	0.986	60.0168	1744.4143
