epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	19.59	None	None	None	None	None	None	None	51.7817	51.7892
1	warmup	warmup	60.21	None	None	None	None	None	None	None	42.9357	94.7336
2	warmup	warmup	73.72	None	None	None	None	None	None	None	45.1805	139.9218
3	warmup	warmup	79.16	None	None	None	None	None	None	None	42.8993	182.8308
4	warmup	warmup	81.53	None	None	None	None	None	None	None	43.1212	225.9588
5	warmup	warmup	83.33	None	None	None	None	None	None	None	45.2092	271.1767
6	warmup	warmup	83.73	None	None	None	None	None	None	None	43.6945	314.8777
7	warmup	warmup	84.67	None	None	None	None	None	None	None	142.7076	457.5962
8	stage_1	0	74.31	96.837	96.837	82.984	70.223	93.673	59.994	0.99	28.0934	485.6988
9	stage_1	0	78.74	96.837	96.837	82.984	70.223	93.673	59.994	0.99	27.1415	512.8467
10	stage_1	0	80.1	96.837	96.837	82.984	70.223	93.673	59.994	0.99	28.1076	540.9618
11	stage_1	0	81.57	96.837	96.837	82.984	70.223	93.673	59.994	0.99	28.7904	569.7610
12	stage_1	0	83.2	96.837	96.837	82.984	70.223	93.673	59.994	0.99	29.6903	599.4599
13	stage_1	0	83.75	96.837	96.837	82.984	70.223	93.673	59.994	0.99	27.8349	627.3037
14	stage_1	0	84.39	96.837	96.837	82.984	70.223	93.673	59.994	0.99	27.2532	654.5646
15	stage_1	0	84.78	96.837	96.837	82.984	70.223	93.673	59.994	0.99	26.3590	680.9372
16	stage_1	0	85.22	96.837	96.837	82.984	70.223	93.673	59.994	0.99	27.3358	708.2793
17	stage_1	0	85.66	96.837	96.837	82.984	70.223	93.673	59.994	0.99	29.0699	737.3582
18	stage_1	0	85.62	96.837	96.837	82.984	70.223	93.673	59.994	0.99	28.0427	765.4079
19	stage_1	0	85.94	96.837	96.837	82.984	70.223	93.673	59.994	0.99	27.5807	792.9968
20	stage_1	0	86.19	96.837	96.837	82.984	70.223	93.673	59.994	0.99	26.3599	819.3658
21	stage_1	0	86.04	96.837	96.837	82.984	70.223	93.673	59.994	0.99	31.3943	850.7681
22	stage_1	0	85.83	96.837	96.837	82.984	70.223	93.673	59.994	0.99	28.0868	878.8614
23	stage_1	0	86.54	96.837	96.837	82.984	70.223	93.673	59.994	0.99	27.5122	906.3838
24	stage_1	0	86.56	96.837	96.837	82.984	70.223	93.673	59.994	0.99	29.0791	935.4695
25	stage_1	0	86.79	96.837	96.837	82.984	70.223	93.673	59.994	0.99	28.4870	963.9633
26	stage_1	0	86.37	96.837	96.837	82.984	70.223	93.673	59.994	0.99	28.1836	992.1579
27	stage_1	0	86.89	96.837	96.837	82.984	70.223	93.673	59.994	0.99	28.4147	1020.5802
28	stage_1	0	86.84	96.837	96.837	82.984	70.223	93.673	59.994	0.99	27.7900	1048.3767
29	stage_1	0	86.97	96.837	96.837	82.984	70.223	93.673	59.994	0.99	113.2698	1161.6563
30	stage_2	1	87.37	98.193	98.193	84.146	72.256	96.386	59.994	0.99	27.6188	1189.2833
31	stage_2	1	87.49	98.193	98.193	84.146	72.256	96.386	59.994	0.99	27.1123	1216.4077
32	stage_2	1	88.0	98.193	98.193	84.146	72.256	96.386	59.994	0.99	28.0949	1244.5106
33	stage_2	1	88.56	98.193	98.193	84.146	72.256	96.386	59.994	0.99	29.6842	1274.2026
34	stage_2	1	88.61	98.193	98.193	84.146	72.256	96.386	59.994	0.99	29.3873	1303.6016
35	stage_2	1	88.71	98.193	98.193	84.146	72.256	96.386	59.994	0.99	27.9236	1331.5331
36	stage_2	1	88.44	98.193	98.193	84.146	72.256	96.386	59.994	0.99	27.3764	1358.9177
37	stage_2	1	88.64	98.193	98.193	84.146	72.256	96.386	59.994	0.99	27.5131	1386.4404
38	stage_2	1	89.04	98.193	98.193	84.146	72.256	96.386	59.994	0.99	27.0380	1413.4848
39	stage_2	1	88.87	98.193	98.193	84.146	72.256	96.386	59.994	0.99	28.3305	1441.8234
40	stage_2	1	88.55	98.193	98.193	84.146	72.256	96.386	59.994	0.99	22.9579	1464.7890
41	stage_2	1	89.06	98.193	98.193	84.146	72.256	96.386	59.994	0.99	24.0236	1488.8204
42	stage_2	1	88.86	98.193	98.193	84.146	72.256	96.386	59.994	0.99	27.6398	1516.4712
43	stage_2	1	89.42	98.193	98.193	84.146	72.256	96.386	59.994	0.99	29.2695	1545.7485
44	stage_2	1	89.08	98.193	98.193	84.146	72.256	96.386	59.994	0.99	26.9911	1572.7713
45	stage_2	1	89.34	98.193	98.193	84.146	72.256	96.386	59.994	0.99	27.1085	1599.8877
46	stage_2	1	89.25	98.193	98.193	84.146	72.256	96.386	59.994	0.99	26.7296	1626.6238
47	stage_2	1	89.11	98.193	98.193	84.146	72.256	96.386	59.994	0.99	31.3784	1658.0141
48	stage_2	1	89.21	98.193	98.193	84.146	72.256	96.386	59.994	0.99	27.9701	1685.9957
49	stage_2	1	89.19	98.193	98.193	84.146	72.256	96.386	59.994	0.99	26.4304	1712.4332
50	stage_2	1	89.26	98.193	98.193	84.146	72.256	96.386	59.994	0.99	26.9297	1739.3707
51	stage_2	1	89.26	98.193	98.193	84.146	72.256	96.386	59.994	0.99	119.2505	1858.6825
52	stage_3	2	90.06	98.535	98.535	84.439	72.768	97.069	59.994	0.992	28.6034	1887.2949
53	stage_3	2	90.24	98.535	98.535	84.439	72.768	97.069	59.994	0.992	28.6481	1915.9513
54	stage_3	2	89.86	98.535	98.535	84.439	72.768	97.069	59.994	0.992	29.3176	1945.2755
55	stage_3	2	89.77	98.535	98.535	84.439	72.768	97.069	59.994	0.992	27.5306	1972.8143
56	stage_3	2	90.13	98.535	98.535	84.439	72.768	97.069	59.994	0.992	30.8372	2003.6595
57	stage_3	2	90.02	98.535	98.535	84.439	72.768	97.069	59.994	0.992	26.8406	2030.5086
58	stage_3	2	90.21	98.535	98.535	84.439	72.768	97.069	59.994	0.992	27.3800	2057.8969
59	stage_3	2	90.05	98.535	98.535	84.439	72.768	97.069	59.994	0.992	26.5787	2084.4827
60	stage_3	2	90.13	98.535	98.535	84.439	72.768	97.069	59.994	0.992	26.2710	2110.7605
61	stage_3	2	90.01	98.535	98.535	84.439	72.768	97.069	59.994	0.992	28.8104	2139.5805
62	stage_3	2	89.99	98.535	98.535	84.439	72.768	97.069	59.994	0.992	29.4379	2169.0256
63	stage_3	2	90.14	98.535	98.535	84.439	72.768	97.069	59.994	0.992	28.3825	2197.4154
64	stage_3	2	90.1	98.535	98.535	84.439	72.768	97.069	59.994	0.992	26.9217	2224.3476
65	stage_3	2	90.42	98.535	98.535	84.439	72.768	97.069	59.994	0.992	31.2152	2255.5698
66	stage_3	2	90.02	98.535	98.535	84.439	72.768	97.069	59.994	0.992	27.3468	2282.9235
67	stage_3	2	89.97	98.535	98.535	84.439	72.768	97.069	59.994	0.992	28.8911	2311.8214
68	stage_3	2	90.23	98.535	98.535	84.439	72.768	97.069	59.994	0.992	29.5214	2341.3496
