epoch	acc	pure	round_time_sec	total_time_sec
0	11.09	None	63.5575	63.5577
1	40.78	None	62.9945	126.5525
2	64.16	None	66.0751	192.6279
3	67.09	None	64.8470	257.4752
4	74.27	None	65.0136	322.4892
5	75.99	None	62.9307	385.4202
6	65.64	None	62.4270	447.8475
7	63.35	None	63.3024	511.1514
8	73.36	None	62.6784	573.8301
9	69.18	None	63.7550	637.5854
10	70.03	None	63.2889	700.8745
11	69.63	None	62.7375	763.6125
12	61.16	None	62.7906	826.4033
13	63.14	None	61.6714	888.0751
14	68.53	None	62.3892	950.4646
15	64.45	None	64.7370	1015.2021
16	68.31	None	62.0917	1077.2940
17	68.29	None	63.3737	1140.6679
18	68.48	None	62.9518	1203.6200
19	68.53	None	65.3673	1268.9875
20	65.53	None	64.7525	1333.7403
21	70.35	None	63.5863	1397.3268
22	70.82	None	64.7580	1462.0851
23	68.49	None	64.6038	1526.6892
24	71.19	None	63.1667	1589.8561
25	70.34	None	64.3803	1654.2367
26	61.88	None	63.9550	1718.1920
27	67.46	None	63.9118	1782.1041
28	70.4	None	65.4591	1847.5634
29	70.47	None	65.1675	1912.7311
30	72.49	None	63.0439	1975.7753
31	68.86	None	63.4673	2039.2429
32	67.22	None	62.9654	2102.2086
33	68.9	None	64.6535	2166.8623
34	68.72	None	63.4058	2230.2699
35	70.18	None	65.7130	2295.9831
36	65.51	None	62.4443	2358.4277
37	70.09	None	63.6041	2422.0320
38	69.64	None	62.2936	2484.3258
39	68.38	None	64.8607	2549.1868
40	73.04	None	63.5384	2612.7256
41	69.36	None	63.3456	2676.0714
42	70.18	None	64.7407	2740.8125
43	67.12	None	64.5124	2805.3252
44	67.37	None	63.9029	2869.2283
45	63.98	None	63.8682	2933.0968
46	71.62	None	63.6360	2996.7342
47	70.95	None	62.1982	3058.9327
48	69.46	None	64.1566	3123.0897
49	70.84	None	64.2968	3187.3868
50	70.01	None	62.6635	3250.0505
51	71.57	None	63.5556	3313.6064
52	67.09	None	62.9613	3376.5680
53	68.4	None	64.1090	3440.6772
54	64.42	None	63.8981	3504.5756
55	65.71	None	61.6273	3566.2031
56	66.41	None	63.3604	3629.5637
57	64.2	None	62.9614	3692.5254
58	61.53	None	63.3997	3755.9254
59	64.79	None	61.9032	3817.8290
60	66.41	None	63.1077	3880.9369
61	70.91	None	61.1297	3942.0669
62	66.23	None	61.7773	4003.8444
63	71.98	None	61.9949	4065.8396
64	70.66	None	63.2957	4129.1355
65	70.17	None	64.0991	4193.2349
66	71.44	None	62.6105	4255.8456
67	64.98	None	63.5040	4319.3499
68	65.58	None	64.8442	4384.1943
69	70.66	None	62.7164	4446.9110
70	72.86	None	61.8143	4508.7256
71	70.16	None	64.2396	4572.9655
72	69.76	None	63.6186	4636.5844
73	67.93	None	62.6572	4699.2418
74	68.62	None	63.5794	4762.8215
75	66.39	None	62.0972	4824.9190
76	67.69	None	63.9723	4888.8916
77	61.96	None	64.8303	4953.7222
78	70.81	None	64.7494	5018.4718
79	70.29	None	63.0248	5081.4969
80	67.22	None	62.4514	5143.9485
81	66.73	None	62.7914	5206.7402
82	65.58	None	62.6759	5269.4163
83	66.9	None	62.5739	5331.9905
84	63.06	None	62.2410	5394.2319
85	70.25	None	64.4819	5458.7141
86	66.41	None	62.8304	5521.5447
87	69.17	None	62.6112	5584.1562
88	66.78	None	63.6460	5647.8025
89	69.41	None	87.4066	5735.2093
90	67.53	None	59.0164	5794.2260
91	65.32	None	62.4549	5856.6812
92	67.97	None	61.2822	5917.9636
93	64.43	None	61.6362	5979.6000
94	60.64	None	62.8387	6042.4391
95	68.48	None	63.4733	6105.9126
96	68.64	None	61.1720	6167.0851
97	67.91	None	63.5094	6230.5947
98	69.71	None	60.0295	6290.6245
99	72.14	None	55.9820	6346.6068
