epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	standard	warmup	15.94	None	None	None	None	None	None	None	59.7557	59.7643
1	standard	warmup	41.27	None	None	None	None	None	None	None	58.0908	117.8638
2	standard	warmup	67.64	None	None	None	None	None	None	None	58.2398	176.1115
3	standard	warmup	72.4	None	None	None	None	None	None	None	57.8573	233.9811
4	standard	warmup	77.3	None	None	None	None	None	None	None	58.7185	292.7061
5	standard	warmup	80.18	None	None	None	None	None	None	None	59.4950	352.2095
6	standard	warmup	82.7	None	None	None	None	None	None	None	58.5281	410.7442
7	standard	warmup	83.54	None	None	None	None	None	None	None	58.2359	468.9877
8	standard	warmup	83.85	None	None	None	None	None	None	None	58.3498	527.3439
9	standard	warmup	83.85	None	None	None	None	None	None	None	57.9234	585.2749
10	standard	warmup	85.49	None	None	None	None	None	None	None	59.1481	644.4334
11	standard	warmup	85.62	None	None	None	None	None	None	None	58.4076	702.8494
12	standard	warmup	85.78	None	None	None	None	None	None	None	58.8482	761.7061
13	standard	warmup	86.61	None	None	None	None	None	None	None	58.1978	819.9140
14	standard	warmup	87.48	None	None	None	None	None	None	None	57.8349	877.7552
15	standard	warmup	87.43	None	None	None	None	None	None	None	58.8383	936.6031
16	standard	warmup	87.28	None	None	None	None	None	None	None	58.8242	995.4343
17	standard	warmup	87.15	None	None	None	None	None	None	None	58.8921	1054.3350
18	standard	warmup	88.68	None	None	None	None	None	None	None	58.7192	1113.0625
19	standard	warmup	89.25	None	None	None	None	None	None	None	58.9849	1172.0571
20	standard	warmup	88.74	None	None	None	None	None	None	None	59.2551	1231.3190
21	standard	warmup	89.02	None	None	None	None	None	None	None	58.6572	1289.9842
22	standard	warmup	89.2	None	None	None	None	None	None	None	59.3242	1349.3152
23	standard	warmup	89.14	None	None	None	None	None	None	None	58.8194	1408.1463
24	standard	warmup	89.21	None	None	None	None	None	None	None	59.3803	1467.5345
25	standard	warmup	89.84	None	None	None	None	None	None	None	59.5157	1527.0582
26	standard	warmup	89.83	None	None	None	None	None	None	None	59.2640	1586.3306
27	standard	warmup	89.73	None	None	None	None	None	None	None	59.2080	1645.5484
28	standard	warmup	89.95	None	None	None	None	None	None	None	59.3104	1704.8685
29	standard	warmup	89.84	None	None	None	None	None	None	None	58.5828	1763.4607
30	standard	warmup	90.15	None	None	None	None	None	None	None	59.1510	1822.6189
31	standard	warmup	89.66	None	None	None	None	None	None	None	58.8796	1881.5331
32	standard	warmup	89.69	None	None	None	None	None	None	None	59.7478	1941.2905
33	standard	warmup	90.42	None	None	None	None	None	None	None	59.1354	2000.4369
34	standard	warmup	89.99	None	None	None	None	None	None	None	59.3625	2059.8058
35	standard	warmup	89.78	None	None	None	None	None	None	None	58.2931	2118.1091
36	standard	warmup	89.77	None	None	None	None	None	None	None	58.9818	2177.0990
37	standard	warmup	89.75	None	None	None	None	None	None	None	58.4440	2235.5514
38	standard	warmup	90.46	None	None	None	None	None	None	None	58.5304	2294.0892
39	standard	warmup	90.29	None	None	None	None	None	None	None	58.8718	2352.9715
40	standard	warmup	90.28	None	None	None	None	None	None	None	58.8567	2411.8347
41	standard	warmup	89.95	None	None	None	None	None	None	None	59.1761	2471.0190
42	standard	warmup	90.65	None	None	None	None	None	None	None	58.7914	2529.8178
43	standard	warmup	90.02	None	None	None	None	None	None	None	58.9846	2588.8121
44	standard	warmup	89.95	None	None	None	None	None	None	None	75.3511	2664.1704
45	standard	warmup	89.5	None	None	None	None	None	None	None	74.1741	2738.3530
46	standard	warmup	89.92	None	None	None	None	None	None	None	75.6810	2814.0434
47	standard	warmup	90.15	None	None	None	None	None	None	None	78.6942	2892.7475
48	standard	warmup	89.97	None	None	None	None	None	None	None	91.3200	2984.0754
49	standard	warmup	89.81	None	None	None	None	None	None	None	91.2477	3075.3342
50	standard	warmup	89.81	None	None	None	None	None	None	None	92.1645	3167.5110
51	standard	warmup	89.53	None	None	None	None	None	None	None	90.9888	3258.5097
52	standard	warmup	89.61	None	None	None	None	None	None	None	87.4287	3345.9498
53	standard	warmup	89.5	None	None	None	None	None	None	None	91.0239	3436.9838
54	standard	warmup	89.37	None	None	None	None	None	None	None	91.5831	3528.5769
55	standard	warmup	89.08	None	None	None	None	None	None	None	90.5072	3619.0939
56	standard	warmup	89.54	None	None	None	None	None	None	None	91.5442	3710.6483
57	standard	warmup	88.68	None	None	None	None	None	None	None	92.6606	3803.3190
58	standard	warmup	88.96	None	None	None	None	None	None	None	91.8499	3895.1788
59	standard	warmup	88.84	None	None	None	None	None	None	None	91.1858	3986.3717
60	standard	warmup	88.15	None	None	None	None	None	None	None	91.6869	4078.0706
61	standard	warmup	87.91	None	None	None	None	None	None	None	91.3440	4169.4232
62	standard	warmup	87.98	None	None	None	None	None	None	None	91.6884	4261.1204
63	standard	warmup	87.56	None	None	None	None	None	None	None	91.4962	4352.6251
64	standard	warmup	87.27	None	None	None	None	None	None	None	91.6495	4444.2850
65	standard	warmup	88.03	None	None	None	None	None	None	None	90.6004	4534.8940
66	standard	warmup	87.21	None	None	None	None	None	None	None	92.9126	4627.8284
67	standard	warmup	87.2	None	None	None	None	None	None	None	78.5409	4706.3778
68	standard	warmup	86.71	None	None	None	None	None	None	None	80.1513	4786.5390
69	standard	warmup	86.54	None	None	None	None	None	None	None	77.8873	4864.4349
70	standard	warmup	86.36	None	None	None	None	None	None	None	79.1509	4943.5960
71	standard	warmup	86.22	None	None	None	None	None	None	None	78.4097	5022.0142
72	standard	warmup	85.65	None	None	None	None	None	None	None	79.0907	5101.1133
73	standard	warmup	85.69	None	None	None	None	None	None	None	78.6379	5179.7610
74	standard	warmup	85.4	None	None	None	None	None	None	None	80.0847	5259.8544
75	standard	warmup	85.66	None	None	None	None	None	None	None	78.0309	5337.8939
76	standard	warmup	85.35	None	None	None	None	None	None	None	79.1281	5417.0306
77	standard	warmup	84.59	None	None	None	None	None	None	None	78.2764	5495.3159
78	standard	warmup	84.19	None	None	None	None	None	None	None	78.6027	5573.9271
79	standard	warmup	83.51	None	None	None	None	None	None	None	78.0010	5651.9381
80	standard	warmup	83.84	None	None	None	None	None	None	None	78.1365	5730.0832
81	standard	warmup	83.7	None	None	None	None	None	None	None	78.7264	5808.8178
82	standard	warmup	83.18	None	None	None	None	None	None	None	77.7706	5886.5970
83	standard	warmup	82.58	None	None	None	None	None	None	None	76.5409	5963.1475
84	standard	warmup	81.97	None	None	None	None	None	None	None	77.7926	6040.9487
85	standard	warmup	82.11	None	None	None	None	None	None	None	78.0301	6118.9912
86	standard	warmup	81.48	None	None	None	None	None	None	None	77.8484	6196.8497
87	standard	warmup	81.48	None	None	None	None	None	None	None	75.2658	6272.1255
88	standard	warmup	81.01	None	None	None	None	None	None	None	77.4135	6349.5487
89	standard	warmup	80.62	None	None	None	None	None	None	None	77.4538	6427.0127
90	standard	warmup	80.19	None	None	None	None	None	None	None	77.3052	6504.3278
91	standard	warmup	79.52	None	None	None	None	None	None	None	77.3120	6581.6504
92	standard	warmup	79.35	None	None	None	None	None	None	None	76.4874	6658.1477
93	standard	warmup	80.14	None	None	None	None	None	None	None	77.4146	6735.5722
94	standard	warmup	78.18	None	None	None	None	None	None	None	78.6919	6814.2743
95	standard	warmup	79.08	None	None	None	None	None	None	None	77.4385	6891.7230
96	standard	warmup	78.22	None	None	None	None	None	None	None	75.9899	6967.7228
97	standard	warmup	76.9	None	None	None	None	None	None	None	76.8568	7044.5869
98	standard	warmup	77.37	None	None	None	None	None	None	None	77.0644	7121.6637
99	standard	warmup	77.34	None	None	None	None	None	None	None	77.2295	7198.9092
