========================================================================================================================
Training started at: 2026-04-10 08:20:32
Result directory: results/fl_svhn/fedgloss/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric_rho-0.05_beta-1.0_slr-1.0
Result txt file : results/fl_svhn/fedgloss/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric_rho-0.05_beta-1.0_slr-1.0/fedgloss_fl_svhn_20260410-082032-186142_pid3686835.txt
Result log file : results/fl_svhn/fedgloss/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric_rho-0.05_beta-1.0_slr-1.0/fedgloss_fl_svhn_20260410-082032-186142_pid3686835.log
------------------------------------------------------------------------------------------------------------------------
Model: fedgloss
Dataset: fl_svhn
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 100
Local epoch: 5
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.5
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedGLoSS rho: 0.05
FedGLoSS beta: 1.0
FedGLoSS server lr: 1.0
========================================================================================================================
[Round 001/100] Phase=standard | Stage=warmup | Acc=19.590 | RoundTime=236.22s | TotalTime=236.22s | Method=fedgloss
[Round 002/100] Phase=standard | Stage=warmup | Acc=48.530 | RoundTime=235.99s | TotalTime=472.22s | Method=fedgloss
[Round 003/100] Phase=standard | Stage=warmup | Acc=70.410 | RoundTime=236.27s | TotalTime=708.50s | Method=fedgloss
[Round 004/100] Phase=standard | Stage=warmup | Acc=75.770 | RoundTime=236.88s | TotalTime=945.39s | Method=fedgloss
[Round 005/100] Phase=standard | Stage=warmup | Acc=78.280 | RoundTime=236.13s | TotalTime=1181.53s | Method=fedgloss
[Round 006/100] Phase=standard | Stage=warmup | Acc=77.970 | RoundTime=235.65s | TotalTime=1417.19s | Method=fedgloss
[Round 007/100] Phase=standard | Stage=warmup | Acc=75.130 | RoundTime=237.90s | TotalTime=1655.10s | Method=fedgloss
[Round 008/100] Phase=standard | Stage=warmup | Acc=69.600 | RoundTime=236.70s | TotalTime=1891.81s | Method=fedgloss
[Round 009/100] Phase=standard | Stage=warmup | Acc=64.860 | RoundTime=236.47s | TotalTime=2128.29s | Method=fedgloss
[Round 010/100] Phase=standard | Stage=warmup | Acc=61.710 | RoundTime=234.92s | TotalTime=2363.22s | Method=fedgloss
[Round 011/100] Phase=standard | Stage=warmup | Acc=58.650 | RoundTime=236.68s | TotalTime=2599.92s | Method=fedgloss
[Round 012/100] Phase=standard | Stage=warmup | Acc=57.760 | RoundTime=235.94s | TotalTime=2835.87s | Method=fedgloss
[Round 013/100] Phase=standard | Stage=warmup | Acc=56.020 | RoundTime=237.01s | TotalTime=3072.89s | Method=fedgloss
[Round 014/100] Phase=standard | Stage=warmup | Acc=56.380 | RoundTime=235.65s | TotalTime=3308.54s | Method=fedgloss
[Round 015/100] Phase=standard | Stage=warmup | Acc=55.080 | RoundTime=234.76s | TotalTime=3543.31s | Method=fedgloss
[Round 016/100] Phase=standard | Stage=warmup | Acc=54.050 | RoundTime=237.57s | TotalTime=3780.90s | Method=fedgloss
[Round 017/100] Phase=standard | Stage=warmup | Acc=53.110 | RoundTime=235.82s | TotalTime=4016.72s | Method=fedgloss
[Round 018/100] Phase=standard | Stage=warmup | Acc=52.570 | RoundTime=237.27s | TotalTime=4254.00s | Method=fedgloss
[Round 019/100] Phase=standard | Stage=warmup | Acc=52.600 | RoundTime=236.84s | TotalTime=4490.86s | Method=fedgloss
[Round 020/100] Phase=standard | Stage=warmup | Acc=52.510 | RoundTime=234.85s | TotalTime=4725.72s | Method=fedgloss
[Round 021/100] Phase=standard | Stage=warmup | Acc=51.960 | RoundTime=236.18s | TotalTime=4961.91s | Method=fedgloss
