====================================================================================================
Training started at: 2026-03-14 13:22:46
Result directory: results/fl_svhn/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.3
Result txt file : results/fl_svhn/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.3/fedgloss_fl_svhn_20260314-132246.txt
Result log file : results/fl_svhn/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.3/fedgloss_fl_svhn_20260314-132246.log
----------------------------------------------------------------------------------------------------
Model: fedgloss
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=19.590 | RoundTime=64.47s | TotalTime=64.47s | Method=fedgloss
[Round 002/100] Acc=50.150 | RoundTime=63.02s | TotalTime=127.48s | Method=fedgloss
[Round 003/100] Acc=74.490 | RoundTime=65.84s | TotalTime=193.33s | Method=fedgloss
[Round 004/100] Acc=75.990 | RoundTime=65.31s | TotalTime=258.64s | Method=fedgloss
[Round 005/100] Acc=77.530 | RoundTime=65.11s | TotalTime=323.75s | Method=fedgloss
[Round 006/100] Acc=78.770 | RoundTime=62.43s | TotalTime=386.18s | Method=fedgloss
[Round 007/100] Acc=81.370 | RoundTime=62.65s | TotalTime=448.83s | Method=fedgloss
[Round 008/100] Acc=79.850 | RoundTime=64.83s | TotalTime=513.66s | Method=fedgloss
[Round 009/100] Acc=71.400 | RoundTime=63.55s | TotalTime=577.21s | Method=fedgloss
[Round 010/100] Acc=79.530 | RoundTime=63.95s | TotalTime=641.15s | Method=fedgloss
[Round 011/100] Acc=78.730 | RoundTime=62.93s | TotalTime=704.09s | Method=fedgloss
[Round 012/100] Acc=77.030 | RoundTime=63.46s | TotalTime=767.54s | Method=fedgloss
[Round 013/100] Acc=81.360 | RoundTime=62.48s | TotalTime=830.02s | Method=fedgloss
[Round 014/100] Acc=77.690 | RoundTime=62.33s | TotalTime=892.35s | Method=fedgloss
[Round 015/100] Acc=81.080 | RoundTime=62.49s | TotalTime=954.84s | Method=fedgloss
[Round 016/100] Acc=75.540 | RoundTime=63.86s | TotalTime=1018.69s | Method=fedgloss
[Round 017/100] Acc=78.940 | RoundTime=63.30s | TotalTime=1081.99s | Method=fedgloss
[Round 018/100] Acc=79.540 | RoundTime=64.42s | TotalTime=1146.41s | Method=fedgloss
[Round 019/100] Acc=75.820 | RoundTime=64.27s | TotalTime=1210.67s | Method=fedgloss
[Round 020/100] Acc=77.720 | RoundTime=65.24s | TotalTime=1275.91s | Method=fedgloss
[Round 021/100] Acc=77.510 | RoundTime=64.16s | TotalTime=1340.07s | Method=fedgloss
[Round 022/100] Acc=78.440 | RoundTime=64.36s | TotalTime=1404.43s | Method=fedgloss
[Round 023/100] Acc=76.650 | RoundTime=65.51s | TotalTime=1469.94s | Method=fedgloss
[Round 024/100] Acc=76.830 | RoundTime=65.04s | TotalTime=1534.99s | Method=fedgloss
[Round 025/100] Acc=76.820 | RoundTime=64.52s | TotalTime=1599.51s | Method=fedgloss
