====================================================================================================
Training started at: 2026-03-13 13:57:27
Result directory: results/fl_svhn/fedprox
Result txt file : results/fl_svhn/fedprox/model=fedprox_dataset=fl_svhn_structure=homogeneity_bs=64_lr=0.01_dirAlpha=0.5_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_mu=0.01_20260313-135727.txt
Result log file : results/fl_svhn/fedprox/model=fedprox_dataset=fl_svhn_structure=homogeneity_bs=64_lr=0.01_dirAlpha=0.5_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_mu=0.01_20260313-135727.log
----------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: NA
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=15.940 | RoundTime=54.52s | TotalTime=54.52s | Method=fedprox
[Round 002/100] Acc=49.270 | RoundTime=54.00s | TotalTime=108.52s | Method=fedprox
[Round 003/100] Acc=67.080 | RoundTime=53.31s | TotalTime=161.83s | Method=fedprox
[Round 004/100] Acc=76.990 | RoundTime=54.27s | TotalTime=216.10s | Method=fedprox
[Round 005/100] Acc=74.990 | RoundTime=53.36s | TotalTime=269.47s | Method=fedprox
[Round 006/100] Acc=77.800 | RoundTime=53.37s | TotalTime=322.83s | Method=fedprox
[Round 007/100] Acc=79.060 | RoundTime=53.16s | TotalTime=375.99s | Method=fedprox
[Round 008/100] Acc=75.720 | RoundTime=52.84s | TotalTime=428.83s | Method=fedprox
[Round 009/100] Acc=77.340 | RoundTime=53.43s | TotalTime=482.26s | Method=fedprox
[Round 010/100] Acc=72.850 | RoundTime=53.54s | TotalTime=535.80s | Method=fedprox
[Round 011/100] Acc=73.360 | RoundTime=54.18s | TotalTime=589.98s | Method=fedprox
[Round 012/100] Acc=75.940 | RoundTime=53.91s | TotalTime=643.89s | Method=fedprox
[Round 013/100] Acc=79.020 | RoundTime=52.58s | TotalTime=696.47s | Method=fedprox
[Round 014/100] Acc=73.340 | RoundTime=52.32s | TotalTime=748.78s | Method=fedprox
[Round 015/100] Acc=76.040 | RoundTime=52.49s | TotalTime=801.28s | Method=fedprox
[Round 016/100] Acc=75.710 | RoundTime=53.55s | TotalTime=854.82s | Method=fedprox
[Round 017/100] Acc=76.540 | RoundTime=52.80s | TotalTime=907.63s | Method=fedprox
[Round 018/100] Acc=74.700 | RoundTime=52.46s | TotalTime=960.09s | Method=fedprox
[Round 019/100] Acc=79.060 | RoundTime=52.95s | TotalTime=1013.04s | Method=fedprox
[Round 020/100] Acc=74.770 | RoundTime=53.47s | TotalTime=1066.51s | Method=fedprox
[Round 021/100] Acc=74.010 | RoundTime=52.10s | TotalTime=1118.61s | Method=fedprox
[Round 022/100] Acc=76.170 | RoundTime=54.56s | TotalTime=1173.17s | Method=fedprox
[Round 023/100] Acc=77.340 | RoundTime=53.96s | TotalTime=1227.13s | Method=fedprox
