epoch	acc	pure	round_time_sec	total_time_sec
0	19.62	None	62.9215	62.9217
1	43.97	None	61.6972	124.6193
2	68.78	None	63.4099	188.0295
3	67.9	None	63.6054	251.6352
4	74.72	None	62.1158	313.7513
5	78.95	None	63.4195	377.1725
6	69.73	None	62.3156	439.4884
7	73.28	None	63.2856	502.7743
8	74.89	None	62.2760	565.0506
9	77.52	None	62.7510	627.8019
10	79.95	None	62.8711	690.6732
11	74.16	None	65.1153	755.7888
12	77.08	None	62.8148	818.6039
13	75.04	None	62.9419	881.5461
14	78.52	None	63.2651	944.8116
15	79.53	None	62.9265	1007.7383
16	78.56	None	65.2567	1072.9953
17	76.72	None	62.4722	1135.4679
18	75.6	None	62.9774	1198.4457
19	76.14	None	62.1567	1260.6027
20	76.03	None	62.5882	1323.1911
21	72.79	None	61.9914	1385.1828
22	76.98	None	63.1106	1448.2938
23	77.7	None	63.3690	1511.6630
24	76.48	None	62.8459	1574.5093
25	70.28	None	62.6759	1637.1855
26	75.04	None	62.5606	1699.7463
27	71.44	None	62.4572	1762.2039
28	75.86	None	62.4243	1824.6284
29	78.82	None	64.2476	1888.8763
30	73.29	None	63.6754	1952.5519
31	76.46	None	63.3997	2015.9519
32	76.67	None	64.1204	2080.0726
33	77.96	None	63.1585	2143.2314
34	72.36	None	62.3410	2205.5728
35	73.79	None	62.8035	2268.3766
36	75.19	None	63.5011	2331.8780
37	72.05	None	63.7578	2395.6373
38	75.07	None	64.2283	2459.8659
39	74.22	None	63.7058	2523.5720
40	75.36	None	62.6667	2586.2391
41	77.57	None	64.3004	2650.5398
42	77.72	None	63.2124	2713.7524
43	74.29	None	62.8264	2776.5791
44	76.59	None	64.6856	2841.2651
45	78.05	None	62.6182	2903.8836
46	73.23	None	64.0674	2967.9514
47	76.19	None	63.2617	3031.2134
48	73.24	None	64.9587	3096.1724
49	72.69	None	63.6840	3159.8567
50	77.56	None	62.7579	3222.6148
51	76.34	None	62.4097	3285.0261
52	78.53	None	63.8044	3348.8308
53	76.49	None	63.2322	3412.0633
54	76.55	None	63.4630	3475.5266
55	78.09	None	63.7712	3539.2982
56	76.45	None	63.2093	3602.5090
57	75.18	None	62.1531	3664.6625
58	76.75	None	63.2819	3727.9448
59	77.5	None	62.7225	3790.6676
60	77.28	None	61.9403	3852.6082
61	75.61	None	62.7638	3915.3723
62	74.63	None	61.7844	3977.1570
63	75.76	None	63.5631	4040.7205
64	72.73	None	61.9237	4102.6446
65	74.04	None	62.8126	4165.4575
66	74.64	None	62.6002	4228.0580
67	76.57	None	63.7533	4291.8117
68	74.27	None	61.8808	4353.6928
69	76.97	None	62.3996	4416.0929
70	71.78	None	61.7213	4477.8145
71	73.9	None	48.9726	4526.7875
72	76.91	None	46.3408	4573.1285
73	75.54	None	46.8752	4620.0041
74	76.6	None	46.4664	4666.4707
75	75.5	None	47.2935	4713.7645
76	75.84	None	46.6697	4760.4345
77	76.03	None	46.2846	4806.7194
78	74.27	None	45.9556	4852.6753
79	76.5	None	46.7278	4899.4034
80	75.07	None	46.3814	4945.7851
81	76.24	None	46.9268	4992.7122
82	73.52	None	46.0526	5038.7651
83	73.46	None	46.7231	5085.4885
84	69.94	None	46.1286	5131.6174
85	76.53	None	46.0647	5177.6825
86	73.85	None	46.8633	5224.5461
87	75.9	None	45.1875	5269.7339
88	72.96	None	45.0686	5314.8027
89	76.05	None	45.9871	5360.7900
90	74.2	None	44.4192	5405.2096
91	75.56	None	45.5056	5450.7154
92	74.85	None	45.3071	5496.0228
93	75.81	None	44.0021	5540.0252
94	72.86	None	45.6439	5585.6694
95	75.05	None	45.1893	5630.8590
96	76.89	None	44.2617	5675.1209
97	72.43	None	44.0202	5719.1414
98	74.93	None	43.3948	5762.5365
99	75.19	None	44.7442	5807.2810
