====================================================================================================
Training started at: 2026-03-14 11:12:24
Result directory: results/fl_svhn/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3
Result txt file : results/fl_svhn/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3/fedprox_fl_svhn_20260314-111224.txt
Result log file : results/fl_svhn/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3/fedprox_fl_svhn_20260314-111224.log
----------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=15.940 | RoundTime=120.18s | TotalTime=120.18s | Method=fedprox
[Round 002/100] Acc=40.890 | RoundTime=116.91s | TotalTime=237.09s | Method=fedprox
[Round 003/100] Acc=62.000 | RoundTime=117.85s | TotalTime=354.94s | Method=fedprox
[Round 004/100] Acc=68.000 | RoundTime=116.26s | TotalTime=471.20s | Method=fedprox
[Round 005/100] Acc=66.910 | RoundTime=117.69s | TotalTime=588.89s | Method=fedprox
[Round 006/100] Acc=74.610 | RoundTime=116.32s | TotalTime=705.21s | Method=fedprox
[Round 007/100] Acc=67.050 | RoundTime=116.99s | TotalTime=822.20s | Method=fedprox
[Round 008/100] Acc=72.190 | RoundTime=115.47s | TotalTime=937.67s | Method=fedprox
[Round 009/100] Acc=67.160 | RoundTime=116.82s | TotalTime=1054.49s | Method=fedprox
[Round 010/100] Acc=71.020 | RoundTime=116.59s | TotalTime=1171.08s | Method=fedprox
[Round 011/100] Acc=70.550 | RoundTime=116.82s | TotalTime=1287.90s | Method=fedprox
[Round 012/100] Acc=66.830 | RoundTime=117.45s | TotalTime=1405.35s | Method=fedprox
[Round 013/100] Acc=68.950 | RoundTime=116.22s | TotalTime=1521.57s | Method=fedprox
[Round 014/100] Acc=72.630 | RoundTime=117.60s | TotalTime=1639.17s | Method=fedprox
[Round 015/100] Acc=67.170 | RoundTime=117.04s | TotalTime=1756.21s | Method=fedprox
[Round 016/100] Acc=72.120 | RoundTime=111.30s | TotalTime=1867.51s | Method=fedprox
[Round 017/100] Acc=72.760 | RoundTime=98.59s | TotalTime=1966.11s | Method=fedprox
[Round 018/100] Acc=69.520 | RoundTime=84.47s | TotalTime=2050.58s | Method=fedprox
[Round 019/100] Acc=72.200 | RoundTime=66.88s | TotalTime=2117.45s | Method=fedprox
[Round 020/100] Acc=67.090 | RoundTime=112.74s | TotalTime=2230.19s | Method=fedprox
[Round 021/100] Acc=69.250 | RoundTime=115.87s | TotalTime=2346.06s | Method=fedprox
[Round 022/100] Acc=71.750 | RoundTime=115.30s | TotalTime=2461.36s | Method=fedprox
[Round 023/100] Acc=72.930 | RoundTime=113.80s | TotalTime=2575.16s | Method=fedprox
[Round 024/100] Acc=68.980 | RoundTime=114.53s | TotalTime=2689.70s | Method=fedprox
[Round 025/100] Acc=72.100 | RoundTime=113.72s | TotalTime=2803.42s | Method=fedprox
[Round 026/100] Acc=72.180 | RoundTime=114.14s | TotalTime=2917.57s | Method=fedprox
[Round 027/100] Acc=71.640 | RoundTime=114.68s | TotalTime=3032.24s | Method=fedprox
[Round 028/100] Acc=71.570 | RoundTime=114.34s | TotalTime=3146.58s | Method=fedprox
[Round 029/100] Acc=68.250 | RoundTime=115.76s | TotalTime=3262.34s | Method=fedprox
[Round 030/100] Acc=73.270 | RoundTime=114.54s | TotalTime=3376.88s | Method=fedprox
[Round 031/100] Acc=71.960 | RoundTime=113.28s | TotalTime=3490.16s | Method=fedprox
[Round 032/100] Acc=69.020 | RoundTime=115.21s | TotalTime=3605.37s | Method=fedprox
[Round 033/100] Acc=69.590 | RoundTime=115.46s | TotalTime=3720.83s | Method=fedprox
[Round 034/100] Acc=69.740 | RoundTime=114.89s | TotalTime=3835.73s | Method=fedprox
[Round 035/100] Acc=71.040 | RoundTime=114.44s | TotalTime=3950.17s | Method=fedprox
[Round 036/100] Acc=70.570 | RoundTime=115.11s | TotalTime=4065.28s | Method=fedprox
[Round 037/100] Acc=69.890 | RoundTime=114.26s | TotalTime=4179.54s | Method=fedprox
[Round 038/100] Acc=73.260 | RoundTime=116.47s | TotalTime=4296.01s | Method=fedprox
[Round 039/100] Acc=71.390 | RoundTime=114.53s | TotalTime=4410.54s | Method=fedprox
[Round 040/100] Acc=69.580 | RoundTime=113.87s | TotalTime=4524.42s | Method=fedprox
[Round 041/100] Acc=72.610 | RoundTime=114.48s | TotalTime=4638.90s | Method=fedprox
[Round 042/100] Acc=67.790 | RoundTime=114.55s | TotalTime=4753.45s | Method=fedprox
[Round 043/100] Acc=70.540 | RoundTime=114.54s | TotalTime=4867.99s | Method=fedprox
[Round 044/100] Acc=69.940 | RoundTime=113.95s | TotalTime=4981.94s | Method=fedprox
[Round 045/100] Acc=67.990 | RoundTime=113.39s | TotalTime=5095.34s | Method=fedprox
[Round 046/100] Acc=69.610 | RoundTime=114.31s | TotalTime=5209.64s | Method=fedprox
[Round 047/100] Acc=67.070 | RoundTime=114.63s | TotalTime=5324.27s | Method=fedprox
[Round 048/100] Acc=71.830 | RoundTime=113.63s | TotalTime=5437.90s | Method=fedprox
[Round 049/100] Acc=69.650 | RoundTime=114.46s | TotalTime=5552.36s | Method=fedprox
[Round 050/100] Acc=67.970 | RoundTime=115.73s | TotalTime=5668.09s | Method=fedprox
[Round 051/100] Acc=70.750 | RoundTime=115.67s | TotalTime=5783.76s | Method=fedprox
[Round 052/100] Acc=68.720 | RoundTime=115.30s | TotalTime=5899.06s | Method=fedprox
[Round 053/100] Acc=67.490 | RoundTime=116.93s | TotalTime=6015.99s | Method=fedprox
[Round 054/100] Acc=70.520 | RoundTime=115.79s | TotalTime=6131.78s | Method=fedprox
[Round 055/100] Acc=68.300 | RoundTime=115.69s | TotalTime=6247.47s | Method=fedprox
[Round 056/100] Acc=71.400 | RoundTime=116.27s | TotalTime=6363.75s | Method=fedprox
[Round 057/100] Acc=70.540 | RoundTime=114.69s | TotalTime=6478.44s | Method=fedprox
[Round 058/100] Acc=72.340 | RoundTime=114.52s | TotalTime=6592.96s | Method=fedprox
[Round 059/100] Acc=70.730 | RoundTime=114.38s | TotalTime=6707.34s | Method=fedprox
[Round 060/100] Acc=69.280 | RoundTime=114.21s | TotalTime=6821.55s | Method=fedprox
[Round 061/100] Acc=72.540 | RoundTime=114.61s | TotalTime=6936.17s | Method=fedprox
[Round 062/100] Acc=74.290 | RoundTime=113.29s | TotalTime=7049.46s | Method=fedprox
[Round 063/100] Acc=72.800 | RoundTime=114.02s | TotalTime=7163.48s | Method=fedprox
[Round 064/100] Acc=67.660 | RoundTime=114.42s | TotalTime=7277.90s | Method=fedprox
[Round 065/100] Acc=71.100 | RoundTime=114.92s | TotalTime=7392.82s | Method=fedprox
[Round 066/100] Acc=70.720 | RoundTime=113.78s | TotalTime=7506.60s | Method=fedprox
[Round 067/100] Acc=70.720 | RoundTime=115.60s | TotalTime=7622.20s | Method=fedprox
[Round 068/100] Acc=69.210 | RoundTime=114.97s | TotalTime=7737.17s | Method=fedprox
[Round 069/100] Acc=66.710 | RoundTime=114.24s | TotalTime=7851.41s | Method=fedprox
[Round 070/100] Acc=71.040 | RoundTime=116.00s | TotalTime=7967.42s | Method=fedprox
[Round 071/100] Acc=72.720 | RoundTime=112.04s | TotalTime=8079.45s | Method=fedprox
[Round 072/100] Acc=68.890 | RoundTime=114.79s | TotalTime=8194.24s | Method=fedprox
