epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	standard	warmup	19.59	None	None	None	None	None	None	None	284.9347	284.9411
1	standard	warmup	45.57	None	None	None	None	None	None	None	285.7323	570.6885
2	standard	warmup	63.86	None	None	None	None	None	None	None	281.6380	852.3355
3	standard	warmup	71.61	None	None	None	None	None	None	None	283.0910	1135.4385
4	standard	warmup	73.69	None	None	None	None	None	None	None	280.3279	1415.7754
5	standard	warmup	73.18	None	None	None	None	None	None	None	282.4529	1698.2384
6	standard	warmup	69.79	None	None	None	None	None	None	None	283.3234	1981.5709
7	standard	warmup	65.21	None	None	None	None	None	None	None	284.9280	2266.5096
8	standard	warmup	57.72	None	None	None	None	None	None	None	283.7829	2550.3029
9	standard	warmup	52.22	None	None	None	None	None	None	None	284.8079	2835.1215
10	standard	warmup	50.48	None	None	None	None	None	None	None	283.2246	3118.3550
11	standard	warmup	47.95	None	None	None	None	None	None	None	282.8754	3401.2407
12	standard	warmup	47.43	None	None	None	None	None	None	None	283.5455	3684.7951
13	standard	warmup	45.5	None	None	None	None	None	None	None	284.1973	3969.0039
14	standard	warmup	44.06	None	None	None	None	None	None	None	281.0820	4250.0951
15	standard	warmup	43.76	None	None	None	None	None	None	None	282.0937	4532.1977
16	standard	warmup	43.01	None	None	None	None	None	None	None	282.2840	4814.4905
17	standard	warmup	42.55	None	None	None	None	None	None	None	281.3948	5095.8955
18	standard	warmup	42.67	None	None	None	None	None	None	None	283.5993	5379.5054
19	standard	warmup	43.4	None	None	None	None	None	None	None	283.2697	5662.7845
20	standard	warmup	42.74	None	None	None	None	None	None	None	282.2954	5945.0889
21	standard	warmup	43.1	None	None	None	None	None	None	None	282.1035	6227.2013
22	standard	warmup	42.95	None	None	None	None	None	None	None	281.0189	6508.2290
23	standard	warmup	43.36	None	None	None	None	None	None	None	280.5409	6788.7791
24	standard	warmup	43.27	None	None	None	None	None	None	None	282.4333	7071.2217
25	standard	warmup	43.21	None	None	None	None	None	None	None	281.1790	7352.4102
26	standard	warmup	43.06	None	None	None	None	None	None	None	281.7940	7634.2136
27	standard	warmup	43.14	None	None	None	None	None	None	None	283.9006	7918.1235
28	standard	warmup	42.59	None	None	None	None	None	None	None	281.3304	8199.4634
29	standard	warmup	42.83	None	None	None	None	None	None	None	281.2799	8480.7539
30	standard	warmup	42.89	None	None	None	None	None	None	None	285.2990	8766.0637
31	standard	warmup	42.54	None	None	None	None	None	None	None	283.2828	9049.3571
32	standard	warmup	42.42	None	None	None	None	None	None	None	281.5818	9330.9482
33	standard	warmup	42.27	None	None	None	None	None	None	None	283.2237	9614.1828
34	standard	warmup	42.21	None	None	None	None	None	None	None	282.3907	9896.5840
35	standard	warmup	41.98	None	None	None	None	None	None	None	282.2103	10178.8054
36	standard	warmup	41.63	None	None	None	None	None	None	None	282.7698	10461.5845
37	standard	warmup	41.77	None	None	None	None	None	None	None	281.9869	10743.5807
38	standard	warmup	41.62	None	None	None	None	None	None	None	283.9449	11027.5374
39	standard	warmup	41.23	None	None	None	None	None	None	None	282.9545	11310.5030
40	standard	warmup	41.09	None	None	None	None	None	None	None	278.8218	11589.3345
41	standard	warmup	41.28	None	None	None	None	None	None	None	283.3044	11872.6479
42	standard	warmup	40.77	None	None	None	None	None	None	None	283.6058	12156.2630
43	standard	warmup	40.63	None	None	None	None	None	None	None	280.6851	12436.9573
44	standard	warmup	40.68	None	None	None	None	None	None	None	283.2825	12720.2490
45	standard	warmup	40.58	None	None	None	None	None	None	None	281.3920	13001.6502
46	standard	warmup	40.92	None	None	None	None	None	None	None	282.1668	13283.8266
47	standard	warmup	41.03	None	None	None	None	None	None	None	281.9334	13565.7698
48	standard	warmup	40.6	None	None	None	None	None	None	None	281.7125	13847.4914
49	standard	warmup	40.48	None	None	None	None	None	None	None	281.1675	14128.6691
50	standard	warmup	40.33	None	None	None	None	None	None	None	281.8881	14410.5685
51	standard	warmup	40.27	None	None	None	None	None	None	None	282.6398	14693.2200
52	standard	warmup	39.07	None	None	None	None	None	None	None	282.1616	14975.3925
53	standard	warmup	39.98	None	None	None	None	None	None	None	281.6545	15257.0580
54	standard	warmup	40.04	None	None	None	None	None	None	None	281.0031	15538.0720
55	standard	warmup	39.99	None	None	None	None	None	None	None	278.0376	15816.1204
56	standard	warmup	39.89	None	None	None	None	None	None	None	284.6364	16100.7679
57	standard	warmup	39.59	None	None	None	None	None	None	None	271.9466	16372.7255
58	standard	warmup	39.95	None	None	None	None	None	None	None	283.6583	16656.3947
59	standard	warmup	40.27	None	None	None	None	None	None	None	279.7825	16936.1896
60	standard	warmup	40.44	None	None	None	None	None	None	None	282.0550	17218.2570
61	standard	warmup	39.9	None	None	None	None	None	None	None	281.6349	17499.9041
62	standard	warmup	39.5	None	None	None	None	None	None	None	278.0008	17777.9160
63	standard	warmup	39.26	None	None	None	None	None	None	None	282.6339	18060.5622
64	standard	warmup	39.8	None	None	None	None	None	None	None	280.7302	18341.3046
65	standard	warmup	40.37	None	None	None	None	None	None	None	280.0725	18621.3879
66	standard	warmup	39.69	None	None	None	None	None	None	None	279.7470	18901.1457
67	standard	warmup	40.19	None	None	None	None	None	None	None	283.0469	19184.2032
68	standard	warmup	40.48	None	None	None	None	None	None	None	280.7788	19464.9930
