epoch	acc	pure	round_time_sec	total_time_sec
0	11.96	None	86.1514	86.1516
1	48.82	None	61.1970	147.3489
2	72.88	None	53.1172	200.4664
3	72.72	None	53.5448	254.0115
4	75.91	None	53.9269	307.9387
5	76.58	None	53.2014	361.1404
6	78.46	None	55.1665	416.3072
7	79.56	None	55.1210	471.4285
8	70.97	None	53.7402	525.1690
9	79.36	None	53.0724	578.2417
10	76.98	None	53.3711	631.6131
11	77.03	None	53.4749	685.0882
12	77.57	None	53.6333	738.7217
13	76.8	None	54.4009	793.1229
14	78.63	None	53.5682	846.6914
15	77.06	None	54.6719	901.3636
16	74.62	None	53.5734	954.9373
17	73.81	None	53.7484	1008.6859
18	76.31	None	53.6692	1062.3554
19	74.29	None	52.8195	1115.1752
20	75.68	None	54.7915	1169.9669
21	74.03	None	53.3996	1223.3668
22	77.13	None	56.0578	1279.4248
23	74.2	None	53.7162	1333.1413
24	77.1	None	56.3122	1389.4538
25	71.14	None	56.7617	1446.2158
26	77.51	None	54.0488	1500.2648
27	73.82	None	54.3364	1554.6015
28	72.33	None	55.2666	1609.8683
29	76.24	None	55.4502	1665.3199
30	77.16	None	54.2322	1719.5523
31	73.97	None	55.0310	1774.5836
32	74.28	None	54.3862	1828.9713
33	71.94	None	53.3585	1882.3300
34	74.66	None	53.7196	1936.0499
35	76.23	None	54.1721	1990.2239
36	74.61	None	54.2447	2044.4689
37	76.13	None	54.6907	2099.1598
38	76.66	None	54.4309	2153.5910
39	77.08	None	55.0290	2208.6202
40	77.98	None	55.0719	2263.6924
41	75.91	None	53.7728	2317.4655
42	74.56	None	53.3553	2370.8211
43	75.67	None	53.6345	2424.4558
44	77.65	None	56.3760	2480.8321
45	77.57	None	54.2341	2535.0664
46	76.24	None	53.8379	2588.9060
47	74.97	None	54.7196	2643.6270
48	77.47	None	53.9160	2697.5433
49	73.39	None	53.6425	2751.1860
50	73.99	None	53.2397	2804.4259
51	77.54	None	53.6230	2858.0492
52	77.32	None	53.1181	2911.1676
53	76.82	None	52.9571	2964.1250
54	76.41	None	53.4624	3017.5876
55	75.55	None	52.5109	3070.0988
56	78.48	None	53.3560	3123.4550
57	75.96	None	53.1754	3176.6307
58	76.45	None	52.6412	3229.2722
59	72.41	None	53.2902	3282.5629
60	74.38	None	52.9448	3335.5079
61	73.06	None	53.6125	3389.1207
62	76.33	None	53.7213	3442.8422
63	76.34	None	52.8954	3495.7379
64	75.49	None	52.9787	3548.7168
65	75.69	None	53.3405	3602.0575
66	77.16	None	52.7452	3654.8030
67	75.26	None	52.8030	3707.6063
68	74.59	None	52.3310	3759.9376
69	74.71	None	53.5513	3813.4892
70	74.78	None	52.8884	3866.3778
71	75.12	None	53.0909	3919.4690
72	75.99	None	52.9375	3972.4067
73	75.43	None	51.9827	4024.3896
74	75.61	None	53.0269	4077.4168
75	71.7	None	53.4644	4130.8814
76	76.53	None	53.2756	4184.1573
77	76.31	None	53.0416	4237.1992
78	74.92	None	52.8338	4290.0333
79	74.11	None	52.6194	4342.6529
80	75.92	None	52.1402	4394.7934
81	75.78	None	53.0234	4447.8171
82	74.99	None	53.0569	4500.8742
83	72.85	None	53.7413	4554.6158
84	75.82	None	53.3659	4607.9820
85	72.14	None	55.1735	4663.1558
86	74.03	None	52.5556	4715.7116
87	72.48	None	52.3987	4768.1106
88	75.96	None	52.9486	4821.0595
89	74.84	None	53.1651	4874.2250
90	73.29	None	52.5391	4926.7644
91	73.83	None	52.2967	4979.0614
92	75.24	None	52.4696	5031.5313
93	75.94	None	54.2230	5085.7546
94	75.35	None	52.4163	5138.1711
95	75.53	None	52.9698	5191.1412
96	75.23	None	52.5852	5243.7267
97	75.32	None	52.8536	5296.5805
98	73.44	None	53.8241	5350.4049
99	75.73	None	46.2788	5396.6840
