========================================================================================================================
Training started at: 2026-04-10 06:07:58
Result directory: results/fl_svhn/fedprox/pm-dir_a-0.8_nm-uni_nr-0.5_nt-symmetric_mu-0.01
Result txt file : results/fl_svhn/fedprox/pm-dir_a-0.8_nm-uni_nr-0.5_nt-symmetric_mu-0.01/fedprox_fl_svhn_20260410-060758-521581_pid3487975.txt
Result log file : results/fl_svhn/fedprox/pm-dir_a-0.8_nm-uni_nr-0.5_nt-symmetric_mu-0.01/fedprox_fl_svhn_20260410-060758-521581_pid3487975.log
------------------------------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_svhn
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 100
Local epoch: 5
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.5
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedProx mu: 0.01
========================================================================================================================
[Round 001/100] Phase=standard | Stage=warmup | Acc=19.590 | RoundTime=274.70s | TotalTime=274.71s | Method=fedprox
[Round 002/100] Phase=standard | Stage=warmup | Acc=59.700 | RoundTime=260.17s | TotalTime=534.89s | Method=fedprox
[Round 003/100] Phase=standard | Stage=warmup | Acc=73.900 | RoundTime=271.16s | TotalTime=806.06s | Method=fedprox
[Round 004/100] Phase=standard | Stage=warmup | Acc=79.120 | RoundTime=274.45s | TotalTime=1080.51s | Method=fedprox
[Round 005/100] Phase=standard | Stage=warmup | Acc=79.660 | RoundTime=275.31s | TotalTime=1355.84s | Method=fedprox
[Round 006/100] Phase=standard | Stage=warmup | Acc=80.480 | RoundTime=270.59s | TotalTime=1626.44s | Method=fedprox
[Round 007/100] Phase=standard | Stage=warmup | Acc=78.650 | RoundTime=272.04s | TotalTime=1898.48s | Method=fedprox
[Round 008/100] Phase=standard | Stage=warmup | Acc=75.260 | RoundTime=269.33s | TotalTime=2167.82s | Method=fedprox
[Round 009/100] Phase=standard | Stage=warmup | Acc=71.310 | RoundTime=271.68s | TotalTime=2439.50s | Method=fedprox
[Round 010/100] Phase=standard | Stage=warmup | Acc=67.160 | RoundTime=274.60s | TotalTime=2714.12s | Method=fedprox
[Round 011/100] Phase=standard | Stage=warmup | Acc=65.070 | RoundTime=271.39s | TotalTime=2985.51s | Method=fedprox
