epoch	acc	pure	round_time_sec	total_time_sec
0	16.19	None	80.5383	80.5385
1	57.3	None	45.9319	126.4708
2	71.2	None	45.3126	171.7836
3	76.86	None	45.3557	217.1396
4	76.02	None	46.7906	263.9304
5	77.63	None	46.5877	310.5184
6	79.25	None	47.9281	358.4467
7	71.99	None	48.6402	407.0872
8	75.07	None	48.7771	455.8647
9	76.87	None	48.6650	504.5300
10	69.26	None	46.7404	551.2708
11	75.71	None	46.1102	597.3812
12	75.43	None	48.9545	646.3361
13	79.39	None	45.6950	692.0315
14	75.57	None	48.6192	740.6511
15	73.36	None	45.3388	785.9902
16	80.34	None	47.6071	833.5976
17	77.72	None	48.7273	882.3251
18	74.87	None	47.3333	929.6588
19	77.19	None	45.7476	975.4068
20	73.6	None	46.3983	1021.8053
21	73.82	None	47.6787	1069.4844
22	75.36	None	47.7922	1117.2769
23	76.15	None	46.7256	1164.0028
24	77.35	None	46.8135	1210.8165
25	77.61	None	46.6272	1257.4440
26	78.53	None	47.6934	1305.1377
27	78.32	None	46.8243	1351.9623
28	71.16	None	46.5425	1398.5051
29	69.7	None	47.2141	1445.7194
30	73.86	None	47.0799	1492.7996
31	74.05	None	46.4825	1539.2824
32	73.38	None	47.6342	1586.9169
33	78.85	None	45.6738	1632.5909
34	76.98	None	46.3087	1678.8999
35	79.64	None	47.8200	1726.7202
36	77.95	None	45.8505	1772.5710
37	76.88	None	48.0799	1820.6512
38	69.51	None	46.9298	1867.5813
39	74.91	None	47.8622	1915.4437
40	71.81	None	48.1721	1963.6161
41	76.31	None	47.0522	2010.6696
42	74.89	None	46.0514	2056.7213
43	77.56	None	46.8057	2103.5273
44	73.41	None	45.1193	2148.6469
45	74.26	None	45.4841	2194.1313
46	75.76	None	46.2019	2240.3335
47	79.27	None	45.6760	2286.0098
48	75.91	None	46.5752	2332.5852
49	71.24	None	47.1592	2379.7447
50	74.15	None	45.5087	2425.2537
51	72.89	None	45.7989	2471.0529
52	74.26	None	45.9798	2517.0329
53	71.88	None	46.5464	2563.5796
54	75.9	None	47.2910	2610.8709
55	78.11	None	46.9921	2657.8633
56	78.22	None	46.5966	2704.4602
57	78.2	None	46.8428	2751.3033
58	77.11	None	46.2038	2797.5075
59	75.22	None	46.5301	2844.0379
60	77.26	None	45.6632	2889.7015
61	78.24	None	49.0880	2938.7898
62	77.32	None	46.1473	2984.9373
63	75.57	None	45.3019	3030.2396
64	74.5	None	45.2961	3075.5360
65	74.67	None	46.7094	3122.2458
66	74.68	None	46.1630	3168.4092
67	75.0	None	44.9618	3213.3713
68	76.14	None	46.0817	3259.4533
69	73.9	None	47.0456	3306.4992
70	75.43	None	46.1486	3352.6496
71	73.74	None	46.0447	3398.6946
72	76.4	None	44.8491	3443.5440
73	77.74	None	46.0984	3489.6428
74	77.15	None	44.5514	3534.1945
75	76.68	None	47.7829	3581.9777
76	77.15	None	46.1632	3628.1411
77	75.86	None	45.5258	3673.6673
78	75.11	None	46.2717	3719.9393
79	77.55	None	46.0604	3766.0000
80	77.39	None	47.0794	3813.0798
81	77.18	None	45.9549	3859.0350
82	76.36	None	45.0163	3904.0517
83	76.86	None	45.1141	3949.1661
84	75.69	None	47.0091	3996.1754
85	79.08	None	46.8636	4043.0394
86	75.93	None	45.3674	4088.4071
87	73.11	None	44.7013	4133.1099
88	74.57	None	45.6589	4178.7691
89	69.93	None	44.8553	4223.6247
90	74.67	None	46.7872	4270.4122
91	73.77	None	45.1693	4315.5819
92	74.92	None	43.8457	4359.4279
93	69.02	None	46.2960	4405.7242
94	73.35	None	47.7225	4453.4471
95	76.55	None	44.7980	4498.2454
96	76.46	None	44.1355	4542.3813
97	76.62	None	44.4105	4586.7921
98	76.23	None	46.1283	4632.9207
99	74.05	None	42.7390	4675.6601
