====================================================================================================
Training started at: 2026-03-27 06:02:02
Result directory: results/fl_svhn/fedrdn/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15
Result txt file : results/fl_svhn/fedrdn/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedrdn_fl_svhn_20260327-060202-403029_pid652971.txt
Result log file : results/fl_svhn/fedrdn/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedrdn_fl_svhn_20260327-060202-403029_pid652971.log
----------------------------------------------------------------------------------------------------
Model: fedrdn
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=19.590 | RoundTime=41.89s | TotalTime=41.89s | Method=fedrdn
[Round 002/100] Acc=53.510 | RoundTime=24.59s | TotalTime=66.48s | Method=fedrdn
[Round 003/100] Acc=68.110 | RoundTime=26.03s | TotalTime=92.51s | Method=fedrdn
[Round 004/100] Acc=73.540 | RoundTime=28.78s | TotalTime=121.29s | Method=fedrdn
[Round 005/100] Acc=69.400 | RoundTime=25.84s | TotalTime=147.12s | Method=fedrdn
[Round 006/100] Acc=67.740 | RoundTime=29.49s | TotalTime=176.61s | Method=fedrdn
[Round 007/100] Acc=69.000 | RoundTime=26.62s | TotalTime=203.24s | Method=fedrdn
[Round 008/100] Acc=79.670 | RoundTime=27.77s | TotalTime=231.00s | Method=fedrdn
[Round 009/100] Acc=68.630 | RoundTime=27.68s | TotalTime=258.68s | Method=fedrdn
[Round 010/100] Acc=69.370 | RoundTime=27.47s | TotalTime=286.16s | Method=fedrdn
[Round 011/100] Acc=75.390 | RoundTime=27.84s | TotalTime=314.00s | Method=fedrdn
[Round 012/100] Acc=72.790 | RoundTime=29.01s | TotalTime=343.01s | Method=fedrdn
[Round 013/100] Acc=78.690 | RoundTime=29.14s | TotalTime=372.15s | Method=fedrdn
[Round 014/100] Acc=67.330 | RoundTime=27.45s | TotalTime=399.60s | Method=fedrdn
[Round 015/100] Acc=74.100 | RoundTime=28.22s | TotalTime=427.82s | Method=fedrdn
[Round 016/100] Acc=73.280 | RoundTime=27.77s | TotalTime=455.59s | Method=fedrdn
[Round 017/100] Acc=69.810 | RoundTime=27.57s | TotalTime=483.16s | Method=fedrdn
[Round 018/100] Acc=71.870 | RoundTime=26.78s | TotalTime=509.94s | Method=fedrdn
[Round 019/100] Acc=74.300 | RoundTime=27.38s | TotalTime=537.32s | Method=fedrdn
[Round 020/100] Acc=74.470 | RoundTime=28.09s | TotalTime=565.41s | Method=fedrdn
[Round 021/100] Acc=76.380 | RoundTime=28.02s | TotalTime=593.43s | Method=fedrdn
[Round 022/100] Acc=78.710 | RoundTime=27.98s | TotalTime=621.41s | Method=fedrdn
[Round 023/100] Acc=75.620 | RoundTime=27.59s | TotalTime=649.00s | Method=fedrdn
[Round 024/100] Acc=77.020 | RoundTime=29.03s | TotalTime=678.03s | Method=fedrdn
