====================================================================================================
Training started at: 2026-03-14 12:09:06
Result directory: results/fl_svhn/fedrdn/pm-dir_a-0.8_nm-uni_nr-0.3
Result txt file : results/fl_svhn/fedrdn/pm-dir_a-0.8_nm-uni_nr-0.3/fedrdn_fl_svhn_20260314-120906.txt
Result log file : results/fl_svhn/fedrdn/pm-dir_a-0.8_nm-uni_nr-0.3/fedrdn_fl_svhn_20260314-120906.log
----------------------------------------------------------------------------------------------------
Model: fedrdn
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=21.070 | RoundTime=79.88s | TotalTime=79.88s | Method=fedrdn
[Round 002/100] Acc=54.830 | RoundTime=45.79s | TotalTime=125.67s | Method=fedrdn
[Round 003/100] Acc=74.750 | RoundTime=45.49s | TotalTime=171.16s | Method=fedrdn
[Round 004/100] Acc=79.280 | RoundTime=45.71s | TotalTime=216.87s | Method=fedrdn
[Round 005/100] Acc=76.520 | RoundTime=46.26s | TotalTime=263.13s | Method=fedrdn
[Round 006/100] Acc=81.020 | RoundTime=46.39s | TotalTime=309.52s | Method=fedrdn
[Round 007/100] Acc=78.080 | RoundTime=48.63s | TotalTime=358.15s | Method=fedrdn
[Round 008/100] Acc=78.390 | RoundTime=49.48s | TotalTime=407.63s | Method=fedrdn
[Round 009/100] Acc=80.290 | RoundTime=48.62s | TotalTime=456.25s | Method=fedrdn
[Round 010/100] Acc=79.850 | RoundTime=48.86s | TotalTime=505.11s | Method=fedrdn
[Round 011/100] Acc=73.890 | RoundTime=47.16s | TotalTime=552.27s | Method=fedrdn
[Round 012/100] Acc=79.940 | RoundTime=45.88s | TotalTime=598.15s | Method=fedrdn
[Round 013/100] Acc=80.060 | RoundTime=49.28s | TotalTime=647.43s | Method=fedrdn
[Round 014/100] Acc=80.430 | RoundTime=46.74s | TotalTime=694.17s | Method=fedrdn
[Round 015/100] Acc=80.590 | RoundTime=48.39s | TotalTime=742.56s | Method=fedrdn
[Round 016/100] Acc=80.460 | RoundTime=46.52s | TotalTime=789.09s | Method=fedrdn
[Round 017/100] Acc=78.760 | RoundTime=48.10s | TotalTime=837.18s | Method=fedrdn
[Round 018/100] Acc=80.580 | RoundTime=48.82s | TotalTime=886.00s | Method=fedrdn
[Round 019/100] Acc=78.460 | RoundTime=46.81s | TotalTime=932.81s | Method=fedrdn
[Round 020/100] Acc=77.410 | RoundTime=46.34s | TotalTime=979.15s | Method=fedrdn
[Round 021/100] Acc=79.080 | RoundTime=46.48s | TotalTime=1025.63s | Method=fedrdn
[Round 022/100] Acc=75.410 | RoundTime=47.32s | TotalTime=1072.95s | Method=fedrdn
[Round 023/100] Acc=79.610 | RoundTime=47.39s | TotalTime=1120.35s | Method=fedrdn
[Round 024/100] Acc=76.990 | RoundTime=46.65s | TotalTime=1167.00s | Method=fedrdn
[Round 025/100] Acc=80.420 | RoundTime=47.04s | TotalTime=1214.04s | Method=fedrdn
[Round 026/100] Acc=80.600 | RoundTime=46.97s | TotalTime=1261.00s | Method=fedrdn
[Round 027/100] Acc=79.320 | RoundTime=47.40s | TotalTime=1308.40s | Method=fedrdn
[Round 028/100] Acc=79.080 | RoundTime=46.45s | TotalTime=1354.86s | Method=fedrdn
[Round 029/100] Acc=78.470 | RoundTime=46.40s | TotalTime=1401.26s | Method=fedrdn
[Round 030/100] Acc=77.020 | RoundTime=47.13s | TotalTime=1448.38s | Method=fedrdn
[Round 031/100] Acc=81.390 | RoundTime=47.29s | TotalTime=1495.67s | Method=fedrdn
[Round 032/100] Acc=78.630 | RoundTime=45.76s | TotalTime=1541.43s | Method=fedrdn
[Round 033/100] Acc=76.650 | RoundTime=48.15s | TotalTime=1589.58s | Method=fedrdn
[Round 034/100] Acc=79.610 | RoundTime=46.61s | TotalTime=1636.20s | Method=fedrdn
[Round 035/100] Acc=81.020 | RoundTime=46.84s | TotalTime=1683.04s | Method=fedrdn
[Round 036/100] Acc=79.390 | RoundTime=48.35s | TotalTime=1731.39s | Method=fedrdn
[Round 037/100] Acc=76.720 | RoundTime=45.39s | TotalTime=1776.77s | Method=fedrdn
[Round 038/100] Acc=79.410 | RoundTime=47.57s | TotalTime=1824.35s | Method=fedrdn
[Round 039/100] Acc=79.100 | RoundTime=47.71s | TotalTime=1872.06s | Method=fedrdn
[Round 040/100] Acc=79.140 | RoundTime=47.71s | TotalTime=1919.77s | Method=fedrdn
[Round 041/100] Acc=80.180 | RoundTime=47.40s | TotalTime=1967.17s | Method=fedrdn
[Round 042/100] Acc=80.220 | RoundTime=46.76s | TotalTime=2013.93s | Method=fedrdn
[Round 043/100] Acc=78.780 | RoundTime=44.45s | TotalTime=2058.38s | Method=fedrdn
[Round 044/100] Acc=79.420 | RoundTime=47.28s | TotalTime=2105.66s | Method=fedrdn
[Round 045/100] Acc=80.150 | RoundTime=46.10s | TotalTime=2151.77s | Method=fedrdn
[Round 046/100] Acc=79.290 | RoundTime=46.28s | TotalTime=2198.04s | Method=fedrdn
[Round 047/100] Acc=77.700 | RoundTime=46.06s | TotalTime=2244.10s | Method=fedrdn
[Round 048/100] Acc=80.360 | RoundTime=45.39s | TotalTime=2289.49s | Method=fedrdn
[Round 049/100] Acc=79.060 | RoundTime=45.91s | TotalTime=2335.40s | Method=fedrdn
[Round 050/100] Acc=79.660 | RoundTime=47.36s | TotalTime=2382.76s | Method=fedrdn
[Round 051/100] Acc=77.220 | RoundTime=45.32s | TotalTime=2428.08s | Method=fedrdn
[Round 052/100] Acc=78.420 | RoundTime=46.15s | TotalTime=2474.22s | Method=fedrdn
[Round 053/100] Acc=79.920 | RoundTime=46.95s | TotalTime=2521.17s | Method=fedrdn
[Round 054/100] Acc=77.930 | RoundTime=46.04s | TotalTime=2567.21s | Method=fedrdn
[Round 055/100] Acc=79.500 | RoundTime=47.46s | TotalTime=2614.67s | Method=fedrdn
[Round 056/100] Acc=80.960 | RoundTime=47.47s | TotalTime=2662.14s | Method=fedrdn
[Round 057/100] Acc=75.150 | RoundTime=47.87s | TotalTime=2710.01s | Method=fedrdn
[Round 058/100] Acc=79.580 | RoundTime=46.07s | TotalTime=2756.08s | Method=fedrdn
[Round 059/100] Acc=80.870 | RoundTime=45.63s | TotalTime=2801.71s | Method=fedrdn
[Round 060/100] Acc=78.440 | RoundTime=46.61s | TotalTime=2848.32s | Method=fedrdn
[Round 061/100] Acc=79.200 | RoundTime=46.62s | TotalTime=2894.93s | Method=fedrdn
[Round 062/100] Acc=77.730 | RoundTime=47.90s | TotalTime=2942.83s | Method=fedrdn
[Round 063/100] Acc=80.010 | RoundTime=45.86s | TotalTime=2988.69s | Method=fedrdn
[Round 064/100] Acc=77.540 | RoundTime=45.39s | TotalTime=3034.08s | Method=fedrdn
[Round 065/100] Acc=77.680 | RoundTime=45.68s | TotalTime=3079.76s | Method=fedrdn
[Round 066/100] Acc=75.210 | RoundTime=45.20s | TotalTime=3124.96s | Method=fedrdn
[Round 067/100] Acc=76.250 | RoundTime=45.86s | TotalTime=3170.82s | Method=fedrdn
[Round 068/100] Acc=78.450 | RoundTime=45.73s | TotalTime=3216.55s | Method=fedrdn
[Round 069/100] Acc=76.970 | RoundTime=46.14s | TotalTime=3262.69s | Method=fedrdn
[Round 070/100] Acc=77.550 | RoundTime=47.53s | TotalTime=3310.22s | Method=fedrdn
[Round 071/100] Acc=77.630 | RoundTime=47.51s | TotalTime=3357.74s | Method=fedrdn
[Round 072/100] Acc=76.960 | RoundTime=46.01s | TotalTime=3403.75s | Method=fedrdn
[Round 073/100] Acc=79.690 | RoundTime=45.62s | TotalTime=3449.37s | Method=fedrdn
[Round 074/100] Acc=77.470 | RoundTime=45.56s | TotalTime=3494.92s | Method=fedrdn
[Round 075/100] Acc=76.890 | RoundTime=45.06s | TotalTime=3539.99s | Method=fedrdn
[Round 076/100] Acc=78.030 | RoundTime=47.46s | TotalTime=3587.45s | Method=fedrdn
[Round 077/100] Acc=79.210 | RoundTime=46.62s | TotalTime=3634.07s | Method=fedrdn
[Round 078/100] Acc=79.210 | RoundTime=45.95s | TotalTime=3680.02s | Method=fedrdn
[Round 079/100] Acc=78.740 | RoundTime=45.73s | TotalTime=3725.75s | Method=fedrdn
[Round 080/100] Acc=76.720 | RoundTime=45.28s | TotalTime=3771.04s | Method=fedrdn
[Round 081/100] Acc=76.240 | RoundTime=48.37s | TotalTime=3819.41s | Method=fedrdn
[Round 082/100] Acc=76.210 | RoundTime=45.37s | TotalTime=3864.78s | Method=fedrdn
[Round 083/100] Acc=76.850 | RoundTime=44.78s | TotalTime=3909.56s | Method=fedrdn
[Round 084/100] Acc=77.600 | RoundTime=45.81s | TotalTime=3955.38s | Method=fedrdn
[Round 085/100] Acc=79.440 | RoundTime=47.69s | TotalTime=4003.07s | Method=fedrdn
