epoch	acc	pure	round_time_sec	total_time_sec
0	0.48	83.122	80.4583	80.4585
1	1.85	83.048	85.0648	165.5236
2	5.76	84.072	89.0821	254.6062
3	8.08	82.765	89.3057	343.9122
4	9.71	81.271	88.3448	432.2573
5	10.53	87.1	86.0271	518.2849
6	11.48	78.915	88.7487	607.0340
7	12.08	80.972	89.1584	696.1928
8	12.46	82.763	88.6364	784.8295
9	12.74	81.874	89.0623	873.8921
10	13.18	84.606	116.4448	990.3372
11	14.04	86.666	117.9974	1108.3349
12	14.25	86.202	119.7732	1228.1084
13	15.07	90.618	118.3086	1346.4173
14	15.21	88.694	117.4071	1463.8248
15	15.44	84.001	117.3060	1581.1311
16	15.84	89.638	116.9626	1698.0940
17	16.32	89.019	117.7438	1815.8381
18	16.36	92.033	117.7813	1933.6197
19	16.66	90.595	117.5930	2051.2130
20	17.33	91.351	118.2162	2169.4295
21	17.13	90.244	120.3972	2289.8270
22	17.64	90.726	118.0577	2407.8852
23	17.27	89.376	117.9721	2525.8577
24	18.21	91.263	118.0657	2643.9237
25	18.38	90.255	117.5239	2761.4479
26	18.28	89.01	118.0603	2879.5086
27	18.09	88.657	118.8061	2998.3150
28	18.6	90.308	118.5114	3116.8268
29	18.9	89.315	118.8509	3235.6780
30	19.31	91.939	119.3295	3355.0078
31	19.51	90.74	117.5500	3472.5581
32	19.5	88.948	118.2018	3590.7601
33	19.83	90.006	118.2555	3709.0159
34	19.28	90.557	117.8215	3826.8378
35	19.19	89.166	119.1569	3945.9951
36	19.54	90.114	118.6019	4064.5972
37	20.1	90.611	118.5852	4183.1827
38	20.3	91.718	119.2803	4302.4635
39	20.1	87.542	118.3616	4420.8254
40	19.65	88.916	118.1436	4538.9694
41	19.61	87.986	118.1356	4657.1053
42	20.18	88.711	119.3337	4776.4392
43	20.21	88.799	118.8436	4895.2831
44	20.0	90.093	119.3380	5014.6214
45	20.2	91.21	118.4803	5133.1020
46	20.18	88.744	118.2143	5251.3166
47	20.42	89.657	117.6452	5368.9621
48	20.7	90.657	117.9183	5486.8808
49	20.39	87.413	118.4439	5605.3250
50	20.59	90.304	118.2325	5723.5579
51	20.69	92.096	119.3242	5842.8823
52	21.05	89.322	118.0926	5960.9752
53	20.31	87.442	117.8515	6078.8271
54	21.24	91.645	117.5800	6196.4074
55	21.11	88.802	117.8345	6314.2422
56	20.95	89.828	117.8394	6432.0819
57	21.26	92.395	117.7368	6549.8189
58	21.01	89.657	118.1276	6667.9468
59	20.61	87.846	118.9511	6786.8982
60	20.93	92.419	118.2206	6905.1191
61	21.29	92.602	118.0167	7023.1362
62	21.23	88.876	117.4985	7140.6350
63	21.24	92.081	118.5208	7259.1562
64	21.0	89.892	118.2901	7377.4466
65	21.42	87.852	118.5767	7496.0236
66	21.12	90.057	118.2220	7614.2460
67	21.12	88.412	118.4675	7732.7137
68	21.45	89.252	118.4815	7851.1956
69	21.27	87.661	118.8373	7970.0332
70	21.47	90.867	118.4764	8088.5098
71	21.68	90.68	118.5084	8207.0186
72	21.18	87.484	117.6198	8324.6386
73	21.04	90.097	117.5504	8442.1893
74	21.57	90.512	117.4012	8559.5908
75	21.53	89.373	117.9616	8677.5526
76	21.72	87.732	117.8226	8795.3755
77	21.61	90.096	116.9749	8912.3508
78	21.74	90.172	118.1736	9030.5247
79	21.14	85.903	117.2103	9147.7353
80	21.56	88.638	118.5595	9266.2950
81	21.98	88.943	117.6655	9383.9608
82	22.24	90.24	118.4739	9502.4350
83	21.95	90.209	118.1810	9620.6162
84	21.61	85.359	118.3037	9738.9201
85	21.69	88.036	118.4749	9857.3953
86	22.09	89.101	117.9521	9975.3477
87	22.25	90.54	117.9969	10093.3448
88	22.89	90.76	118.5149	10211.8601
89	21.96	90.291	117.5172	10329.3775
90	22.68	90.03	117.8065	10447.1844
91	22.89	91.587	118.4254	10565.6101
92	22.39	89.748	116.9668	10682.5772
93	22.31	91.942	117.4394	10800.0168
94	22.63	92.623	118.0986	10918.1157
95	22.31	88.526	117.8344	11035.9504
96	22.47	88.827	118.4935	11154.4442
97	22.34	90.235	117.6380	11272.0825
98	22.56	92.072	118.6515	11390.7343
99	22.62	90.414	110.8731	11501.6078
