epoch	acc	pure	round_time_sec	total_time_sec
0	0.58	82.558	88.2071	88.2073
1	1.92	86.214	83.7613	171.9689
2	6.33	85.802	78.6246	250.5937
3	8.91	90.41	77.7170	328.3110
4	10.1	87.909	79.0257	407.3370
5	11.25	87.215	78.7548	486.0921
6	11.79	90.309	78.1981	564.2906
7	12.42	89.427	79.0045	643.2953
8	13.44	88.229	77.8251	721.1207
9	13.08	83.912	79.9019	801.0229
10	14.31	89.051	101.8264	902.8497
11	14.65	90.275	103.8684	1006.7183
12	15.21	92.539	100.3437	1107.0624
13	15.85	88.794	102.3288	1209.3915
14	15.67	86.726	102.8913	1312.2831
15	16.44	91.504	103.9358	1416.2193
16	16.64	90.71	100.4497	1516.6693
17	17.01	91.052	102.1255	1618.7951
18	16.77	85.775	100.5396	1719.3350
19	16.91	88.095	101.6857	1821.0210
20	16.8	86.01	102.9306	1923.9519
21	17.32	89.709	101.4910	2025.4432
22	17.82	86.269	105.8610	2131.3045
23	17.89	89.253	100.7040	2232.0088
24	18.8	90.556	99.6058	2331.6149
25	17.95	86.37	102.2040	2433.8192
26	18.34	87.703	99.9675	2533.7870
27	18.35	89.546	103.6902	2637.4775
28	19.02	94.476	101.8745	2739.3523
29	19.17	89.596	99.2342	2838.5868
30	19.74	88.08	103.4727	2942.0598
31	20.0	93.826	101.3891	3043.4491
32	19.91	92.262	102.6245	3146.0738
33	20.18	90.34	101.3790	3247.4531
34	19.97	86.719	98.8657	3346.3192
35	19.62	87.769	99.8116	3446.1311
36	20.18	88.08	99.9796	3546.1110
37	20.04	88.514	103.4021	3649.5133
38	20.41	88.557	98.6027	3748.1162
39	19.75	86.344	104.2052	3852.3217
40	20.17	88.073	100.5633	3952.8853
41	20.98	93.021	99.9589	4052.8445
42	21.03	89.92	101.1399	4153.9847
43	21.15	88.567	99.9841	4253.9691
44	21.28	91.794	102.1630	4356.1324
45	20.79	87.137	102.1432	4458.2759
46	20.51	88.503	101.9160	4560.1921
47	21.32	87.304	101.9980	4662.1905
48	21.44	88.998	103.0316	4765.2223
49	21.04	87.973	101.0478	4866.2704
50	21.13	90.862	99.9685	4966.2392
51	21.49	91.184	101.5252	5067.7647
52	21.36	90.067	103.6578	5171.4227
53	21.8	90.093	102.8322	5274.2553
54	22.38	93.25	104.1436	5378.3992
55	22.54	91.785	101.0048	5479.4043
56	22.01	88.178	101.3191	5580.7236
57	22.07	94.323	101.3282	5682.0521
58	21.5	86.907	101.4990	5783.5514
59	21.95	90.631	103.4253	5886.9770
60	21.71	88.932	99.5976	5986.5748
61	22.18	89.77	99.1563	6085.7314
62	22.83	93.101	103.6349	6189.3667
63	22.37	91.616	100.4769	6289.8439
64	22.73	93.803	99.1301	6388.9742
65	22.56	91.533	102.0721	6491.0465
66	22.79	90.073	100.2526	6591.2994
67	22.67	87.753	102.9236	6694.2232
68	22.97	91.368	102.7573	6796.9808
69	22.56	90.496	99.9303	6896.9113
70	22.87	90.577	103.8781	7000.7898
71	22.54	85.976	99.7219	7100.5119
72	22.95	92.447	101.7745	7202.2867
73	22.95	89.393	100.9985	7303.2855
74	22.56	89.609	102.3799	7405.6656
75	23.0	90.48	99.7237	7505.3895
76	23.09	93.897	100.8994	7606.2892
77	23.16	86.81	99.4602	7705.7497
78	22.62	88.008	99.1859	7804.9358
79	22.45	90.235	99.1469	7904.0830
80	23.43	91.364	101.2768	8005.3601
81	23.6	93.326	99.9163	8105.2767
82	22.71	85.962	101.0884	8206.3654
83	22.96	87.268	99.9600	8306.3257
84	23.61	93.248	100.0343	8406.3602
85	22.7	88.499	102.2105	8508.5710
86	23.32	85.78	99.3617	8607.9330
87	23.83	92.817	100.1089	8708.0421
88	23.53	90.509	100.0225	8808.0649
89	23.6	89.702	98.4909	8906.5561
90	23.21	89.665	100.0582	9006.6146
91	23.07	87.781	101.9355	9108.5504
92	23.13	87.281	100.7454	9209.2961
93	23.09	92.843	102.2096	9311.5060
94	23.4	90.704	101.6825	9413.1887
95	23.03	88.52	103.0770	9516.2660
96	23.5	93.137	102.3486	9618.6149
97	23.38	90.109	100.3130	9718.9282
98	23.76	92.564	101.2070	9820.1354
99	23.59	91.644	75.6842	9895.8199
