====================================================================================================
Training started at: 2026-03-10 03:57:25
Result directory: results/fl_tinyimagenet/feddenoise
Result txt file : results/fl_tinyimagenet/feddenoise/model=feddenoise_dataset=fl_tinyimagenet_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=mix_noiseType=asymmetric_noiseMax=0.3_avg=weight_seed=0_20260310-035725.txt
Result log file : results/fl_tinyimagenet/feddenoise/model=feddenoise_dataset=fl_tinyimagenet_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=mix_noiseType=asymmetric_noiseMax=0.3_avg=weight_seed=0_20260310-035725.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_tinyimagenet
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Alpha: 0.5
Drop rate: 0.15
Denoise strategy: mix
Noise type: asymmetric
Noise max: 0.3
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=0.570 | Pure=85.141 | RoundTime=86.85s | TotalTime=86.85s | Method=feddenoise
[Round 002/100] Acc=2.630 | Pure=87.464 | RoundTime=84.15s | TotalTime=171.00s | Method=feddenoise
[Round 003/100] Acc=4.020 | Pure=81.187 | RoundTime=82.68s | TotalTime=253.68s | Method=feddenoise
[Round 004/100] Acc=4.210 | Pure=82.183 | RoundTime=83.67s | TotalTime=337.35s | Method=feddenoise
[Round 005/100] Acc=5.170 | Pure=83.322 | RoundTime=82.92s | TotalTime=420.26s | Method=feddenoise
[Round 006/100] Acc=5.810 | Pure=89.429 | RoundTime=83.94s | TotalTime=504.20s | Method=feddenoise
[Round 007/100] Acc=6.470 | Pure=84.226 | RoundTime=82.68s | TotalTime=586.88s | Method=feddenoise
[Round 008/100] Acc=6.370 | Pure=84.961 | RoundTime=82.83s | TotalTime=669.72s | Method=feddenoise
[Round 009/100] Acc=6.950 | Pure=89.380 | RoundTime=83.69s | TotalTime=753.40s | Method=feddenoise
[Round 010/100] Acc=7.000 | Pure=85.889 | RoundTime=84.39s | TotalTime=837.80s | Method=feddenoise
[Round 011/100] Acc=7.400 | Pure=83.409 | RoundTime=111.96s | TotalTime=949.75s | Method=feddenoise
[Round 012/100] Acc=8.010 | Pure=86.533 | RoundTime=113.32s | TotalTime=1063.07s | Method=feddenoise
[Round 013/100] Acc=7.910 | Pure=85.592 | RoundTime=113.15s | TotalTime=1176.22s | Method=feddenoise
[Round 014/100] Acc=8.840 | Pure=89.833 | RoundTime=112.10s | TotalTime=1288.33s | Method=feddenoise
[Round 015/100] Acc=8.930 | Pure=89.009 | RoundTime=115.10s | TotalTime=1403.43s | Method=feddenoise
[Round 016/100] Acc=8.950 | Pure=87.563 | RoundTime=113.04s | TotalTime=1516.46s | Method=feddenoise
[Round 017/100] Acc=8.550 | Pure=85.890 | RoundTime=113.35s | TotalTime=1629.81s | Method=feddenoise
[Round 018/100] Acc=8.970 | Pure=88.116 | RoundTime=114.28s | TotalTime=1744.08s | Method=feddenoise
[Round 019/100] Acc=9.820 | Pure=96.069 | RoundTime=113.48s | TotalTime=1857.57s | Method=feddenoise
[Round 020/100] Acc=9.380 | Pure=89.456 | RoundTime=114.62s | TotalTime=1972.18s | Method=feddenoise
[Round 021/100] Acc=9.390 | Pure=87.573 | RoundTime=113.57s | TotalTime=2085.76s | Method=feddenoise
[Round 022/100] Acc=9.280 | Pure=86.815 | RoundTime=112.61s | TotalTime=2198.36s | Method=feddenoise
[Round 023/100] Acc=9.400 | Pure=89.413 | RoundTime=112.31s | TotalTime=2310.68s | Method=feddenoise
[Round 024/100] Acc=9.680 | Pure=88.408 | RoundTime=113.41s | TotalTime=2424.08s | Method=feddenoise
[Round 025/100] Acc=10.260 | Pure=91.164 | RoundTime=112.86s | TotalTime=2536.95s | Method=feddenoise
[Round 026/100] Acc=10.460 | Pure=88.455 | RoundTime=113.74s | TotalTime=2650.68s | Method=feddenoise
[Round 027/100] Acc=10.130 | Pure=89.411 | RoundTime=113.53s | TotalTime=2764.22s | Method=feddenoise
[Round 028/100] Acc=10.690 | Pure=91.605 | RoundTime=112.79s | TotalTime=2877.00s | Method=feddenoise
[Round 029/100] Acc=11.200 | Pure=92.249 | RoundTime=113.14s | TotalTime=2990.14s | Method=feddenoise
[Round 030/100] Acc=10.750 | Pure=90.706 | RoundTime=112.14s | TotalTime=3102.28s | Method=feddenoise
[Round 031/100] Acc=10.220 | Pure=88.699 | RoundTime=114.44s | TotalTime=3216.72s | Method=feddenoise
[Round 032/100] Acc=10.020 | Pure=88.952 | RoundTime=113.48s | TotalTime=3330.21s | Method=feddenoise
[Round 033/100] Acc=10.790 | Pure=91.290 | RoundTime=113.22s | TotalTime=3443.43s | Method=feddenoise
[Round 034/100] Acc=10.880 | Pure=91.517 | RoundTime=112.76s | TotalTime=3556.19s | Method=feddenoise
[Round 035/100] Acc=11.050 | Pure=88.978 | RoundTime=113.89s | TotalTime=3670.08s | Method=feddenoise
[Round 036/100] Acc=11.050 | Pure=90.670 | RoundTime=114.95s | TotalTime=3785.03s | Method=feddenoise
[Round 037/100] Acc=11.630 | Pure=88.065 | RoundTime=113.28s | TotalTime=3898.31s | Method=feddenoise
