epoch	acc	pure	round_time_sec	total_time_sec
0	0.5	81.774	90.3919	90.3922
1	1.65	85.121	90.1062	180.4987
2	5.73	82.682	89.7111	270.2101
3	8.12	79.59	87.9690	358.1795
4	9.5	86.896	88.6575	446.8373
5	10.75	85.019	88.0137	534.8513
6	10.94	81.734	88.3059	623.1574
7	11.5	81.925	87.6666	710.8243
8	12.26	84.859	89.9530	800.7777
9	12.58	84.808	91.5705	892.3485
10	13.3	91.115	119.5623	1011.9112
11	13.57	86.761	120.5360	1132.4475
12	14.4	87.129	120.0762	1252.5241
13	14.86	92.042	120.0452	1372.5697
14	15.06	86.248	120.5132	1493.0831
15	15.46	88.084	119.9650	1613.0484
16	15.75	88.816	118.5128	1731.5615
17	16.07	89.971	118.8370	1850.3988
18	16.46	89.86	121.3766	1971.7756
19	16.09	87.347	119.2286	2091.0044
20	16.59	86.314	120.7604	2211.7651
21	17.06	90.21	121.0882	2332.8538
22	17.4	90.582	119.5493	2452.4034
23	17.69	89.35	118.8309	2571.2346
24	17.07	87.115	120.2689	2691.5038
25	17.96	86.453	120.5874	2812.0915
26	17.91	86.886	119.6533	2931.7452
27	17.82	88.788	119.1528	3050.8982
28	18.16	91.225	122.0324	3172.9309
29	18.14	87.803	118.1755	3291.1066
30	18.6	91.079	121.8799	3412.9868
31	18.71	90.438	120.9419	3533.9291
32	18.68	90.9	119.5486	3653.4780
33	19.06	91.442	122.8163	3776.2947
34	18.64	87.922	119.4084	3895.7034
35	19.35	89.681	119.2616	4014.9654
36	18.94	89.749	118.1253	4133.0910
37	18.66	87.47	118.6771	4251.7684
38	19.49	90.478	120.2517	4372.0204
39	19.08	89.153	120.6171	4492.6379
40	19.53	90.737	119.5768	4612.2151
41	19.52	91.078	120.1392	4732.3546
42	19.67	87.333	120.6625	4853.0173
43	19.63	86.597	119.5614	4972.5791
44	19.67	91.982	121.0445	5093.6239
45	19.92	88.498	119.8454	5213.4697
46	19.87	88.519	119.0265	5332.4965
47	19.93	92.244	120.2951	5452.7918
48	20.42	91.479	118.5066	5571.2988
49	20.24	86.799	119.6553	5690.9545
50	20.16	91.63	119.3395	5810.2943
51	20.83	91.298	119.8251	5930.1197
52	21.07	87.643	120.2758	6050.3957
53	20.87	87.821	119.2554	6169.6515
54	20.5	87.574	120.4583	6290.1101
55	20.77	88.855	119.8457	6409.9561
56	20.6	88.879	119.5839	6529.5402
57	21.42	92.801	121.0972	6650.6377
58	21.48	88.341	118.5428	6769.1807
59	21.28	89.579	119.3722	6888.5532
60	21.34	91.532	120.9386	7009.4921
61	21.61	90.741	120.1294	7129.6218
62	22.15	91.67	119.2226	7248.8447
63	21.21	88.057	121.1619	7370.0069
64	21.58	92.346	119.6853	7489.6925
65	21.43	90.121	119.3918	7609.0846
66	21.51	89.15	119.0142	7728.0991
67	21.26	88.916	121.0125	7849.1119
68	22.09	91.52	118.9449	7968.0570
69	21.62	90.535	119.4017	8087.4591
70	21.22	87.423	119.3196	8206.7790
71	21.62	89.954	120.3171	8327.0964
72	22.25	90.593	119.4894	8446.5862
73	21.98	90.918	120.2381	8566.8246
74	22.17	92.176	120.2604	8687.0852
75	21.87	92.181	119.0249	8806.1105
76	22.41	91.761	120.0372	8926.1480
77	21.64	88.512	119.4081	9045.5564
78	22.04	90.007	119.6241	9165.1808
79	22.24	89.099	119.5626	9284.7437
80	21.79	88.693	119.3282	9404.0721
81	21.76	90.802	120.3315	9524.4039
82	22.18	90.056	119.1673	9643.5716
83	22.14	90.006	118.9078	9762.4797
84	22.55	91.074	120.7644	9883.2444
85	22.4	91.239	118.6151	10001.8599
86	22.4	90.931	119.0118	10120.8720
87	22.22	92.355	119.7741	10240.6464
88	21.85	85.852	119.0906	10359.7372
89	22.29	90.379	119.2422	10478.9797
90	22.56	89.709	119.4606	10598.4406
91	22.39	90.589	119.0733	10717.5142
92	22.43	91.977	118.3894	10835.9039
93	22.12	88.971	118.5154	10954.4195
94	22.31	90.387	119.4769	11073.8968
95	22.46	92.293	120.3069	11194.2040
96	21.8	88.354	118.7133	11312.9176
97	21.96	89.922	97.5060	11410.4238
98	21.86	87.875	86.3982	11496.8223
99	22.64	92.45	102.2399	11599.0625
