epoch	acc	pure	round_time_sec	total_time_sec
0	0.54	83.279	88.5985	88.5987
1	1.55	85.683	83.3064	171.9054
2	6.08	79.105	78.9900	250.8956
3	8.64	86.409	78.3148	329.2107
4	9.71	83.007	79.1227	408.3337
5	10.52	84.162	79.0219	487.3558
6	11.68	89.826	78.2619	565.6182
7	12.13	88.172	79.2751	644.8935
8	12.44	87.664	77.5417	722.4355
9	13.5	85.685	79.7818	802.2177
10	13.9	86.729	101.3344	903.5524
11	14.16	86.61	103.4405	1006.9932
12	14.7	89.453	101.0573	1108.0508
13	15.4	88.186	102.1398	1210.1910
14	14.87	90.402	101.6945	1311.8858
15	15.19	84.482	103.2539	1415.1401
16	15.67	88.991	100.8644	1516.0048
17	15.89	85.032	100.5610	1616.5662
18	16.32	91.344	100.2702	1716.8367
19	16.88	89.111	100.6709	1817.5078
20	16.57	85.23	101.1874	1918.6955
21	17.4	88.218	99.8286	2018.5244
22	16.97	83.402	102.3119	2120.8367
23	17.27	90.185	99.7692	2220.6061
24	17.84	90.135	98.8209	2319.4273
25	18.19	89.827	99.0694	2418.4969
26	18.33	88.486	99.9113	2518.4086
27	18.84	89.856	100.9295	2619.3383
28	18.71	89.395	101.7034	2721.0419
29	18.78	87.798	100.7528	2821.7950
30	18.41	87.191	101.5527	2923.3480
31	18.93	91.266	100.6351	3023.9833
32	18.57	87.75	101.1733	3125.1569
33	19.6	88.162	101.2265	3226.3837
34	19.17	87.876	99.8137	3326.1977
35	19.76	89.8	99.0059	3425.2038
36	19.44	90.433	98.9120	3524.1161
37	19.55	90.558	102.0712	3626.1876
38	20.07	89.914	99.6891	3725.8770
39	20.54	92.244	101.9219	3827.7992
40	19.84	88.089	100.3803	3928.1798
41	20.64	90.531	100.4961	4028.6763
42	20.62	88.51	98.6959	4127.3725
43	20.99	89.761	98.8580	4226.2307
44	21.09	93.836	102.0264	4328.2574
45	20.7	89.341	100.3943	4428.6520
46	20.91	86.01	103.0807	4531.7330
47	20.41	85.42	99.8354	4631.5687
48	20.81	90.377	101.4949	4733.0638
49	20.43	88.533	99.8029	4832.8670
50	21.11	91.815	100.1326	4932.9998
51	21.22	90.123	100.8759	5033.8760
52	21.13	90.319	100.8922	5134.7685
53	21.77	93.412	102.4141	5237.1829
54	21.76	91.317	103.1187	5340.3019
55	21.25	90.502	100.2226	5440.5249
56	21.77	90.996	100.6020	5541.1271
57	21.54	85.738	99.4108	5640.5382
58	21.59	87.124	99.6464	5740.1849
59	22.0	93.829	102.9394	5843.1248
60	21.62	91.028	99.1712	5942.2963
61	21.77	89.407	98.9888	6041.2853
62	21.63	89.463	100.1338	6141.4195
63	21.96	90.767	100.2300	6241.6498
64	22.36	91.283	99.3872	6341.0373
65	22.29	88.635	99.5235	6440.5611
66	21.62	90.151	102.7042	6543.2657
67	21.95	91.174	99.3499	6642.6159
68	23.31	92.376	99.8715	6742.4877
69	23.0	90.838	101.7643	6844.2523
70	22.51	87.221	101.5288	6945.7814
71	22.96	94.196	99.6724	7045.4542
72	23.05	91.287	100.7155	7146.1700
73	22.42	89.58	99.2524	7245.4228
74	22.71	91.549	100.2926	7345.7157
75	22.62	88.955	99.5084	7445.2244
76	22.51	90.476	99.7141	7544.9387
77	22.88	90.376	100.4250	7645.3639
78	22.5	90.024	99.0046	7744.3688
79	22.57	87.739	98.4659	7842.8350
80	22.45	88.803	99.9814	7942.8166
81	22.5	90.013	101.0535	8043.8704
82	22.7	90.577	98.7632	8142.6339
83	22.46	93.189	102.1920	8244.8262
84	23.23	90.404	98.7278	8343.5543
85	22.36	88.052	99.8769	8443.4316
86	22.77	88.526	100.0123	8543.4441
87	22.47	89.812	98.3309	8641.7753
88	22.55	89.171	99.1928	8740.9684
89	22.94	91.889	99.1316	8840.1003
90	23.15	93.254	98.1486	8938.2492
91	22.93	89.544	99.1414	9037.3908
92	23.1	90.134	102.5225	9139.9137
93	23.16	90.595	99.7677	9239.6816
94	22.99	90.379	99.4555	9339.1374
95	22.9	86.421	102.0590	9441.1966
96	22.82	87.656	101.1461	9542.3430
97	23.38	92.773	101.1251	9643.4683
98	23.47	92.614	99.4429	9742.9115
99	22.79	85.047	98.7625	9841.6742
