epoch	acc	pure	round_time_sec	total_time_sec
0	0.5	83.398	79.6090	79.6091
1	1.69	83.903	83.9711	163.5806
2	5.89	85.574	89.1921	252.7730
3	8.53	84.335	89.0427	341.8161
4	9.87	84.91	89.3874	431.2038
5	10.86	83.447	87.6815	518.8856
6	11.98	83.144	87.9901	606.8761
7	12.57	90.05	89.5766	696.4529
8	13.01	82.709	88.6599	785.1131
9	12.97	81.593	88.5492	873.6626
10	13.66	88.17	118.0966	991.7596
11	14.37	88.655	119.6247	1111.3847
12	14.45	86.307	120.0790	1231.4640
13	14.44	91.492	119.7579	1351.2223
14	15.16	89.836	119.6954	1470.9179
15	15.49	88.796	119.0843	1590.0026
16	15.8	87.876	118.8503	1708.8532
17	16.29	88.408	119.1480	1828.0016
18	16.55	87.591	119.5433	1947.5453
19	16.67	92.339	118.5101	2066.0557
20	17.56	90.226	119.3916	2185.4476
21	17.13	89.16	120.5886	2306.0365
22	17.32	88.384	119.1583	2425.1953
23	17.45	88.675	118.8838	2544.0795
24	17.89	90.681	119.3397	2663.4196
25	18.1	91.709	119.2301	2782.6500
26	18.75	89.905	118.1685	2900.8188
27	18.3	85.182	118.9595	3019.7786
28	19.3	90.868	120.0616	3139.8406
29	19.6	92.677	121.4714	3261.3123
30	19.12	91.979	118.8798	3380.1925
31	19.38	89.437	119.7181	3499.9110
32	19.19	92.272	119.3464	3619.2578
33	19.83	91.321	118.8537	3738.1118
34	19.9	90.16	120.2049	3858.3170
35	19.88	90.759	119.8031	3978.1204
36	19.23	86.429	118.2807	4096.4015
37	19.75	88.908	118.7915	4215.1934
38	20.32	93.899	118.5979	4333.7916
39	20.13	92.079	119.8322	4453.6242
40	20.43	92.98	118.6400	4572.2645
41	20.61	90.656	118.4060	4690.6708
42	20.44	87.758	119.6960	4810.3672
43	20.25	90.391	121.8687	4932.2362
44	20.86	93.59	120.2954	5052.5318
45	20.93	91.469	118.4480	5170.9801
46	20.92	90.046	118.4174	5289.3977
47	20.93	91.21	119.8206	5409.2187
48	20.51	88.035	119.3256	5528.5446
49	20.34	87.688	120.1872	5648.7321
50	20.84	88.825	119.1501	5767.8824
51	20.78	91.143	118.7465	5886.6292
52	21.33	92.855	119.4149	6006.0444
53	21.3	88.227	119.3845	6125.4293
54	21.8	91.641	118.7439	6244.1734
55	21.62	92.418	118.0589	6362.2326
56	21.29	90.578	118.5529	6480.7859
57	21.21	88.004	119.9707	6600.7569
58	21.31	90.991	117.7904	6718.5476
59	21.76	91.59	119.3857	6837.9336
60	21.29	87.87	119.2356	6957.1695
61	21.2	86.817	118.5296	7075.6995
62	21.97	93.582	119.2912	7194.9911
63	21.85	90.45	120.7131	7315.7045
64	21.58	92.119	119.5256	7435.2304
65	21.72	88.558	118.7869	7554.0177
66	21.59	89.11	117.6411	7671.6590
67	22.07	87.732	118.5981	7790.2575
68	21.96	90.477	118.0062	7908.2640
69	22.18	92.207	118.2507	8026.5150
70	21.86	91.552	118.5035	8145.0189
71	21.76	91.001	119.4392	8264.4584
72	21.74	89.477	117.7334	8382.1921
73	21.82	85.278	118.1766	8500.3689
74	22.48	93.546	118.2896	8618.6587
75	22.47	90.774	118.2770	8736.9360
76	21.4	88.035	118.0172	8854.9536
77	22.49	92.893	118.2595	8973.2134
78	21.46	86.806	118.1006	9091.3142
79	22.02	90.176	117.7599	9209.0744
80	21.85	87.804	119.0296	9328.1044
81	21.83	88.434	117.8239	9445.9285
82	21.77	86.994	118.8119	9564.7408
83	21.85	90.054	118.8354	9683.5765
84	22.37	91.364	118.6557	9802.2325
85	22.23	89.405	117.7448	9919.9778
86	22.02	90.789	118.3506	10038.3287
87	22.42	89.143	117.7402	10156.0691
88	22.68	92.708	117.4487	10273.5181
89	22.41	92.291	118.8475	10392.3660
90	22.63	92.428	118.4866	10510.8528
91	22.47	92.43	119.0037	10629.8569
92	22.54	90.349	118.0625	10747.9197
93	22.21	88.58	117.8671	10865.7872
94	23.14	91.677	118.6755	10984.4629
95	22.17	88.768	118.6334	11103.0967
96	22.78	92.06	119.3971	11222.4941
97	22.68	88.881	118.7728	11341.2672
98	22.79	88.088	118.2728	11459.5403
99	22.78	91.102	86.6318	11546.1724
