====================================================================================================
Training started at: 2026-03-09 03:14:41
Result directory: results/fl_tinyimagenet/feddenoise
Result txt file : results/fl_tinyimagenet/feddenoise/model=feddenoise_dataset=fl_tinyimagenet_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.3_denoise=least_sim_noiseType=asymmetric_noiseMax=0.3_avg=weight_seed=0_20260309-031441.txt
Result log file : results/fl_tinyimagenet/feddenoise/model=feddenoise_dataset=fl_tinyimagenet_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.3_denoise=least_sim_noiseType=asymmetric_noiseMax=0.3_avg=weight_seed=0_20260309-031441.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_tinyimagenet
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Alpha: 0.5
Drop rate: 0.3
Denoise strategy: least_sim
Noise type: asymmetric
Noise max: 0.3
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=0.680 | Pure=86.032 | RoundTime=79.23s | TotalTime=79.23s | Method=feddenoise
[Round 002/100] Acc=1.470 | Pure=87.263 | RoundTime=79.40s | TotalTime=158.64s | Method=feddenoise
[Round 003/100] Acc=6.560 | Pure=85.613 | RoundTime=77.59s | TotalTime=236.23s | Method=feddenoise
[Round 004/100] Acc=8.530 | Pure=87.351 | RoundTime=76.89s | TotalTime=313.12s | Method=feddenoise
[Round 005/100] Acc=10.120 | Pure=85.847 | RoundTime=78.12s | TotalTime=391.24s | Method=feddenoise
[Round 006/100] Acc=11.070 | Pure=89.761 | RoundTime=79.47s | TotalTime=470.72s | Method=feddenoise
[Round 007/100] Acc=11.610 | Pure=82.368 | RoundTime=79.78s | TotalTime=550.49s | Method=feddenoise
[Round 008/100] Acc=12.330 | Pure=83.435 | RoundTime=79.20s | TotalTime=629.70s | Method=feddenoise
[Round 009/100] Acc=12.920 | Pure=85.873 | RoundTime=78.68s | TotalTime=708.38s | Method=feddenoise
[Round 010/100] Acc=13.780 | Pure=91.773 | RoundTime=79.03s | TotalTime=787.41s | Method=feddenoise
[Round 011/100] Acc=14.480 | Pure=91.680 | RoundTime=101.31s | TotalTime=888.72s | Method=feddenoise
[Round 012/100] Acc=14.450 | Pure=90.825 | RoundTime=102.90s | TotalTime=991.63s | Method=feddenoise
[Round 013/100] Acc=15.010 | Pure=92.461 | RoundTime=100.77s | TotalTime=1092.40s | Method=feddenoise
[Round 014/100] Acc=15.400 | Pure=92.238 | RoundTime=101.37s | TotalTime=1193.77s | Method=feddenoise
[Round 015/100] Acc=16.410 | Pure=92.345 | RoundTime=102.71s | TotalTime=1296.48s | Method=feddenoise
[Round 016/100] Acc=16.100 | Pure=90.686 | RoundTime=100.52s | TotalTime=1397.00s | Method=feddenoise
[Round 017/100] Acc=16.370 | Pure=90.488 | RoundTime=102.85s | TotalTime=1499.85s | Method=feddenoise
[Round 018/100] Acc=16.880 | Pure=93.703 | RoundTime=100.18s | TotalTime=1600.03s | Method=feddenoise
[Round 019/100] Acc=17.480 | Pure=92.456 | RoundTime=101.48s | TotalTime=1701.51s | Method=feddenoise
[Round 020/100] Acc=17.410 | Pure=95.014 | RoundTime=100.22s | TotalTime=1801.73s | Method=feddenoise
[Round 021/100] Acc=17.780 | Pure=93.466 | RoundTime=101.16s | TotalTime=1902.89s | Method=feddenoise
[Round 022/100] Acc=17.970 | Pure=92.189 | RoundTime=100.77s | TotalTime=2003.66s | Method=feddenoise
[Round 023/100] Acc=18.270 | Pure=91.973 | RoundTime=101.32s | TotalTime=2104.98s | Method=feddenoise
[Round 024/100] Acc=18.170 | Pure=93.067 | RoundTime=100.86s | TotalTime=2205.84s | Method=feddenoise
[Round 025/100] Acc=19.220 | Pure=94.768 | RoundTime=99.50s | TotalTime=2305.34s | Method=feddenoise
[Round 026/100] Acc=18.920 | Pure=91.657 | RoundTime=101.59s | TotalTime=2406.94s | Method=feddenoise
[Round 027/100] Acc=19.320 | Pure=94.562 | RoundTime=100.90s | TotalTime=2507.83s | Method=feddenoise
[Round 028/100] Acc=19.390 | Pure=94.033 | RoundTime=103.66s | TotalTime=2611.50s | Method=feddenoise
[Round 029/100] Acc=19.410 | Pure=90.185 | RoundTime=100.32s | TotalTime=2711.81s | Method=feddenoise
[Round 030/100] Acc=19.980 | Pure=94.690 | RoundTime=103.32s | TotalTime=2815.14s | Method=feddenoise
[Round 031/100] Acc=20.240 | Pure=94.147 | RoundTime=100.21s | TotalTime=2915.35s | Method=feddenoise
[Round 032/100] Acc=20.290 | Pure=95.125 | RoundTime=104.05s | TotalTime=3019.40s | Method=feddenoise
[Round 033/100] Acc=20.730 | Pure=94.398 | RoundTime=99.86s | TotalTime=3119.26s | Method=feddenoise
[Round 034/100] Acc=21.130 | Pure=92.739 | RoundTime=99.16s | TotalTime=3218.42s | Method=feddenoise
[Round 035/100] Acc=20.600 | Pure=91.209 | RoundTime=102.47s | TotalTime=3320.89s | Method=feddenoise
[Round 036/100] Acc=20.820 | Pure=92.198 | RoundTime=100.88s | TotalTime=3421.78s | Method=feddenoise
[Round 037/100] Acc=21.300 | Pure=92.011 | RoundTime=100.17s | TotalTime=3521.94s | Method=feddenoise
[Round 038/100] Acc=21.630 | Pure=94.252 | RoundTime=102.54s | TotalTime=3624.48s | Method=feddenoise
[Round 039/100] Acc=21.040 | Pure=94.230 | RoundTime=101.24s | TotalTime=3725.73s | Method=feddenoise
[Round 040/100] Acc=21.830 | Pure=92.500 | RoundTime=101.36s | TotalTime=3827.09s | Method=feddenoise
[Round 041/100] Acc=21.690 | Pure=97.469 | RoundTime=101.30s | TotalTime=3928.39s | Method=feddenoise
[Round 042/100] Acc=21.620 | Pure=92.681 | RoundTime=103.34s | TotalTime=4031.73s | Method=feddenoise
[Round 043/100] Acc=21.820 | Pure=94.522 | RoundTime=98.28s | TotalTime=4130.01s | Method=feddenoise
[Round 044/100] Acc=22.040 | Pure=92.949 | RoundTime=101.01s | TotalTime=4231.02s | Method=feddenoise
[Round 045/100] Acc=21.650 | Pure=92.586 | RoundTime=101.68s | TotalTime=4332.70s | Method=feddenoise
[Round 046/100] Acc=21.830 | Pure=93.123 | RoundTime=101.18s | TotalTime=4433.87s | Method=feddenoise
[Round 047/100] Acc=22.450 | Pure=95.119 | RoundTime=101.26s | TotalTime=4535.14s | Method=feddenoise
[Round 048/100] Acc=22.310 | Pure=94.500 | RoundTime=98.81s | TotalTime=4633.94s | Method=feddenoise
[Round 049/100] Acc=22.430 | Pure=90.580 | RoundTime=100.85s | TotalTime=4734.79s | Method=feddenoise
