epoch	acc	pure	round_time_sec	total_time_sec
0	0.68	86.032	79.2329	79.2332
1	1.47	87.263	79.4030	158.6365
2	6.56	85.613	77.5950	236.2319
3	8.53	87.351	76.8915	313.1238
4	10.12	85.847	78.1193	391.2435
5	11.07	89.761	79.4737	470.7175
6	11.61	82.368	79.7761	550.4938
7	12.33	83.435	79.2028	629.6969
8	12.92	85.873	78.6827	708.3801
9	13.78	91.773	79.0281	787.4085
10	14.48	91.68	101.3145	888.7234
11	14.45	90.825	102.9014	991.6251
12	15.01	92.461	100.7743	1092.3997
13	15.4	92.238	101.3694	1193.7694
14	16.41	92.345	102.7140	1296.4837
15	16.1	90.686	100.5187	1397.0028
16	16.37	90.488	102.8503	1499.8535
17	16.88	93.703	100.1766	1600.0303
18	17.48	92.456	101.4840	1701.5146
19	17.41	95.014	100.2196	1801.7345
20	17.78	93.466	101.1585	1902.8933
21	17.97	92.189	100.7682	2003.6618
22	18.27	91.973	101.3164	2104.9787
23	18.17	93.067	100.8591	2205.8382
24	19.22	94.768	99.5023	2305.3407
25	18.92	91.657	101.5946	2406.9356
26	19.32	94.562	100.8966	2507.8332
27	19.39	94.033	103.6650	2611.4987
28	19.41	90.185	100.3160	2711.8150
29	19.98	94.69	103.3210	2815.1363
30	20.24	94.147	100.2135	2915.3501
31	20.29	95.125	104.0460	3019.3964
32	20.73	94.398	99.8610	3119.2578
33	21.13	92.739	99.1624	3218.4204
34	20.6	91.209	102.4737	3320.8944
35	20.82	92.198	100.8806	3421.7753
36	21.3	92.011	100.1656	3521.9412
37	21.63	94.252	102.5412	3624.4827
38	21.04	94.23	101.2420	3725.7250
39	21.83	92.5	101.3608	3827.0862
40	21.69	97.469	101.3043	3928.3908
41	21.62	92.681	103.3395	4031.7306
42	21.82	94.522	98.2764	4130.0073
43	22.04	92.949	101.0137	4231.0213
44	21.65	92.586	101.6751	4332.6968
45	21.83	93.123	101.1750	4433.8722
46	22.45	95.119	101.2626	4535.1351
47	22.31	94.5	98.8052	4633.9407
48	22.43	90.58	100.8483	4734.7893
49	22.21	91.863	100.8346	4835.6242
50	23.21	93.511	100.0584	4935.6829
51	22.79	90.99	99.0799	5034.7631
52	22.66	91.763	101.1084	5135.8718
53	23.09	91.557	101.1536	5237.0257
54	22.96	93.665	101.3203	5338.3463
55	22.49	91.756	102.7985	5441.1452
56	23.03	94.089	100.3068	5541.4523
57	23.34	94.12	99.3244	5640.7770
58	23.13	91.273	99.3615	5740.1388
59	22.99	93.119	101.4087	5841.5478
60	23.39	95.478	99.2538	5940.8020
61	23.25	90.948	102.1997	6043.0021
62	23.99	93.033	100.6296	6143.6320
63	23.51	93.548	98.8697	6242.5021
64	23.89	94.757	99.0924	6341.5950
65	23.59	91.114	100.8573	6442.4526
66	23.56	95.213	99.9229	6542.3759
67	24.19	93.682	101.0476	6643.4239
68	24.32	94.027	102.1556	6745.5798
69	24.54	95.88	98.8815	6844.4616
70	24.49	94.05	99.7101	6944.1720
71	24.46	93.81	102.0889	7046.2611
72	24.66	91.834	99.0939	7145.3553
73	24.56	95.756	103.9543	7249.3099
74	24.65	94.292	102.0057	7351.3159
75	24.44	93.343	104.4766	7455.7929
76	24.77	94.543	102.3055	7558.0988
77	24.42	92.808	100.1370	7658.2362
78	24.54	94.761	98.8305	7757.0671
79	24.59	92.955	103.0207	7860.0881
80	25.19	93.853	105.0883	7965.1767
81	24.94	95.004	103.7379	8068.9150
82	24.93	93.955	100.2931	8169.2084
83	24.93	95.063	100.4813	8269.6900
84	25.23	95.283	107.3684	8377.0587
85	25.09	92.936	102.4280	8479.4871
86	25.23	94.165	104.5841	8584.0715
87	24.85	93.49	104.3546	8688.4265
88	25.05	93.19	106.3240	8794.7508
89	25.2	94.797	105.3064	8900.0576
90	24.93	93.5	104.7328	9004.7907
91	25.01	91.39	102.4065	9107.1977
92	24.91	92.631	103.4962	9210.6943
93	25.32	92.21	102.7005	9313.3951
94	24.94	91.352	101.9471	9415.3425
95	24.98	92.815	103.6924	9519.0353
96	25.58	95.228	101.7863	9620.8220
97	25.77	95.44	103.9434	9724.7657
98	25.08	92.303	99.1726	9823.9387
99	25.38	93.682	99.1773	9923.1165
